session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3577,5.17,5.2,5.2,5.12,429900,0.0,0.0,0,0,0,2217000000.0,4.68,0.0,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,8,7818650000000.0
8530,3577,5.24,5.2,5.27,5.15,693600,0.0,0.0,0,0,0,3611000000.0,4.68,0.0,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,9,9605920000000.0
8529,3577,5.17,5.16,5.2,5.13,288400,0.0,0.0,0,0,0,1484000000.0,4.65,-0.04,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,10,7802560000000.0
8528,3577,5.1,5.09,5.18,5.09,303100,0.0,0.0,0,0,0,1550000000.0,4.59,-0.11,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,13,8852640000000.0
8527,3577,5.1,5.05,5.1,4.98,440400,0.0,0.0,0,0,0,2214000000.0,4.55,-0.05,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,14,9157830000000.0
8526,3577,5.14,5.2,5.2,5.01,480100,0.0,0.0,0,0,0,2443000000.0,4.68,0.1,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,15,9044830000000.0
8525,3577,5.16,5.14,5.16,5.02,274700,0.0,0.0,0,0,0,1402000000.0,4.63,-0.06,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,16,7993400000000.0
8524,3577,5.17,5.13,5.17,5.0,396900,0.0,0.0,0,0,0,2019000000.0,4.62,0.03,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,17,9056930000000.0
8523,3577,5.13,5.01,5.17,5.01,274900,0.0,0.0,0,0,0,1394000000.0,4.51,-0.09,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,20,8000550000000.0
8522,3577,5.1,4.98,5.1,4.98,440600,0.0,0.0,0,0,0,2202000000.0,4.49,-0.02,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,21,6678120000000.0
8521,3577,4.99,5.03,5.06,4.99,143100,0.0,0.0,0,0,0,717000000.0,4.53,0.03,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,22,7063540000000.0
8520,3577,4.99,5.03,5.03,4.96,109100,0.0,0.0,0,0,0,546000000.0,4.53,0.03,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,23,6539990000000.0
8519,3577,5.0,5.0,5.08,5.0,128200,0.0,0.0,0,0,0,642000000.0,4.5,0.0,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,24,8145960000000.0
8518,3577,5.01,5.06,5.07,5.01,161200,0.0,0.0,0,0,0,812000000.0,4.56,0.06,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,27,8430340000000.0
8517,3577,5.09,5.01,5.1,4.99,625800,0.0,0.0,0,0,0,3139000000.0,4.51,-0.09,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,28,9714650000000.0
8516,3577,5.03,4.99,5.06,4.99,325100,0.0,0.0,0,0,0,1626000000.0,4.5,-0.01,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,29,7305170000000.0
8515,3577,5.0,5.0,5.05,4.97,505600,0.0,0.0,0,0,0,2525000000.0,4.5,0.0,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,30,9656120000000.0
8514,3577,5.0,4.98,5.02,4.97,289100,0.0,0.0,0,0,0,1441000000.0,4.49,-0.02,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,3,31,10498800000000.0
8513,3577,5.04,5.0,5.06,4.98,307200,0.0,0.0,0,0,0,1538000000.0,4.5,0.0,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,3,12983200000000.0
8512,3577,5.0,5.0,5.01,4.98,756400,0.0,0.0,0,0,0,3776000000.0,4.5,0.0,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,4,12386800000000.0
8511,3577,5.0,5.12,5.2,4.99,1047100,0.0,0.0,0,0,0,5298000000.0,4.61,0.12,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,5,11435900000000.0
8510,3577,5.2,5.14,5.35,5.1,1167100,0.0,0.0,0,0,0,6121000000.0,4.63,0.04,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,6,14836000000000.0
8509,3577,5.1,5.07,5.16,5.04,678700,0.0,0.0,0,0,0,3460000000.0,4.57,-0.03,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,7,9555430000000.0
8508,3577,5.08,5.07,5.14,5.05,626900,0.0,0.0,0,0,0,3188000000.0,4.57,-0.03,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,10,13080300000000.0
8507,3577,5.07,5.11,5.12,5.05,367800,0.0,0.0,0,0,0,1867000000.0,4.6,0.01,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,11,10352300000000.0
8506,3577,5.12,5.17,5.2,5.11,525600,0.0,0.0,0,0,0,2711000000.0,4.66,0.07,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,12,11237900000000.0
8505,3577,5.21,5.1,5.21,5.1,479900,0.0,0.0,0,0,0,2464000000.0,4.59,-0.1,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,13,10048100000000.0
8504,3577,5.1,5.06,5.15,5.06,454200,0.0,0.0,0,0,0,2314000000.0,4.56,-0.04,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,14,11983800000000.0
8503,3577,5.06,5.01,5.06,5.0,301100,0.0,0.0,0,0,0,1512000000.0,4.51,-0.09,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,17,6714600000000.0
8502,3577,5.02,5.06,5.07,5.01,308600,0.0,0.0,0,0,0,1550000000.0,4.56,0.06,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,18,8462260000000.0
8501,3577,5.08,5.01,5.1,5.0,220700,0.0,0.0,0,0,0,1114000000.0,4.51,-0.09,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,19,8609420000000.0
8500,3577,5.01,5.04,5.05,5.01,181100,0.0,0.0,0,0,0,910000000.0,4.54,0.04,0,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE,2021-03-24,,0.0,Hàng tiêu dùng,2023,4,20,5636530000000.0
