session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3730,24.25,25.0,25.0,24.25,2784900,0.0,0.0,0,0,0,68538000000.0,17.54,0.5,0,Ngân hàng Thương mại Cổ phần Á Châu,ACB,HOSE,2020-12-09,,0.0,Tài chính,2023,3,8,7818650000000.0
8530,3730,25.0,25.35,25.45,24.9,3737400,0.0,0.0,0,0,0,94116000000.0,17.79,0.35,0,Ngân hàng Thương mại Cổ phần Á Châu,ACB,HOSE,2020-12-09,,0.0,Tài chính,2023,3,9,9605920000000.0
8529,3730,25.05,24.9,25.2,24.75,2422000,0.0,0.0,0,0,0,60435000000.0,17.47,-0.5,0,Ngân hàng Thương mại Cổ phần Á Châu,ACB,HOSE,2020-12-09,,0.0,Tài chính,2023,3,10,7802560000000.0
8528,3730,24.75,24.5,24.95,24.35,4017400,0.0,0.0,0,0,0,98889000000.0,17.19,-0.4,0,Ngân hàng Thương mại Cổ phần Á Châu,ACB,HOSE,2020-12-09,,0.0,Tài chính,2023,3,13,8852640000000.0
8527,3730,24.55,24.05,24.7,23.95,6765600,0.0,0.0,0,0,0,163141000000.0,16.87,-0.45,0,Ngân hàng Thương mại Cổ phần Á Châu,ACB,HOSE,2020-12-09,,0.0,Tài chính,2023,3,14,9157830000000.0
8526,3730,24.6,24.8,24.8,24.45,1959500,0.0,0.0,0,0,0,48372000000.0,17.4,0.7,0,Ngân hàng Thương mại Cổ phần Á Châu,ACB,HOSE,2020-12-09,,0.0,Tài chính,2023,3,15,9044830000000.0
8525,3730,24.5,24.4,24.75,24.15,2498900,0.0,0.0,0,0,0,60916000000.0,17.12,-0.4,0,Ngân hàng Thương mại Cổ phần Á Châu,ACB,HOSE,2020-12-09,,0.0,Tài chính,2023,3,16,7993400000000.0
8524,3730,24.55,24.35,24.65,24.35,1248400,0.0,0.0,0,0,0,30574000000.0,17.09,-0.05,0,Ngân hàng Thương mại Cổ phần Á Châu,ACB,HOSE,2020-12-09,,0.0,Tài chính,2023,3,17,9056930000000.0
8523,3730,24.2,24.0,24.35,24.0,2456100,0.0,0.0,0,0,0,59204000000.0,16.84,-0.4,0,Ngân hàng Thương mại Cổ phần Á Châu,ACB,HOSE,2020-12-09,,0.0,Tài chính,2023,3,20,8000550000000.0
8522,3730,24.4,24.2,24.4,23.85,1488000,0.0,0.0,0,0,0,35848000000.0,16.98,0.2,0,Ngân hàng Thương mại Cổ phần Á Châu,ACB,HOSE,2020-12-09,,0.0,Tài chính,2023,3,21,6678120000000.0
