session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3611,41.85,41.85,41.9,41.0,7000,0.0,0.0,0,0,0,289000000.0,36.42,-0.05,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,8,7818650000000.0
8530,3611,42.0,41.1,42.0,41.1,10200,0.0,0.0,0,0,0,427000000.0,35.77,-0.8,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,9,9605920000000.0
8529,3611,41.2,41.2,41.3,41.2,5500,0.0,0.0,0,0,0,226000000.0,35.85,0.1,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,10,7802560000000.0
8528,3611,41.4,40.9,41.8,40.9,8500,0.0,0.0,0,0,0,350000000.0,35.59,-0.3,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,13,8852640000000.0
8527,3611,40.0,40.5,41.2,40.0,3100,0.0,0.0,0,0,0,125000000.0,35.25,-0.4,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,14,9157830000000.0
8526,3611,40.5,41.2,41.2,40.5,6500,0.0,0.0,0,0,0,266000000.0,35.85,0.7,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,15,9044830000000.0
8525,3611,41.2,40.5,41.2,40.5,6600,0.0,0.0,0,0,0,267000000.0,35.25,-0.7,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,16,7993400000000.0
8524,3611,40.55,40.25,41.0,40.25,18500,0.0,0.0,0,0,0,756000000.0,35.03,-0.25,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,17,9056930000000.0
8523,3611,40.2,40.0,40.4,39.0,11900,0.0,0.0,0,0,0,473000000.0,34.81,-0.3,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,20,8000550000000.0
8522,3611,40.0,41.25,41.75,40.0,12500,0.0,0.0,0,0,0,510000000.0,35.9,1.25,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,21,6678120000000.0
8521,3611,40.2,41.1,41.9,40.1,35900,0.0,0.0,0,0,0,1469000000.0,35.77,-0.2,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,22,7063540000000.0
8520,3611,38.5,41.1,41.5,38.5,32200,0.0,0.0,0,0,0,1303000000.0,35.77,0.0,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,23,6539990000000.0
8519,3611,41.1,40.6,41.7,40.6,24200,0.0,0.0,0,0,0,1002000000.0,35.33,-0.5,0,Công ty Cổ phần Gỗ An Cường,ACG,HOSE,2022-10-10,,0.0,Hàng tiêu dùng,2023,3,24,8145960000000.0
