session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3798,5.68,5.6,5.69,5.5,130300,0.0,0.0,0,0,0,723000000.0,5.6,0.0,0,Công ty Cổ phần xuất nhập khẩu An Giang,AGM,HOSE,2012-12-14,,0.0,Nông nghiệp,2023,3,8,7818650000000.0
8530,3798,5.62,5.62,5.67,5.57,33900,0.0,0.0,0,0,0,190000000.0,5.62,0.02,0,Công ty Cổ phần xuất nhập khẩu An Giang,AGM,HOSE,2012-12-14,,0.0,Nông nghiệp,2023,3,9,9605920000000.0
8529,3798,5.61,5.6,5.65,5.59,57800,0.0,0.0,0,0,0,324000000.0,5.6,0.0,0,Công ty Cổ phần xuất nhập khẩu An Giang,AGM,HOSE,2012-12-14,,0.0,Nông nghiệp,2023,3,10,7802560000000.0
8528,3798,5.58,5.56,5.59,5.54,53300,0.0,0.0,0,0,0,296000000.0,5.56,-0.04,0,Công ty Cổ phần xuất nhập khẩu An Giang,AGM,HOSE,2012-12-14,,0.0,Nông nghiệp,2023,3,13,8852640000000.0
8527,3798,5.5,5.41,5.58,5.35,98800,0.0,0.0,0,0,0,539000000.0,5.41,-0.19,0,Công ty Cổ phần xuất nhập khẩu An Giang,AGM,HOSE,2012-12-14,,0.0,Nông nghiệp,2023,3,14,9157830000000.0
8526,3798,5.41,5.52,5.59,5.41,247200,0.0,0.0,0,0,0,1362000000.0,5.52,0.12,0,Công ty Cổ phần xuất nhập khẩu An Giang,AGM,HOSE,2012-12-14,,0.0,Nông nghiệp,2023,3,15,9044830000000.0
8525,3798,5.5,5.49,5.6,5.43,76200,0.0,0.0,0,0,0,420000000.0,5.49,-0.01,0,Công ty Cổ phần xuất nhập khẩu An Giang,AGM,HOSE,2012-12-14,,0.0,Nông nghiệp,2023,3,16,7993400000000.0
8524,3798,5.49,5.46,5.64,5.45,85700,0.0,0.0,0,0,0,471000000.0,5.46,-0.04,0,Công ty Cổ phần xuất nhập khẩu An Giang,AGM,HOSE,2012-12-14,,0.0,Nông nghiệp,2023,3,17,9056930000000.0
8523,3798,5.42,5.31,5.55,5.31,74600,0.0,0.0,0,0,0,401000000.0,5.31,-0.19,0,Công ty Cổ phần xuất nhập khẩu An Giang,AGM,HOSE,2012-12-14,,0.0,Nông nghiệp,2023,3,20,8000550000000.0
8522,3798,5.32,5.32,5.38,5.23,46200,0.0,0.0,0,0,0,244000000.0,5.32,0.02,0,Công ty Cổ phần xuất nhập khẩu An Giang,AGM,HOSE,2012-12-14,,0.0,Nông nghiệp,2023,3,21,6678120000000.0
