session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3782,6.21,6.43,6.46,6.21,1522400,0.0,0.0,0,0,0,9639000000.0,6.43,0.13,0,Công ty Cổ phần Tập đoàn Bamboo Capital,BCG,HOSE,2015-07-16,,0.0,Tài chính,2023,3,8,7818650000000.0
8530,3782,6.43,6.44,6.53,6.43,2391900,0.0,0.0,0,0,0,15510000000.0,6.44,0.04,0,Công ty Cổ phần Tập đoàn Bamboo Capital,BCG,HOSE,2015-07-16,,0.0,Tài chính,2023,3,9,9605920000000.0
8529,3782,6.43,6.47,6.6,6.41,2565700,0.0,0.0,0,0,0,16703000000.0,6.47,0.07,0,Công ty Cổ phần Tập đoàn Bamboo Capital,BCG,HOSE,2015-07-16,,0.0,Tài chính,2023,3,10,7802560000000.0
8528,3782,6.24,6.34,6.44,6.24,1895300,0.0,0.0,0,0,0,12023000000.0,6.34,-0.16,0,Công ty Cổ phần Tập đoàn Bamboo Capital,BCG,HOSE,2015-07-16,,0.0,Tài chính,2023,3,13,8852640000000.0
8527,3782,6.31,6.18,6.41,6.15,2415000,0.0,0.0,0,0,0,15065000000.0,6.18,-0.12,0,Công ty Cổ phần Tập đoàn Bamboo Capital,BCG,HOSE,2015-07-16,,0.0,Tài chính,2023,3,14,9157830000000.0
8526,3782,6.38,6.4,6.46,6.29,1603400,0.0,0.0,0,0,0,10210000000.0,6.4,0.2,0,Công ty Cổ phần Tập đoàn Bamboo Capital,BCG,HOSE,2015-07-16,,0.0,Tài chính,2023,3,15,9044830000000.0
8525,3782,6.35,6.27,6.35,6.26,1293600,0.0,0.0,0,0,0,8158000000.0,6.27,-0.13,0,Công ty Cổ phần Tập đoàn Bamboo Capital,BCG,HOSE,2015-07-16,,0.0,Tài chính,2023,3,16,7993400000000.0
8524,3782,6.4,6.28,6.4,6.25,1014300,0.0,0.0,0,0,0,6382000000.0,6.28,-0.02,0,Công ty Cổ phần Tập đoàn Bamboo Capital,BCG,HOSE,2015-07-16,,0.0,Tài chính,2023,3,17,9056930000000.0
8523,3782,6.28,6.16,6.3,6.16,1445400,0.0,0.0,0,0,0,8978000000.0,6.16,-0.14,0,Công ty Cổ phần Tập đoàn Bamboo Capital,BCG,HOSE,2015-07-16,,0.0,Tài chính,2023,3,20,8000550000000.0
8522,3782,6.18,6.22,6.27,6.15,898300,0.0,0.0,0,0,0,5557000000.0,6.22,0.02,0,Công ty Cổ phần Tập đoàn Bamboo Capital,BCG,HOSE,2015-07-16,,0.0,Tài chính,2023,3,21,6678120000000.0
