session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3679,44.85,44.85,44.85,44.85,100,0.0,0.0,0,0,0,4000000.0,43.57,-0.15,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,8,7818650000000.0
8530,3679,43.7,44.0,44.0,43.7,900,0.0,0.0,0,0,0,39000000.0,42.75,-0.9,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,9,9605920000000.0
8529,3679,44.0,44.15,44.15,44.0,600,0.0,0.0,0,0,0,26000000.0,42.89,0.15,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,10,7802560000000.0
8528,3679,44.95,44.95,44.95,44.95,100,0.0,0.0,0,0,0,4000000.0,43.67,0.75,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,13,8852640000000.0
8527,3679,44.85,44.85,44.85,44.85,100,0.0,0.0,0,0,0,4000000.0,43.57,-0.15,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,14,9157830000000.0
8526,3679,44.75,45.0,45.2,43.4,4500,0.0,0.0,0,0,0,202000000.0,43.72,0.1,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,15,9044830000000.0
8525,3679,45.0,45.0,45.0,45.0,700,0.0,0.0,0,0,0,31000000.0,43.72,0.0,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,16,7993400000000.0
8524,3679,44.2,45.0,45.0,44.2,700,0.0,0.0,0,0,0,31000000.0,43.72,0.0,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,17,9056930000000.0
8523,3679,44.95,44.5,44.95,44.1,500,0.0,0.0,0,0,0,22000000.0,43.23,-0.5,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,20,8000550000000.0
8522,3679,43.95,44.9,44.9,43.95,1400,0.0,0.0,0,0,0,61000000.0,43.62,0.4,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,21,6678120000000.0
8521,3679,44.6,44.2,44.9,44.2,1200,0.0,0.0,0,0,0,53000000.0,42.94,-0.7,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,22,7063540000000.0
8520,3679,44.2,44.2,44.2,44.2,0,0.0,0.0,0,0,0,0.0,42.94,0.0,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,23,6539990000000.0
8519,3679,43.7,45.8,45.8,43.5,3700,0.0,0.0,0,0,0,161000000.0,44.49,1.6,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,24,8145960000000.0
8518,3679,45.5,45.5,45.5,45.5,100,0.0,0.0,0,0,0,4000000.0,44.2,-0.3,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,27,8430340000000.0
8517,3679,44.05,43.9,44.45,43.9,1800,0.0,0.0,0,0,0,79000000.0,42.65,-1.6,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,28,9714650000000.0
8516,3679,44.4,43.05,44.4,42.5,15500,0.0,0.0,0,0,0,665000000.0,41.82,-0.85,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,29,7305170000000.0
8515,3679,44.3,43.3,44.3,43.2,1700,0.0,0.0,0,0,0,74000000.0,42.07,0.2,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,30,9656120000000.0
8514,3679,43.6,43.2,44.0,43.2,2800,0.0,0.0,0,0,0,121000000.0,41.97,-0.1,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,3,31,10498800000000.0
8513,3679,43.2,43.3,44.0,43.2,1500,0.0,0.0,0,0,0,64000000.0,42.07,0.1,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,4,3,12983200000000.0
8512,3679,44.5,43.65,44.7,43.6,7000,0.0,0.0,0,0,0,307000000.0,42.41,0.35,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,4,4,12386800000000.0
8511,3679,43.65,43.65,43.65,43.65,100,0.0,0.0,0,0,0,4000000.0,42.41,-0.05,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,4,5,11435900000000.0
8510,3679,44.0,43.7,44.0,43.65,700,0.0,0.0,0,0,0,30000000.0,42.45,0.0,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,4,6,14836000000000.0
8509,3679,43.7,43.9,43.95,43.7,1300,0.0,0.0,0,0,0,56000000.0,42.65,0.2,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,4,7,9555430000000.0
8508,3679,43.9,43.7,43.9,43.7,1600,0.0,0.0,0,0,0,70000000.0,42.45,-0.2,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,4,10,13080300000000.0
8507,3679,43.7,43.5,43.7,43.5,900,0.0,0.0,0,0,0,39000000.0,42.26,-0.2,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,4,11,10352300000000.0
8506,3679,43.85,43.6,43.9,43.5,2100,0.0,0.0,0,0,0,91000000.0,42.36,0.1,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,4,12,11237900000000.0
8505,3679,43.6,43.4,43.6,43.4,3900,0.0,0.0,0,0,0,169000000.0,42.16,-0.2,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,4,13,10048100000000.0
8504,3679,43.9,43.9,43.9,43.9,100,0.0,0.0,0,0,0,4000000.0,42.65,0.5,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,4,14,11983800000000.0
8503,3679,43.9,43.4,43.9,43.4,1200,0.0,0.0,0,0,0,52000000.0,42.16,-0.5,0,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE,2017-01-19,,0.0,Hàng tiêu dùng,2023,4,17,6714600000000.0
