session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
10143,3698,17.2,17.3,17.45,17.2,1855430,0.0,0.0,0,0,0,32099000000.0,13.03,0.15,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,9,22,2269630000000.0
10142,3698,17.1,17.3,17.7,17.1,1821350,0.0,0.0,0,0,0,31579000000.0,13.03,0.0,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,9,23,1986610000000.0
10141,3698,17.2,17.2,17.5,17.1,1902540,0.0,0.0,0,0,0,32954000000.0,12.96,-0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,9,26,2012820000000.0
10140,3698,17.2,17.25,17.4,16.9,3024330,0.0,0.0,0,0,0,51814000000.0,12.99,0.05,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,9,27,2330690000000.0
10139,3698,17.3,17.7,17.9,17.3,4766200,0.0,0.0,0,0,0,84125000000.0,13.33,0.45,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,9,28,2299600000000.0
10138,3698,17.7,17.7,18.0,17.6,3835950,0.0,0.0,0,0,0,68194000000.0,13.33,0.0,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,9,29,2619880000000.0
10137,3698,17.7,17.8,17.9,17.5,2100260,0.0,0.0,0,0,0,37292000000.0,13.41,0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,9,30,2301090000000.0
10136,3698,18.0,17.7,18.0,17.7,2865330,0.0,0.0,0,0,0,51012000000.0,13.33,-0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,3,2214360000000.0
10135,3698,17.7,17.55,17.85,17.55,1851670,0.0,0.0,0,0,0,32785000000.0,13.22,-0.15,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,4,2808710000000.0
10134,3698,17.55,17.55,17.8,17.55,3696630,0.0,0.0,0,0,0,65337000000.0,13.22,0.0,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,5,1991550000000.0
10133,3698,17.55,17.4,17.7,17.4,1194700,0.0,0.0,0,0,0,20978000000.0,13.11,-0.15,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,6,2375460000000.0
10132,3698,17.3,17.4,17.4,17.2,1565550,0.0,0.0,0,0,0,27054000000.0,13.11,0.0,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,7,2497860000000.0
10131,3698,17.4,17.3,17.75,17.3,1517970,0.0,0.0,0,0,0,26573000000.0,13.03,-0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,10,1961180000000.0
10130,3698,17.35,17.5,17.55,17.15,924470,0.0,0.0,0,0,0,16048000000.0,13.18,0.2,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,11,2472630000000.0
10129,3698,17.4,17.6,17.6,17.3,758040,0.0,0.0,0,0,0,13195000000.0,13.26,0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,12,1779030000000.0
10128,3698,17.6,17.4,17.6,17.3,516890,0.0,0.0,0,0,0,9025000000.0,13.11,-0.2,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,13,1877090000000.0
10127,3698,17.45,17.45,17.5,17.3,743060,0.0,0.0,0,0,0,12918000000.0,13.15,0.05,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,14,2158640000000.0
10126,3698,17.45,17.35,17.45,17.3,369880,0.0,0.0,0,0,0,6415000000.0,13.07,-0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,17,1717380000000.0
10125,3698,17.35,17.35,17.35,17.2,309770,0.0,0.0,0,0,0,5353000000.0,13.07,0.0,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,18,1598620000000.0
10124,3698,17.35,17.4,17.55,17.2,1935410,0.0,0.0,0,0,0,33725000000.0,13.11,0.05,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,19,2112820000000.0
10123,3698,17.45,17.5,17.5,17.3,2517850,0.0,0.0,0,0,0,43835000000.0,13.18,0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,20,1794440000000.0
10122,3698,17.5,17.45,17.55,17.3,1605450,0.0,0.0,0,0,0,27969000000.0,13.15,-0.05,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,21,1825790000000.0
10121,3698,17.35,17.4,17.4,17.2,1628340,0.0,0.0,0,0,0,28179000000.0,13.11,-0.05,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,24,1836120000000.0
10120,3698,17.3,17.2,17.4,17.2,1472200,0.0,0.0,0,0,0,25507000000.0,12.96,-0.2,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,25,1820610000000.0
10119,3698,17.2,17.3,17.35,17.1,1247160,0.0,0.0,0,0,0,21465000000.0,13.03,0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,26,1409460000000.0
10118,3698,17.3,17.3,17.4,17.15,708430,0.0,0.0,0,0,0,12235000000.0,13.03,0.0,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,27,1512020000000.0
10117,3698,17.3,17.25,17.3,17.15,503620,0.0,0.0,0,0,0,8669000000.0,12.99,-0.05,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,28,1754750000000.0
10116,3698,16.7,16.7,17.15,16.7,2415650,0.0,0.0,0,0,0,40894000000.0,12.58,-0.55,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,10,31,1836290000000.0
10115,3698,16.7,16.45,16.85,16.2,972290,0.0,0.0,0,0,0,16058000000.0,12.39,-0.25,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,1,1596500000000.0
10114,3698,16.35,16.0,16.45,16.0,1944330,0.0,0.0,0,0,0,31595000000.0,12.05,-0.45,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,2,1892050000000.0
10113,3698,16.0,16.0,16.0,15.8,616130,0.0,0.0,0,0,0,9827000000.0,12.05,0.0,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,3,2022210000000.0
10112,3698,16.15,16.0,16.15,15.95,333130,0.0,0.0,0,0,0,5330000000.0,12.05,0.0,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,4,1342660000000.0
10111,3698,16.0,16.05,16.25,15.95,1445640,0.0,0.0,0,0,0,23185000000.0,12.09,0.05,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,7,1594750000000.0
10110,3698,16.1,16.05,16.15,15.8,1208590,0.0,0.0,0,0,0,19256000000.0,12.09,0.0,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,8,1497340000000.0
10109,3698,15.9,15.4,16.0,15.0,1326420,0.0,0.0,0,0,0,20469000000.0,11.6,-0.65,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,9,2858130000000.0
10108,3698,15.5,15.7,15.9,15.5,650660,0.0,0.0,0,0,0,10208000000.0,11.83,0.3,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,10,1940320000000.0
10107,3698,15.65,15.45,15.7,15.45,298290,0.0,0.0,0,0,0,4630000000.0,11.64,-0.25,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,11,1668150000000.0
10106,3698,15.5,15.1,15.6,15.1,954230,0.0,0.0,0,0,0,14644000000.0,11.37,-0.35,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,14,2227930000000.0
10105,3698,15.2,15.1,15.2,14.95,812900,0.0,0.0,0,0,0,12234000000.0,11.37,0.0,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,15,1994430000000.0
10104,3698,15.1,15.2,15.3,15.05,315520,0.0,0.0,0,0,0,4779000000.0,11.45,0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,16,1956490000000.0
10103,3698,15.15,15.4,15.4,15.0,764360,0.0,0.0,0,0,0,11552000000.0,11.6,0.2,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,17,1891860000000.0
10102,3698,15.4,15.3,15.4,15.0,581760,0.0,0.0,0,0,0,8779000000.0,11.53,-0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,18,1934600000000.0
10101,3698,15.2,15.25,15.35,15.0,472690,0.0,0.0,0,0,0,7159000000.0,11.49,-0.05,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,21,1786020000000.0
10100,3698,15.1,15.2,15.2,15.0,487050,0.0,0.0,0,0,0,7351000000.0,11.45,-0.05,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,22,1956930000000.0
10099,3698,15.0,15.0,15.15,14.95,472590,0.0,0.0,0,0,0,7094000000.0,11.3,-0.2,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,23,2335460000000.0
10098,3698,15.0,14.9,15.05,14.9,896280,0.0,0.0,0,0,0,13365000000.0,11.22,-0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,24,2255630000000.0
10097,3698,14.95,15.0,15.2,14.9,1169520,0.0,0.0,0,0,0,17603000000.0,11.3,0.1,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,25,2313990000000.0
10096,3698,15.1,14.7,15.2,14.65,535400,0.0,0.0,0,0,0,7912000000.0,11.07,-0.3,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,28,2245500000000.0
10095,3698,14.7,15.0,15.0,14.55,470890,0.0,0.0,0,0,0,6959000000.0,11.3,0.3,0,Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,BHS,HOSE,2006-12-20,2017-08-29,0.0,,2016,11,29,2243550000000.0
