session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,3132,3.2,3.4,3.4,3.2,1967300,0.0,0.0,0,0,0,6671500000.0,3.4,0.4,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,5,17,596787000000.0
4816,3132,3.7,3.4,3.9,3.4,2032560,0.0,0.0,0,0,0,7336090000.0,3.4,0.0,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,5,18,452755000000.0
4815,3132,3.4,3.1,3.5,3.1,1121000,0.0,0.0,0,0,0,3600340000.0,3.1,-0.5,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,5,19,610612000000.0
4814,3132,3.3,3.6,3.6,3.2,823686,0.0,0.0,0,0,0,2864090000.0,3.6,0.4,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,5,22,541384000000.0
4813,3132,3.5,3.8,3.9,3.5,1033300,0.0,0.0,0,0,0,3800210000.0,3.8,0.3,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,5,23,589042000000.0
4812,3132,3.8,3.5,3.9,3.5,600792,0.0,0.0,0,0,0,2158190000.0,3.5,-0.2,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,5,24,417134000000.0
4811,3132,3.6,3.9,4.0,3.4,1227690,0.0,0.0,0,0,0,4580930000.0,3.9,0.3,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,5,25,457573000000.0
4810,3132,3.9,4.2,4.2,3.9,1788230,0.0,0.0,0,0,0,7374440000.0,4.2,0.5,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,5,26,867663000000.0
4809,3132,4.4,4.7,4.7,4.2,1196450,0.0,0.0,0,0,0,5355240000.0,4.7,0.6,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,5,29,598726000000.0
4808,3132,4.8,4.7,4.8,4.2,1695820,0.0,0.0,0,0,0,7567660000.0,4.7,0.2,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,5,30,797759000000.0
4807,3132,4.6,5.1,5.1,4.5,1789310,0.0,0.0,0,0,0,8960920000.0,5.1,0.6,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,5,31,860345000000.0
4806,3132,5.1,5.6,5.7,5.1,1651760,0.0,0.0,0,0,0,8952850000.0,5.6,0.6,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,6,1,784243000000.0
4805,3132,5.6,5.1,5.8,4.9,1469670,0.0,0.0,0,0,0,7553270000.0,5.1,-0.3,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,6,2,911677000000.0
4804,3132,5.1,5.3,5.5,4.8,938752,0.0,0.0,0,0,0,4920330000.0,5.3,0.2,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,6,5,850691000000.0
4803,3132,5.4,5.5,5.7,5.2,812707,0.0,0.0,0,0,0,4405640000.0,5.5,0.3,0,Công ty cổ phần BOT Cầu Thái Hà,BOT,UPCOM,2019-02-14,,0.0,Công nghiệp,2023,6,6,735226000000.0
