session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,3224,16.9,16.9,16.9,16.9,9110,0.0,0.0,0,0,0,153959000.0,15.68,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,5,17,596787000000.0
4816,3224,16.9,16.8,16.9,16.8,12000,0.0,0.0,0,0,0,202300000.0,15.59,-0.1,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,5,18,452755000000.0
4815,3224,16.9,16.9,16.9,16.9,0,0.0,0.0,0,0,0,0.0,15.68,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,5,19,610612000000.0
4814,3224,16.8,16.7,16.8,16.7,6200,0.0,0.0,0,0,0,104130000.0,15.5,-0.2,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,5,22,541384000000.0
4813,3224,16.8,16.7,16.8,16.7,11000,0.0,0.0,0,0,0,184700000.0,15.5,-0.1,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,5,23,589042000000.0
4812,3224,16.8,16.8,16.8,16.8,18516,0.0,0.0,0,0,0,311065000.0,15.59,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,5,24,417134000000.0
4811,3224,16.8,16.7,16.8,16.7,6130,0.0,0.0,0,0,0,102426000.0,15.5,-0.1,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,5,25,457573000000.0
4810,3224,16.7,16.7,16.7,16.5,18300,0.0,0.0,0,0,0,305430000.0,15.5,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,5,26,867663000000.0
4809,3224,16.7,16.6,16.7,16.6,20200,0.0,0.0,0,0,0,336620000.0,15.4,-0.1,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,5,29,598726000000.0
4808,3224,16.9,16.7,16.9,16.7,17611,0.0,0.0,0,0,0,294164000.0,15.5,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,5,30,797759000000.0
4807,3224,16.7,16.7,16.7,16.6,7700,0.0,0.0,0,0,0,128560000.0,15.5,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,5,31,860345000000.0
4806,3224,16.7,16.7,16.7,16.7,39000,0.0,0.0,0,0,0,651300000.0,15.5,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,1,784243000000.0
4805,3224,16.8,16.7,17.0,16.7,43064,0.0,0.0,0,0,0,721279000.0,15.5,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,2,911677000000.0
4804,3224,16.8,17.0,17.0,16.8,5432,0.0,0.0,0,0,0,91817600.0,15.77,0.3,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,5,850691000000.0
4803,3224,17.0,16.7,17.4,16.7,35825,0.0,0.0,0,0,0,602025000.0,15.5,-0.2,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,6,735226000000.0
4802,3224,17.0,16.7,17.0,16.7,5300,0.0,0.0,0,0,0,89220000.0,15.5,-0.1,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,7,779549000000.0
4801,3224,16.8,17.0,17.0,16.8,3300,0.0,0.0,0,0,0,55840000.0,15.77,0.2,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,8,972083000000.0
4800,3224,16.9,16.9,16.9,16.9,500,0.0,0.0,0,0,0,8450000.0,15.68,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,9,784155000000.0
4799,3224,16.9,16.9,17.0,16.9,7300,0.0,0.0,0,0,0,123490000.0,15.68,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,12,637523000000.0
4798,3224,16.8,16.8,16.8,16.8,200,0.0,0.0,0,0,0,3360000.0,15.59,-0.1,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,14,763309000000.0
4797,3224,16.9,16.8,16.9,16.8,12000,0.0,0.0,0,0,0,202680000.0,15.59,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,15,619574000000.0
4796,3224,16.9,16.9,16.9,16.9,20100,0.0,0.0,0,0,0,339690000.0,15.68,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,16,897713000000.0
4795,3224,16.9,16.9,16.9,16.9,2800,0.0,0.0,0,0,0,47320000.0,15.68,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,19,554708000000.0
4794,3224,16.9,16.9,16.9,16.9,6500,0.0,0.0,0,0,0,109850000.0,15.68,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,20,557490000000.0
4793,3224,16.9,16.9,16.9,16.9,2700,0.0,0.0,0,0,0,45630000.0,15.68,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,21,817903000000.0
4792,3224,16.9,16.9,16.9,16.9,10000,0.0,0.0,0,0,0,169000000.0,15.68,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,22,833329000000.0
4791,3224,16.9,16.9,17.0,16.9,5405,0.0,0.0,0,0,0,91375000.0,15.68,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,23,847219000000.0
4790,3224,16.9,16.9,16.9,16.9,4500,0.0,0.0,0,0,0,76050000.0,15.68,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,26,860095000000.0
4789,3224,17.0,17.0,17.0,17.0,4005,0.0,0.0,0,0,0,68085000.0,15.77,0.1,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,27,567850000000.0
4788,3224,17.0,17.0,17.0,16.9,39000,0.0,0.0,0,0,0,661790000.0,15.77,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,28,659102000000.0
4787,3224,17.0,17.0,17.0,17.0,3102,0.0,0.0,0,0,0,52733800.0,15.77,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,29,666695000000.0
4786,3224,17.0,17.0,17.0,17.0,0,0.0,0.0,0,0,0,0.0,15.77,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,6,30,543269000000.0
4785,3224,17.0,17.1,17.2,17.0,4243,0.0,0.0,0,0,0,72269600.0,15.87,0.1,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,3,477651000000.0
4784,3224,17.0,17.0,17.0,17.0,5000,0.0,0.0,0,0,0,85000000.0,15.77,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,4,638481000000.0
4783,3224,17.3,17.4,17.5,17.3,28937,0.0,0.0,0,0,0,504847000.0,16.14,0.4,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,5,701030000000.0
4782,3224,17.3,17.3,17.3,17.3,1000,0.0,0.0,0,0,0,17300000.0,16.05,-0.1,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,6,637903000000.0
4781,3224,17.3,17.3,17.3,17.1,16600,0.0,0.0,0,0,0,284590000.0,16.05,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,7,729580000000.0
4780,3224,17.2,17.2,17.2,17.2,444,0.0,0.0,0,0,0,7522400.0,15.96,0.1,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,10,1270370000000.0
4779,3224,17.4,17.4,17.4,17.4,2020,0.0,0.0,0,0,0,35144000.0,16.14,0.2,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,11,779753000000.0
4778,3224,17.3,17.3,17.4,17.3,15539,0.0,0.0,0,0,0,268808000.0,16.05,-0.1,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,12,885074000000.0
4777,3224,17.4,17.3,17.4,17.3,2100,0.0,0.0,0,0,0,36480000.0,16.05,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,13,793503000000.0
4776,3224,17.3,17.4,17.4,17.3,1140,0.0,0.0,0,0,0,19822000.0,16.14,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,14,907996000000.0
4775,3224,17.4,17.4,17.4,17.4,6900,0.0,0.0,0,0,0,120060000.0,16.14,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,17,838562000000.0
4774,3224,17.5,17.4,17.5,17.4,8000,0.0,0.0,0,0,0,139210000.0,16.14,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,18,673486000000.0
4773,3224,17.5,17.6,17.6,17.5,5939,0.0,0.0,0,0,0,104169000.0,16.33,0.2,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,19,739111000000.0
4772,3224,17.5,17.5,17.5,17.5,12220,0.0,0.0,0,0,0,213850000.0,16.24,0.0,0,Công ty Cổ phần Thủy Điện Buôn Đôn,BSA,UPCOM,2018-08-20,,0.0,Năng lượng,2023,7,20,602157000000.0
