session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,2644,10.7,10.7,10.7,10.7,100,0.0,0.0,0,0,0,1070000.0,9.38,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,5,17,596787000000.0
4816,2644,10.9,10.9,10.9,10.9,200,0.0,0.0,0,0,0,2180000.0,9.55,0.2,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,5,18,452755000000.0
4815,2644,10.9,10.9,10.9,10.9,0,0.0,0.0,0,0,0,0.0,9.55,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,5,19,610612000000.0
4814,2644,11.3,11.3,11.3,11.3,2400,0.0,0.0,0,0,0,27120000.0,9.9,0.4,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,5,22,541384000000.0
4813,2644,11.3,11.3,11.3,11.3,100,0.0,0.0,0,0,0,1130000.0,9.9,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,5,23,589042000000.0
4812,2644,11.3,11.3,11.3,11.3,0,0.0,0.0,0,0,0,0.0,9.9,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,5,24,417134000000.0
4811,2644,11.3,11.3,11.3,11.3,0,0.0,0.0,0,0,0,0.0,9.9,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,5,25,457573000000.0
4810,2644,10.7,10.7,10.7,10.7,100,0.0,0.0,0,0,0,1070000.0,9.38,-0.6,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,5,26,867663000000.0
4809,2644,10.7,10.7,10.7,10.7,0,0.0,0.0,0,0,0,0.0,9.38,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,5,29,598726000000.0
4808,2644,10.7,10.7,10.7,10.7,0,0.0,0.0,0,0,0,0.0,9.38,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,5,30,797759000000.0
4807,2644,10.7,10.7,10.7,10.7,0,0.0,0.0,0,0,0,0.0,9.38,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,5,31,860345000000.0
4806,2644,12.2,12.2,12.2,12.2,500,0.0,0.0,0,0,0,6100000.0,10.69,1.5,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,1,784243000000.0
4805,2644,12.2,12.2,12.2,12.2,0,0.0,0.0,0,0,0,0.0,10.69,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,2,911677000000.0
4804,2644,12.2,12.2,12.2,12.2,0,0.0,0.0,0,0,0,0.0,10.69,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,5,850691000000.0
4803,2644,11.1,11.1,11.1,11.1,200,0.0,0.0,0,0,0,2220000.0,9.73,-1.1,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,6,735226000000.0
4802,2644,11.1,11.1,11.1,11.1,0,0.0,0.0,0,0,0,0.0,9.73,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,7,779549000000.0
4801,2644,12.1,12.1,12.1,12.1,100,0.0,0.0,0,0,0,1210000.0,10.6,1.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,8,972083000000.0
4800,2644,11.0,11.0,11.0,11.0,1000,0.0,0.0,0,0,0,11000000.0,9.64,-1.1,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,9,784155000000.0
4799,2644,11.0,11.0,11.0,11.0,0,0.0,0.0,0,0,0,0.0,9.64,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,12,637523000000.0
4798,2644,10.8,11.0,11.0,10.8,1500,0.0,0.0,0,0,0,16400000.0,9.64,-0.1,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,14,763309000000.0
4797,2644,10.9,10.9,10.9,10.9,0,0.0,0.0,0,0,0,0.0,9.55,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,15,619574000000.0
4796,2644,10.9,11.0,10.9,10.9,3,0.0,0.0,0,0,0,32700.0,9.64,0.1,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,16,897713000000.0
4795,2644,10.9,10.9,10.9,10.9,0,0.0,0.0,0,0,0,0.0,9.55,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,19,554708000000.0
4794,2644,10.9,10.9,10.9,10.9,0,0.0,0.0,0,0,0,0.0,9.55,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,20,557490000000.0
4793,2644,10.9,10.9,10.9,10.9,0,0.0,0.0,0,0,0,0.0,9.55,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,21,817903000000.0
4792,2644,11.1,11.5,11.5,11.1,1900,0.0,0.0,0,0,0,21570000.0,10.08,0.6,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,22,833329000000.0
4791,2644,10.9,10.9,10.9,10.9,0,0.0,0.0,0,0,0,0.0,9.99,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,23,847219000000.0
4790,2644,10.9,10.9,10.9,10.9,0,0.0,0.0,0,0,0,0.0,9.99,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,26,860095000000.0
4789,2644,10.9,11.5,10.9,10.9,1,0.0,0.0,0,0,0,10900.0,10.54,0.6,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,27,567850000000.0
4788,2644,10.9,10.9,10.9,10.9,0,0.0,0.0,0,0,0,0.0,9.99,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,28,659102000000.0
4787,2644,10.9,10.9,10.9,10.9,0,0.0,0.0,0,0,0,0.0,9.99,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,29,666695000000.0
4786,2644,10.9,10.9,10.9,10.9,0,0.0,0.0,0,0,0,0.0,9.99,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,6,30,543269000000.0
4785,2644,12.0,12.0,12.0,12.0,100,0.0,0.0,0,0,0,1200000.0,11.0,1.1,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,7,3,477651000000.0
4784,2644,12.0,12.0,12.0,12.0,100,0.0,0.0,0,0,0,1200000.0,11.0,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,7,4,638481000000.0
4783,2644,12.0,12.0,12.0,12.0,3,0.0,0.0,0,0,0,36000.0,11.0,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,7,5,701030000000.0
4782,2644,12.0,12.0,12.0,12.0,1,0.0,0.0,0,0,0,12000.0,11.0,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,7,6,637903000000.0
4781,2644,12.0,12.0,12.0,12.0,0,0.0,0.0,0,0,0,0.0,11.0,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,7,7,729580000000.0
4780,2644,13.0,13.0,13.0,13.0,200,0.0,0.0,0,0,0,2600000.0,11.92,1.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,7,10,1270370000000.0
4779,2644,11.1,11.1,11.1,11.1,1001,0.0,0.0,0,0,0,11111900.0,10.18,-1.9,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,7,11,779753000000.0
4778,2644,11.1,11.1,11.1,11.1,0,0.0,0.0,0,0,0,0.0,10.18,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,7,12,885074000000.0
4777,2644,11.4,11.2,11.4,11.2,200,0.0,0.0,0,0,0,2260000.0,10.27,0.1,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,7,13,793503000000.0
4776,2644,11.3,11.3,11.3,11.3,0,0.0,0.0,0,0,0,0.0,10.36,0.0,0,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,BSP,UPCOM,2016-08-10,,0.0,Hàng tiêu dùng,2023,7,14,907996000000.0
