session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3648,6.6,6.8,6.8,6.41,120400,0.0,0.0,0,0,0,799000000.0,6.8,0.2,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,8,7818650000000.0
8530,3648,6.91,6.88,6.98,6.85,139300,0.0,0.0,0,0,0,959000000.0,6.88,0.08,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3648,6.85,6.66,6.85,6.65,148700,0.0,0.0,0,0,0,997000000.0,6.66,-0.24,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3648,6.41,6.8,6.81,6.41,190000,0.0,0.0,0,0,0,1268000000.0,6.8,0.1,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3648,6.8,6.75,6.95,6.57,238700,0.0,0.0,0,0,0,1615000000.0,6.75,-0.05,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3648,7.0,7.2,7.2,6.99,448900,0.0,0.0,0,0,0,3173000000.0,7.2,0.4,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3648,7.24,7.09,7.24,6.91,181200,0.0,0.0,0,0,0,1283000000.0,7.09,-0.11,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3648,7.3,7.06,7.3,7.05,142300,0.0,0.0,0,0,0,1019000000.0,7.06,-0.04,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3648,7.05,7.0,7.11,6.95,112300,0.0,0.0,0,0,0,786000000.0,7.0,-0.1,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3648,6.98,7.04,7.19,6.98,105900,0.0,0.0,0,0,0,748000000.0,7.04,0.04,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3648,7.17,7.01,7.17,7.0,149300,0.0,0.0,0,0,0,1053000000.0,7.01,0.01,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
8520,3648,7.02,7.09,7.1,7.0,115500,0.0,0.0,0,0,0,813000000.0,7.09,0.09,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,23,6539990000000.0
8519,3648,7.19,7.1,7.2,7.1,206000,0.0,0.0,0,0,0,1475000000.0,7.1,0.0,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,24,8145960000000.0
8518,3648,7.1,7.09,7.15,7.01,343600,0.0,0.0,0,0,0,2431000000.0,7.09,-0.01,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,27,8430340000000.0
8517,3648,7.1,7.07,7.18,7.02,299200,0.0,0.0,0,0,0,2119000000.0,7.07,-0.03,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,28,9714650000000.0
8516,3648,7.09,7.06,7.1,7.03,255800,0.0,0.0,0,0,0,1805000000.0,7.06,-0.04,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,29,7305170000000.0
8515,3648,7.06,7.04,7.1,7.01,333900,0.0,0.0,0,0,0,2353000000.0,7.04,-0.06,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,30,9656120000000.0
8514,3648,7.06,7.04,7.06,6.99,342400,0.0,0.0,0,0,0,2400000000.0,7.04,0.04,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,3,31,10498800000000.0
8513,3648,7.11,7.45,7.45,7.11,678100,0.0,0.0,0,0,0,4932000000.0,7.45,0.45,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,3,12983200000000.0
8512,3648,7.47,7.45,7.65,7.4,607300,0.0,0.0,0,0,0,4542000000.0,7.45,-0.05,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,4,12386800000000.0
8511,3648,7.49,7.59,7.6,7.44,539600,0.0,0.0,0,0,0,4050000000.0,7.59,0.09,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,5,11435900000000.0
8510,3648,7.68,7.6,7.97,7.6,825800,0.0,0.0,0,0,0,6460000000.0,7.6,0.0,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,6,14836000000000.0
8509,3648,7.75,7.62,7.8,7.51,424800,0.0,0.0,0,0,0,3242000000.0,7.62,0.02,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,7,9555430000000.0
8508,3648,7.62,7.68,7.92,7.6,355100,0.0,0.0,0,0,0,2759000000.0,7.68,0.08,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,10,13080300000000.0
8507,3648,7.6,7.68,7.7,7.5,363000,0.0,0.0,0,0,0,2758000000.0,7.68,-0.02,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,11,10352300000000.0
8506,3648,7.61,7.6,7.7,7.56,329600,0.0,0.0,0,0,0,2511000000.0,7.6,-0.1,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,12,11237900000000.0
8505,3648,7.7,7.63,7.7,7.55,272300,0.0,0.0,0,0,0,2065000000.0,7.63,0.03,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,13,10048100000000.0
8504,3648,7.63,7.4,7.63,7.4,338000,0.0,0.0,0,0,0,2534000000.0,7.4,-0.2,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,14,11983800000000.0
8503,3648,7.4,7.3,7.4,7.24,279100,0.0,0.0,0,0,0,2039000000.0,7.3,-0.1,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,17,6714600000000.0
8502,3648,7.3,7.41,7.43,7.3,237700,0.0,0.0,0,0,0,1748000000.0,7.41,0.11,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,18,8462260000000.0
8501,3648,7.57,7.31,7.57,7.23,293800,0.0,0.0,0,0,0,2171000000.0,7.31,-0.09,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,19,8609420000000.0
8500,3648,7.3,7.3,7.33,7.25,233900,0.0,0.0,0,0,0,1704000000.0,7.3,0.0,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,20,5636530000000.0
8499,3648,7.3,7.39,7.39,7.25,213500,0.0,0.0,0,0,0,1557000000.0,7.39,0.09,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,21,8838180000000.0
8498,3648,7.4,7.28,7.4,7.26,87900,0.0,0.0,0,0,0,640000000.0,7.28,-0.12,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,24,7199740000000.0
8497,3648,7.4,7.23,7.4,7.23,128700,0.0,0.0,0,0,0,938000000.0,7.23,-0.07,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,25,8456240000000.0
8496,3648,7.21,7.28,7.28,7.15,83000,0.0,0.0,0,0,0,597000000.0,7.28,0.08,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,26,7520090000000.0
8495,3648,7.66,7.43,7.66,7.4,244300,0.0,0.0,0,0,0,1821000000.0,7.43,0.15,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,27,7600150000000.0
8494,3648,7.6,7.54,7.6,7.48,173900,0.0,0.0,0,0,0,1312000000.0,7.54,0.11,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,4,28,9308330000000.0
8493,3648,7.54,7.56,7.68,7.5,243900,0.0,0.0,0,0,0,1853000000.0,7.56,0.06,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,5,4,9259100000000.0
8492,3648,7.55,7.51,7.6,7.5,195100,0.0,0.0,0,0,0,1475000000.0,7.51,-0.05,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,5,5,6891880000000.0
8491,3648,7.52,7.85,7.9,7.52,608900,0.0,0.0,0,0,0,4686000000.0,7.85,0.35,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,5,8,9352890000000.0
8490,3648,7.94,7.92,7.94,7.84,409300,0.0,0.0,0,0,0,3227000000.0,7.92,0.02,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,5,9,8040740000000.0
8489,3648,7.92,8.3,8.31,7.92,766500,0.0,0.0,0,0,0,6290000000.0,8.3,0.4,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,5,10,9830030000000.0
8488,3648,8.31,8.43,8.55,8.31,504400,0.0,0.0,0,0,0,4265000000.0,8.43,0.13,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,5,11,10795100000000.0
8487,3648,8.42,8.43,8.45,8.25,452700,0.0,0.0,0,0,0,3780000000.0,8.43,0.03,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,5,12,11117600000000.0
8486,3648,8.43,8.27,8.45,8.27,590400,0.0,0.0,0,0,0,4921000000.0,8.27,-0.16,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,5,15,12607000000000.0
8485,3648,8.15,8.2,8.35,8.15,220000,0.0,0.0,0,0,0,1810000000.0,8.2,-0.07,0,Công ty Cổ phần Bất động sản Thế kỷ,CRE,HOSE,2018-09-05,,0.0,Bất động sản và Xây dựng,2023,5,16,9638180000000.0
