session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,2562,47.0,46.0,47.5,46.0,24100,0.0,0.0,0,0,0,1127390000.0,46.0,-1.3,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,5,17,596787000000.0
4816,2562,46.0,47.3,47.5,46.0,22800,0.0,0.0,0,0,0,1069730000.0,47.3,0.5,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,5,18,452755000000.0
4815,2562,47.0,47.3,47.5,46.2,21300,0.0,0.0,0,0,0,1000160000.0,47.3,0.4,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,5,19,610612000000.0
4814,2562,47.0,48.5,49.0,47.0,26300,0.0,0.0,0,0,0,1257670000.0,48.5,1.5,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,5,22,541384000000.0
4813,2562,47.8,48.3,48.7,47.5,19800,0.0,0.0,0,0,0,952540000.0,48.3,0.5,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,5,23,589042000000.0
4812,2562,48.2,48.6,48.8,47.5,22800,0.0,0.0,0,0,0,1100120000.0,48.6,0.5,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,5,24,417134000000.0
4811,2562,48.0,47.6,48.5,47.5,19100,0.0,0.0,0,0,0,915610000.0,47.6,-0.7,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,5,25,457573000000.0
4810,2562,47.5,48.0,48.5,47.5,20500,0.0,0.0,0,0,0,984430000.0,48.0,0.1,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,5,26,867663000000.0
4809,2562,47.0,49.0,49.0,47.0,24501,0.0,0.0,0,0,0,1179920000.0,49.0,1.0,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,5,29,598726000000.0
4808,2562,48.0,48.4,48.6,48.0,19900,0.0,0.0,0,0,0,960320000.0,48.4,0.2,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,5,30,797759000000.0
4807,2562,48.0,48.6,48.6,47.8,21900,0.0,0.0,0,0,0,1056870000.0,48.6,0.3,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,5,31,860345000000.0
4806,2562,48.0,50.3,50.3,48.0,37800,0.0,0.0,0,0,0,1867540000.0,50.3,2.0,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,6,1,784243000000.0
4805,2562,50.0,51.0,51.1,50.0,21700,0.0,0.0,0,0,0,1099540000.0,51.0,1.6,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,6,2,911677000000.0
4804,2562,51.0,50.9,51.8,50.3,24400,0.0,0.0,0,0,0,1246390000.0,50.9,0.2,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,6,5,850691000000.0
4803,2562,51.0,53.9,53.9,51.0,32600,0.0,0.0,0,0,0,1712530000.0,53.9,2.8,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,6,6,735226000000.0
4802,2562,53.0,54.0,54.5,53.0,26200,0.0,0.0,0,0,0,1402680000.0,54.0,1.5,0,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,CSI,UPCOM,2019-03-15,,0.0,Tài chính,2023,6,7,779549000000.0
