session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3448,55.5,57.5,57.5,55.5,97400,0.0,0.0,0,0,0,5527000000.0,55.5,1.2,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,8,7818650000000.0
8530,3448,57.1,57.5,57.8,57.1,117200,0.0,0.0,0,0,0,6736000000.0,55.5,0.0,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,9,9605920000000.0
8529,3448,56.2,57.0,57.4,56.2,83900,0.0,0.0,0,0,0,4778000000.0,55.02,-0.5,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,10,7802560000000.0
8528,3448,56.5,56.3,56.9,56.0,74600,0.0,0.0,0,0,0,4211000000.0,54.34,-0.7,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,13,8852640000000.0
8527,3448,56.3,55.4,56.5,55.3,86900,0.0,0.0,0,0,0,4838000000.0,53.47,-0.9,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,14,9157830000000.0
8526,3448,57.9,56.6,57.9,56.2,58800,0.0,0.0,0,0,0,3353000000.0,54.63,1.2,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,15,9044830000000.0
8525,3448,55.8,56.6,56.6,55.8,85900,0.0,0.0,0,0,0,4833000000.0,54.63,0.0,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,16,7993400000000.0
8524,3448,57.0,56.2,57.0,56.1,22200,0.0,0.0,0,0,0,1252000000.0,54.24,-0.4,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,17,9056930000000.0
8523,3448,56.0,55.5,56.4,55.4,60100,0.0,0.0,0,0,0,3346000000.0,53.57,-0.7,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,20,8000550000000.0
8522,3448,55.8,55.8,55.8,55.2,38600,0.0,0.0,0,0,0,2140000000.0,53.86,0.3,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,21,6678120000000.0
8521,3448,56.0,55.8,57.0,55.8,41500,0.0,0.0,0,0,0,2324000000.0,53.86,0.0,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,22,7063540000000.0
8520,3448,55.8,55.8,55.8,55.5,25700,0.0,0.0,0,0,0,1429000000.0,53.86,0.0,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,23,6539990000000.0
8519,3448,55.9,55.9,56.4,55.8,53000,0.0,0.0,0,0,0,2965000000.0,53.95,0.1,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,24,8145960000000.0
8518,3448,55.8,56.1,56.5,55.8,52000,0.0,0.0,0,0,0,2916000000.0,54.15,0.2,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,27,8430340000000.0
8517,3448,56.1,56.8,56.8,56.1,96400,0.0,0.0,0,0,0,5447000000.0,54.82,0.7,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,28,9714650000000.0
8516,3448,56.8,56.7,57.0,56.1,99600,0.0,0.0,0,0,0,5651000000.0,54.73,-0.1,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,29,7305170000000.0
8515,3448,56.9,59.5,59.7,56.9,538700,0.0,0.0,0,0,0,31698000000.0,57.43,2.8,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,30,9656120000000.0
8514,3448,60.0,61.0,61.9,59.6,649500,0.0,0.0,0,0,0,39092000000.0,58.88,1.5,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,3,31,10498800000000.0
8513,3448,62.0,62.5,62.5,61.1,279800,0.0,0.0,0,0,0,17343000000.0,60.32,1.5,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,3,12983200000000.0
8512,3448,62.5,62.4,62.5,61.6,176700,0.0,0.0,0,0,0,10965000000.0,60.23,-0.1,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,4,12386800000000.0
8511,3448,62.0,64.2,64.2,61.7,215400,0.0,0.0,0,0,0,13565000000.0,61.97,1.8,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,5,11435900000000.0
8510,3448,64.1,65.6,66.5,64.1,296900,0.0,0.0,0,0,0,19463000000.0,63.32,1.4,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,6,14836000000000.0
8509,3448,65.6,64.0,65.6,63.8,181200,0.0,0.0,0,0,0,11701000000.0,61.77,-1.6,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,7,9555430000000.0
8508,3448,64.2,63.6,65.9,62.8,183900,0.0,0.0,0,0,0,11771000000.0,61.39,-0.4,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,10,13080300000000.0
8507,3448,64.6,66.4,66.4,63.8,320900,0.0,0.0,0,0,0,20987000000.0,64.09,2.8,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,11,10352300000000.0
8506,3448,66.4,65.2,67.4,65.0,143900,0.0,0.0,0,0,0,9577000000.0,62.93,-1.2,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,12,11237900000000.0
8505,3448,65.2,65.4,65.8,64.9,65100,0.0,0.0,0,0,0,4241000000.0,63.12,0.2,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,13,10048100000000.0
8504,3448,65.9,64.0,66.1,64.0,173000,0.0,0.0,0,0,0,11276000000.0,61.77,-1.4,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,14,11983800000000.0
8503,3448,63.5,64.4,64.8,63.2,76200,0.0,0.0,0,0,0,4859000000.0,62.16,0.4,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,17,6714600000000.0
8502,3448,64.1,64.7,65.4,64.1,137600,0.0,0.0,0,0,0,8917000000.0,62.45,0.3,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,18,8462260000000.0
8501,3448,65.5,64.1,65.5,63.8,89600,0.0,0.0,0,0,0,5779000000.0,61.87,-0.6,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,19,8609420000000.0
8500,3448,64.9,63.7,64.9,62.9,121000,0.0,0.0,0,0,0,7699000000.0,61.48,-0.4,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,20,5636530000000.0
8499,3448,63.4,63.3,63.9,63.0,59000,0.0,0.0,0,0,0,3732000000.0,61.1,-0.4,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,21,8838180000000.0
8498,3448,63.0,62.5,63.6,62.0,95300,0.0,0.0,0,0,0,5958000000.0,60.32,-0.8,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,24,7199740000000.0
8497,3448,62.6,65.2,65.2,62.5,192700,0.0,0.0,0,0,0,12358000000.0,62.93,2.7,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,25,8456240000000.0
8496,3448,65.1,66.4,68.5,64.2,573400,0.0,0.0,0,0,0,38660000000.0,64.09,1.2,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,26,7520090000000.0
8495,3448,67.8,66.0,67.8,66.0,147900,0.0,0.0,0,0,0,9845000000.0,63.7,-0.4,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,27,7600150000000.0
8494,3448,66.0,66.5,67.2,65.6,208800,0.0,0.0,0,0,0,13821000000.0,64.19,0.5,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,4,28,9308330000000.0
8493,3448,66.1,63.1,66.5,62.0,286200,0.0,0.0,0,0,0,18547000000.0,60.9,-3.4,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,4,9259100000000.0
8492,3448,63.0,64.0,64.9,62.5,179900,0.0,0.0,0,0,0,11469000000.0,61.77,0.9,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,5,6891880000000.0
8491,3448,64.1,65.6,66.0,64.1,92200,0.0,0.0,0,0,0,6038000000.0,63.32,1.6,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,8,9352890000000.0
8490,3448,65.6,65.8,66.2,64.9,295500,0.0,0.0,0,0,0,19325000000.0,63.51,0.2,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,9,8040740000000.0
8489,3448,65.8,65.1,66.2,64.9,279900,0.0,0.0,0,0,0,18302000000.0,62.83,-0.7,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,10,9830030000000.0
8488,3448,65.4,66.5,66.5,65.0,186800,0.0,0.0,0,0,0,12359000000.0,64.19,1.4,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,11,10795100000000.0
8487,3448,66.5,67.2,67.5,66.0,251000,0.0,0.0,0,0,0,16805000000.0,64.86,0.7,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,12,11117600000000.0
8486,3448,67.2,67.2,68.0,65.5,177800,0.0,0.0,0,0,0,11864000000.0,64.86,0.0,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,15,12607000000000.0
8485,3448,67.2,66.6,67.2,66.2,103500,0.0,0.0,0,0,0,6921000000.0,64.28,-0.6,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,16,9638180000000.0
8484,3448,66.4,66.0,67.2,66.0,84000,0.0,0.0,0,0,0,5581000000.0,63.7,-0.6,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,17,11644500000000.0
8483,3448,66.0,65.7,66.5,65.6,210400,0.0,0.0,0,0,0,13860000000.0,63.41,-0.3,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,18,10252200000000.0
8482,3448,66.9,66.7,66.9,66.0,139500,0.0,0.0,0,0,0,9276000000.0,64.38,1.0,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,19,10585100000000.0
8481,3448,67.3,69.0,69.6,67.3,569000,0.0,0.0,0,0,0,39028000000.0,66.6,2.3,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,22,11015600000000.0
8480,3448,70.3,70.9,71.1,69.3,339700,0.0,0.0,0,0,0,23873000000.0,68.43,1.9,0,Tổng công ty cổ phần công trình Viettel,CTR,HOSE,2022-02-23,,0.0,Viễn thông,2023,5,23,11892800000000.0
