session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3446,6.54,6.68,6.68,6.54,3400,0.0,0.0,0,0,0,22000000.0,6.07,0.08,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,8,7818650000000.0
8530,3446,6.6,6.68,6.68,6.6,8800,0.0,0.0,0,0,0,58000000.0,6.07,-0.02,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3446,6.6,6.75,6.75,6.6,3800,0.0,0.0,0,0,0,25000000.0,6.14,0.05,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3446,6.53,6.69,6.72,6.53,2400,0.0,0.0,0,0,0,15000000.0,6.08,-0.11,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3446,6.51,6.65,6.65,6.5,5500,0.0,0.0,0,0,0,35000000.0,6.05,-0.05,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3446,6.36,6.55,6.73,6.36,5600,0.0,0.0,0,0,0,36000000.0,5.95,-0.15,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3446,6.55,6.42,6.55,6.42,35600,0.0,0.0,0,0,0,230000000.0,5.84,-0.18,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3446,6.65,6.59,6.66,6.5,12600,0.0,0.0,0,0,0,83000000.0,5.99,0.19,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3446,6.55,6.58,6.59,6.49,45500,0.0,0.0,0,0,0,297000000.0,5.98,-0.02,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3446,6.5,6.58,6.6,6.45,17700,0.0,0.0,0,0,0,116000000.0,5.98,-0.02,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3446,6.6,6.5,6.6,6.5,1200,0.0,0.0,0,0,0,7000000.0,5.91,-0.1,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
8520,3446,6.5,6.5,6.5,6.5,1700,0.0,0.0,0,0,0,11000000.0,5.91,0.0,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,23,6539990000000.0
8519,3446,6.59,6.49,6.68,6.48,48400,0.0,0.0,0,0,0,317000000.0,5.9,-0.01,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,24,8145960000000.0
8518,3446,6.5,6.65,6.65,6.49,24800,0.0,0.0,0,0,0,162000000.0,6.05,0.15,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,27,8430340000000.0
8517,3446,6.79,6.67,6.87,6.65,20200,0.0,0.0,0,0,0,135000000.0,6.06,-0.03,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,28,9714650000000.0
8516,3446,6.67,6.65,6.67,6.45,8400,0.0,0.0,0,0,0,54000000.0,6.05,-0.05,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,29,7305170000000.0
8515,3446,6.5,6.6,6.8,6.5,21500,0.0,0.0,0,0,0,142000000.0,6.0,-0.1,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,30,9656120000000.0
8514,3446,6.53,6.79,6.79,6.5,10900,0.0,0.0,0,0,0,71000000.0,6.17,0.19,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,3,31,10498800000000.0
8513,3446,6.73,6.78,6.79,6.5,58400,0.0,0.0,0,0,0,388000000.0,6.16,-0.02,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,4,3,12983200000000.0
8512,3446,6.81,6.79,6.82,6.78,6500,0.0,0.0,0,0,0,44000000.0,6.17,-0.01,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,4,4,12386800000000.0
8511,3446,6.79,7.0,7.0,6.79,54800,0.0,0.0,0,0,0,379000000.0,6.36,0.2,0,Công ty cổ phần Xây dựng DIC Holdings,DC4,HOSE,2020-10-20,,0.0,Bất động sản và Xây dựng,2023,4,5,11435900000000.0
