session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,3038,9.4,9.5,9.5,9.4,2079,0.0,0.0,0,0,0,19704200.0,9.02,0.0,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,5,17,596787000000.0
4816,3038,9.8,9.6,9.8,9.5,4610,0.0,0.0,0,0,0,44006000.0,9.11,0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,5,18,452755000000.0
4815,3038,9.6,9.6,9.7,9.6,27100,0.0,0.0,0,0,0,261050000.0,9.11,0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,5,19,610612000000.0
4814,3038,9.6,9.7,9.7,9.6,17400,0.0,0.0,0,0,0,167600000.0,9.21,0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,5,22,541384000000.0
4813,3038,9.6,9.7,9.7,9.6,5915,0.0,0.0,0,0,0,57365500.0,9.21,0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,5,23,589042000000.0
4812,3038,9.8,9.7,9.8,9.7,33482,0.0,0.0,0,0,0,324765000.0,9.21,0.0,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,5,24,417134000000.0
4811,3038,9.8,9.8,9.8,9.7,6607,0.0,0.0,0,0,0,64419500.0,9.3,0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,5,25,457573000000.0
4810,3038,9.8,9.8,9.9,9.8,11918,0.0,0.0,0,0,0,116800000.0,9.3,0.0,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,5,26,867663000000.0
4809,3038,9.8,10.5,10.5,9.8,72747,0.0,0.0,0,0,0,717496000.0,9.97,0.7,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,5,29,598726000000.0
4808,3038,9.8,9.7,10.4,9.6,3273,0.0,0.0,0,0,0,31921200.0,9.7,0.3,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,5,30,797759000000.0
4807,3038,9.9,9.6,10.0,9.6,4638,0.0,0.0,0,0,0,45954800.0,9.6,-0.2,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,5,31,860345000000.0
4806,3038,9.9,9.5,9.9,9.5,23448,0.0,0.0,0,0,0,225336000.0,9.5,-0.4,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,1,784243000000.0
4805,3038,9.7,9.6,9.7,9.6,5740,0.0,0.0,0,0,0,55498000.0,9.6,0.0,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,2,911677000000.0
4804,3038,9.7,9.5,9.9,9.5,15416,0.0,0.0,0,0,0,149532000.0,9.5,-0.2,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,5,850691000000.0
4803,3038,9.5,9.7,9.8,9.5,18700,0.0,0.0,0,0,0,180912000.0,9.7,0.0,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,6,735226000000.0
4802,3038,9.7,9.7,9.7,9.7,7222,0.0,0.0,0,0,0,70051200.0,9.7,0.0,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,7,779549000000.0
4801,3038,9.7,9.5,9.7,9.5,8115,0.0,0.0,0,0,0,77342300.0,9.5,-0.2,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,8,972083000000.0
4800,3038,9.4,9.6,9.7,9.3,14038,0.0,0.0,0,0,0,134379000.0,9.6,0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,9,784155000000.0
4799,3038,10.0,9.7,10.0,9.7,3138,0.0,0.0,0,0,0,30462000.0,9.7,0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,12,637523000000.0
4798,3038,9.8,9.7,9.8,9.7,8800,0.0,0.0,0,0,0,85690000.0,9.7,-0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,14,763309000000.0
4797,3038,9.7,9.6,9.7,9.6,600,0.0,0.0,0,0,0,5810000.0,9.6,-0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,15,619574000000.0
4796,3038,9.7,9.6,9.8,9.6,2028,0.0,0.0,0,0,0,19577800.0,9.6,-0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,16,897713000000.0
4795,3038,9.5,9.6,9.6,9.5,710,0.0,0.0,0,0,0,6805000.0,9.6,-0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,19,554708000000.0
4794,3038,9.6,9.5,9.6,9.5,3241,0.0,0.0,0,0,0,31002100.0,9.5,-0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,20,557490000000.0
4793,3038,9.6,9.5,9.6,9.5,2721,0.0,0.0,0,0,0,25871500.0,9.5,-0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,21,817903000000.0
4792,3038,9.5,9.5,9.5,9.5,3345,0.0,0.0,0,0,0,31778000.0,9.5,0.0,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,22,833329000000.0
4791,3038,9.4,9.5,9.6,9.4,7450,0.0,0.0,0,0,0,70565000.0,9.5,0.0,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,23,847219000000.0
4790,3038,9.5,9.6,9.6,9.4,6137,0.0,0.0,0,0,0,58729800.0,9.6,0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,26,860095000000.0
4789,3038,9.4,9.7,9.8,9.4,7100,0.0,0.0,0,0,0,68650000.0,9.7,0.1,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,27,567850000000.0
4788,3038,9.9,9.7,10.0,9.6,1860,0.0,0.0,0,0,0,18000000.0,9.7,0.0,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,28,659102000000.0
4787,3038,9.5,9.4,9.5,9.4,11930,0.0,0.0,0,0,0,112375000.0,9.4,-0.3,0,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),DDN,UPCOM,2009-06-24,,0.0,Y tế,2023,6,29,666695000000.0
