session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3565,49.5,50.6,50.6,49.5,953000,0.0,0.0,0,0,0,47819000000.0,49.64,0.0,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,8,7818650000000.0
8530,3565,50.8,51.9,52.1,50.5,2007000,0.0,0.0,0,0,0,103438000000.0,50.92,1.3,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,9,9605920000000.0
8529,3565,51.4,52.6,53.4,51.2,2711200,0.0,0.0,0,0,0,142510000000.0,51.61,0.7,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,10,7802560000000.0
8528,3565,52.0,51.8,52.6,51.3,1561700,0.0,0.0,0,0,0,81069000000.0,50.82,-0.8,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,13,8852640000000.0
8527,3565,51.6,51.6,52.4,51.0,1595700,0.0,0.0,0,0,0,82266000000.0,50.62,-0.2,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,14,9157830000000.0
8526,3565,52.3,52.5,52.9,51.8,1570700,0.0,0.0,0,0,0,82239000000.0,51.51,0.9,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,15,9044830000000.0
8525,3565,51.9,52.0,52.0,51.1,1034100,0.0,0.0,0,0,0,53316000000.0,51.02,-0.5,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,16,7993400000000.0
8524,3565,52.0,52.5,52.5,51.6,2142400,0.0,0.0,0,0,0,112099000000.0,51.51,0.5,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,17,9056930000000.0
8523,3565,52.0,50.6,52.3,50.6,1241900,0.0,0.0,0,0,0,63708000000.0,49.64,-1.9,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,20,8000550000000.0
8522,3565,50.9,51.0,51.5,49.5,1551500,0.0,0.0,0,0,0,77948000000.0,50.04,0.4,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,21,6678120000000.0
8521,3565,51.4,50.6,51.4,50.6,458200,0.0,0.0,0,0,0,23347000000.0,49.64,-0.4,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,22,7063540000000.0
8520,3565,50.1,50.6,51.0,50.1,656300,0.0,0.0,0,0,0,33237000000.0,49.64,0.0,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,23,6539990000000.0
8519,3565,50.8,50.6,51.0,50.4,721600,0.0,0.0,0,0,0,36577000000.0,49.64,0.0,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,24,8145960000000.0
8518,3565,50.6,51.0,51.1,50.5,877600,0.0,0.0,0,0,0,44592000000.0,50.04,0.4,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,27,8430340000000.0
8517,3565,51.1,51.7,52.2,51.0,1458000,0.0,0.0,0,0,0,75222000000.0,50.72,0.7,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,28,9714650000000.0
8516,3565,51.7,51.9,51.9,51.1,815400,0.0,0.0,0,0,0,42030000000.0,50.92,0.2,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,29,7305170000000.0
8515,3565,52.5,51.3,52.9,51.2,1268600,0.0,0.0,0,0,0,65838000000.0,50.33,-0.6,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,30,9656120000000.0
8514,3565,51.5,51.3,51.6,50.8,1234100,0.0,0.0,0,0,0,63082000000.0,50.33,0.0,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,3,31,10498800000000.0
8513,3565,51.5,52.0,52.1,51.4,1734700,0.0,0.0,0,0,0,89776000000.0,51.02,0.7,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,4,3,12983200000000.0
8512,3565,52.3,53.4,53.8,52.0,3419900,0.0,0.0,0,0,0,182245000000.0,52.39,1.4,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,4,4,12386800000000.0
8511,3565,53.9,54.2,54.9,53.5,2344300,0.0,0.0,0,0,0,127067000000.0,53.18,0.8,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,4,5,11435900000000.0
8510,3565,54.3,53.1,54.8,53.1,2312000,0.0,0.0,0,0,0,125143000000.0,52.1,-1.1,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,4,6,14836000000000.0
8509,3565,53.5,52.6,53.6,52.5,1345700,0.0,0.0,0,0,0,71206000000.0,51.61,-0.5,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,4,7,9555430000000.0
8508,3565,52.8,52.7,53.8,52.6,1890100,0.0,0.0,0,0,0,100485000000.0,51.7,0.1,0,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,DGC,HOSE,2020-07-28,,0.0,Nguyên vật liệu,2023,4,10,13080300000000.0
