session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3599,2.17,2.2,2.21,2.1,813500,0.0,0.0,0,0,0,1750000000.0,2.2,0.0,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,8,7818650000000.0
8530,3599,2.21,2.21,2.24,2.19,849900,0.0,0.0,0,0,0,1877000000.0,2.21,0.01,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3599,2.2,2.16,2.22,2.16,1103900,0.0,0.0,0,0,0,2401000000.0,2.16,-0.04,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3599,2.12,2.15,2.17,2.12,966600,0.0,0.0,0,0,0,2075000000.0,2.15,-0.05,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3599,2.16,2.09,2.17,2.09,1531500,0.0,0.0,0,0,0,3236000000.0,2.09,-0.11,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3599,2.15,2.14,2.17,2.12,939800,0.0,0.0,0,0,0,2023000000.0,2.14,0.04,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3599,2.14,2.08,2.15,2.08,1073600,0.0,0.0,0,0,0,2257000000.0,2.08,-0.02,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3599,2.1,2.08,2.14,2.08,589700,0.0,0.0,0,0,0,1235000000.0,2.08,-0.02,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3599,2.08,2.08,2.14,2.06,1143200,0.0,0.0,0,0,0,2385000000.0,2.08,-0.02,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3599,2.08,2.09,2.12,2.04,828600,0.0,0.0,0,0,0,1720000000.0,2.09,-0.01,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3599,2.09,2.09,2.11,2.08,522000,0.0,0.0,0,0,0,1095000000.0,2.09,-0.01,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
8520,3599,2.08,2.09,2.09,2.06,472600,0.0,0.0,0,0,0,983000000.0,2.09,-0.01,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,23,6539990000000.0
8519,3599,2.09,2.1,2.1,2.08,937300,0.0,0.0,0,0,0,1958000000.0,2.1,0.0,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,24,8145960000000.0
8518,3599,2.11,2.11,2.13,2.09,938900,0.0,0.0,0,0,0,1977000000.0,2.11,0.01,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,27,8430340000000.0
8517,3599,2.11,2.15,2.19,2.11,1326600,0.0,0.0,0,0,0,2863000000.0,2.15,0.05,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,28,9714650000000.0
8516,3599,2.15,2.11,2.15,2.11,699100,0.0,0.0,0,0,0,1481000000.0,2.11,-0.09,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,29,7305170000000.0
8515,3599,2.13,2.12,2.16,2.1,1202400,0.0,0.0,0,0,0,2557000000.0,2.12,0.02,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,30,9656120000000.0
8514,3599,2.1,2.09,2.12,2.09,1089600,0.0,0.0,0,0,0,2292000000.0,2.09,-0.01,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,3,31,10498800000000.0
8513,3599,2.13,2.16,2.2,2.13,1297200,0.0,0.0,0,0,0,2802000000.0,2.16,0.06,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,4,3,12983200000000.0
8512,3599,2.2,2.28,2.31,2.16,4200400,0.0,0.0,0,0,0,9307000000.0,2.28,0.08,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,4,4,12386800000000.0
8511,3599,2.28,2.28,2.33,2.24,3169600,0.0,0.0,0,0,0,7255000000.0,2.28,-0.02,0,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DLG,HOSE,2010-06-22,,0.0,Bất động sản và Xây dựng,2023,4,5,11435900000000.0
