session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,3062,8.1,8.4,8.6,8.0,902627,0.0,0.0,0,0,0,7528910000.0,7.78,0.3,0,Công ty Cổ phần Đầu tư cao su Đắk Lắk,DRI,UPCOM,2017-05-23,,0.0,Nông nghiệp,2023,5,17,596787000000.0
4816,3062,8.4,8.3,8.4,8.1,189915,0.0,0.0,0,0,0,1562790000.0,7.69,0.0,0,Công ty Cổ phần Đầu tư cao su Đắk Lắk,DRI,UPCOM,2017-05-23,,0.0,Nông nghiệp,2023,5,18,452755000000.0
4815,3062,8.2,8.3,8.3,8.0,329910,0.0,0.0,0,0,0,2688050000.0,7.69,0.1,0,Công ty Cổ phần Đầu tư cao su Đắk Lắk,DRI,UPCOM,2017-05-23,,0.0,Nông nghiệp,2023,5,19,610612000000.0
4814,3062,8.2,8.3,8.4,8.1,341027,0.0,0.0,0,0,0,2814650000.0,7.69,0.2,0,Công ty Cổ phần Đầu tư cao su Đắk Lắk,DRI,UPCOM,2017-05-23,,0.0,Nông nghiệp,2023,5,22,541384000000.0
4813,3062,8.3,8.2,8.4,8.1,175100,0.0,0.0,0,0,0,1439550000.0,7.59,-0.1,0,Công ty Cổ phần Đầu tư cao su Đắk Lắk,DRI,UPCOM,2017-05-23,,0.0,Nông nghiệp,2023,5,23,589042000000.0
4812,3062,8.2,8.0,8.2,8.0,244801,0.0,0.0,0,0,0,1976430000.0,7.41,-0.2,0,Công ty Cổ phần Đầu tư cao su Đắk Lắk,DRI,UPCOM,2017-05-23,,0.0,Nông nghiệp,2023,5,24,417134000000.0
4811,3062,8.0,8.1,8.4,8.0,329710,0.0,0.0,0,0,0,2684250000.0,7.5,0.0,0,Công ty Cổ phần Đầu tư cao su Đắk Lắk,DRI,UPCOM,2017-05-23,,0.0,Nông nghiệp,2023,5,25,457573000000.0
4810,3062,8.2,8.1,8.2,8.0,270100,0.0,0.0,0,0,0,2189650000.0,7.5,0.0,0,Công ty Cổ phần Đầu tư cao su Đắk Lắk,DRI,UPCOM,2017-05-23,,0.0,Nông nghiệp,2023,5,26,867663000000.0
4809,3062,8.1,8.4,8.4,8.1,448500,0.0,0.0,0,0,0,3688570000.0,7.78,0.3,0,Công ty Cổ phần Đầu tư cao su Đắk Lắk,DRI,UPCOM,2017-05-23,,0.0,Nông nghiệp,2023,5,29,598726000000.0
4808,3062,8.4,8.5,8.5,8.3,538229,0.0,0.0,0,0,0,4510180000.0,7.87,0.3,0,Công ty Cổ phần Đầu tư cao su Đắk Lắk,DRI,UPCOM,2017-05-23,,0.0,Nông nghiệp,2023,5,30,797759000000.0
