session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,3146,11.5,11.5,11.5,11.5,100,0.0,0.0,0,0,0,1150000.0,10.93,0.6,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,5,17,596787000000.0
4816,3146,10.9,10.9,10.9,10.9,2800,0.0,0.0,0,0,0,30520000.0,10.36,-0.6,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,5,18,452755000000.0
4815,3146,10.9,10.9,10.9,10.9,0,0.0,0.0,0,0,0,0.0,10.36,0.0,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,5,19,610612000000.0
4814,3146,10.9,10.9,10.9,10.9,600,0.0,0.0,0,0,0,6540000.0,10.36,0.0,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,5,22,541384000000.0
4813,3146,10.9,10.9,10.9,10.9,2000,0.0,0.0,0,0,0,21800000.0,10.36,0.0,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,5,23,589042000000.0
4812,3146,10.9,10.9,10.9,10.9,10000,0.0,0.0,0,0,0,109000000.0,10.36,0.0,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,5,24,417134000000.0
4811,3146,10.9,10.9,10.9,10.9,41000,0.0,0.0,0,0,0,446900000.0,10.36,0.0,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,5,25,457573000000.0
4810,3146,10.9,10.9,10.9,10.9,3100,0.0,0.0,0,0,0,33790000.0,10.36,0.0,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,5,26,867663000000.0
4809,3146,10.9,10.9,10.9,10.9,21700,0.0,0.0,0,0,0,236530000.0,10.36,0.0,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,5,29,598726000000.0
4808,3146,11.0,10.9,11.0,10.9,200,0.0,0.0,0,0,0,2190000.0,10.36,0.0,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,5,30,797759000000.0
4807,3146,10.9,10.9,10.9,10.9,10100,0.0,0.0,0,0,0,110090000.0,10.36,-0.1,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,5,31,860345000000.0
4806,3146,10.9,10.6,11.2,10.6,41800,0.0,0.0,0,0,0,456130000.0,10.07,-0.3,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,6,1,784243000000.0
4805,3146,11.5,11.5,11.5,11.5,200,0.0,0.0,0,0,0,2300000.0,10.93,0.6,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,6,2,911677000000.0
4804,3146,11.5,11.5,11.5,11.5,0,0.0,0.0,0,0,0,0.0,10.93,0.0,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,6,5,850691000000.0
4803,3146,11.5,11.5,11.5,11.5,0,0.0,0.0,0,0,0,0.0,10.93,0.0,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,6,6,735226000000.0
4802,3146,11.5,11.5,11.5,11.5,0,0.0,0.0,0,0,0,0.0,10.93,0.0,0,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,DWS,UPCOM,2019-01-24,,0.0,Dịch vụ,2023,6,7,779549000000.0
