session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3564,6.5,6.47,6.5,6.2,1815500,0.0,0.0,0,0,0,11512000000.0,5.11,-0.03,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,8,7818650000000.0
8530,3564,6.3,6.47,6.47,6.3,1376500,0.0,0.0,0,0,0,8785000000.0,5.11,-0.03,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3564,6.25,6.37,6.4,6.14,2327700,0.0,0.0,0,0,0,14564000000.0,5.03,-0.13,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3564,6.25,6.06,6.27,6.06,1115900,0.0,0.0,0,0,0,6856000000.0,4.78,-0.34,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3564,6.14,6.26,6.26,5.75,1738600,0.0,0.0,0,0,0,10515000000.0,4.94,0.16,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3564,6.25,6.48,6.48,6.15,2098400,0.0,0.0,0,0,0,13263000000.0,5.11,0.18,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3564,6.25,6.39,6.47,6.19,2530900,0.0,0.0,0,0,0,15886000000.0,5.04,-0.11,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3564,6.5,6.2,6.5,6.2,1229000,0.0,0.0,0,0,0,7721000000.0,4.89,-0.2,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3564,6.19,6.02,6.19,6.0,987200,0.0,0.0,0,0,0,5980000000.0,4.75,-0.18,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3564,5.8,6.2,6.2,5.8,1620100,0.0,0.0,0,0,0,9755000000.0,4.89,0.2,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3564,6.2,6.1,6.24,6.1,736300,0.0,0.0,0,0,0,4519000000.0,4.81,-0.1,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
8520,3564,6.06,6.08,6.16,5.99,1008400,0.0,0.0,0,0,0,6120000000.0,4.8,-0.02,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,23,6539990000000.0
8519,3564,6.14,6.0,6.14,6.0,1005200,0.0,0.0,0,0,0,6091000000.0,4.74,-0.1,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,24,8145960000000.0
8518,3564,6.05,5.95,6.06,5.95,832800,0.0,0.0,0,0,0,5000000000.0,4.7,-0.05,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,27,8430340000000.0
8517,3564,6.03,5.98,6.05,5.85,1282100,0.0,0.0,0,0,0,7670000000.0,4.72,-0.02,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,28,9714650000000.0
8516,3564,6.0,5.97,6.0,5.92,607200,0.0,0.0,0,0,0,3623000000.0,4.71,-0.03,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,29,7305170000000.0
8515,3564,6.0,5.89,6.01,5.89,1181600,0.0,0.0,0,0,0,7035000000.0,4.65,-0.11,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,30,9656120000000.0
8514,3564,5.88,5.81,5.93,5.81,740400,0.0,0.0,0,0,0,4347000000.0,4.59,-0.09,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,3,31,10498800000000.0
8513,3564,5.92,6.2,6.2,5.92,1445800,0.0,0.0,0,0,0,8794000000.0,4.89,0.4,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,4,3,12983200000000.0
8512,3564,6.25,6.17,6.25,6.1,1045500,0.0,0.0,0,0,0,6466000000.0,4.87,-0.03,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,4,4,12386800000000.0
8511,3564,6.16,6.47,6.48,6.15,1796600,0.0,0.0,0,0,0,11344000000.0,5.11,0.27,0,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,HOSE,2021-09-06,,0.0,Bất động sản và Xây dựng,2023,4,5,11435900000000.0
