session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,2332,2.9,2.8,2.9,2.8,17230,0.0,0.0,0,0,0,49287000.0,2.8,0.0,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,5,17,596787000000.0
4816,2332,2.8,2.7,2.9,2.7,33600,0.0,0.0,0,0,0,91390000.0,2.7,-0.2,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,5,18,452755000000.0
4815,2332,2.8,2.8,2.8,2.7,24100,0.0,0.0,0,0,0,66350000.0,2.8,0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,5,19,610612000000.0
4814,2332,2.8,2.8,2.8,2.7,23900,0.0,0.0,0,0,0,65030000.0,2.8,0.0,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,5,22,541384000000.0
4813,2332,2.7,2.8,2.8,2.7,36700,0.0,0.0,0,0,0,99130000.0,2.8,0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,5,23,589042000000.0
4812,2332,2.7,2.9,2.9,2.7,73780,0.0,0.0,0,0,0,206734000.0,2.9,0.2,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,5,24,417134000000.0
4811,2332,2.8,2.8,2.9,2.8,116120,0.0,0.0,0,0,0,326856000.0,2.8,0.0,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,5,25,457573000000.0
4810,2332,2.9,2.9,2.9,2.8,21400,0.0,0.0,0,0,0,60450000.0,2.9,0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,5,26,867663000000.0
4809,2332,2.9,3.2,3.2,2.9,527643,0.0,0.0,0,0,0,1635730000.0,3.2,0.4,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,5,29,598726000000.0
4808,2332,3.2,3.5,3.5,3.2,442674,0.0,0.0,0,0,0,1535190000.0,3.5,0.4,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,5,30,797759000000.0
4807,2332,3.7,4.0,4.0,3.7,368284,0.0,0.0,0,0,0,1462070000.0,4.0,0.5,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,5,31,860345000000.0
4806,2332,4.3,4.2,4.6,3.5,514589,0.0,0.0,0,0,0,2100110000.0,4.2,0.2,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,1,784243000000.0
4805,2332,4.2,3.7,4.2,3.6,216301,0.0,0.0,0,0,0,827864000.0,3.7,-0.4,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,2,911677000000.0
4804,2332,3.8,3.7,4.0,3.6,268390,0.0,0.0,0,0,0,1001030000.0,3.7,-0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,5,850691000000.0
4803,2332,3.7,4.0,4.0,3.7,168500,0.0,0.0,0,0,0,641930000.0,4.0,0.3,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,6,735226000000.0
4802,2332,3.9,4.0,4.0,3.8,287348,0.0,0.0,0,0,0,1125910000.0,4.0,0.2,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,7,779549000000.0
4801,2332,4.0,4.0,4.3,3.9,408515,0.0,0.0,0,0,0,1672140000.0,4.0,0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,8,972083000000.0
4800,2332,4.0,3.9,4.0,3.9,233941,0.0,0.0,0,0,0,917223000.0,3.9,-0.2,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,9,784155000000.0
4799,2332,4.0,4.4,4.4,3.9,476157,0.0,0.0,0,0,0,2050620000.0,4.4,0.5,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,12,637523000000.0
4798,2332,5.3,4.6,5.3,4.5,584754,0.0,0.0,0,0,0,2824080000.0,4.6,-0.3,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,14,763309000000.0
4797,2332,4.8,4.5,4.8,4.3,123771,0.0,0.0,0,0,0,558762000.0,4.5,-0.3,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,15,619574000000.0
4796,2332,4.6,4.4,4.8,4.3,261883,0.0,0.0,0,0,0,1192270000.0,4.4,-0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,16,897713000000.0
4795,2332,4.5,4.2,4.6,4.0,198486,0.0,0.0,0,0,0,832658000.0,4.2,-0.4,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,19,554708000000.0
4794,2332,4.1,4.4,4.5,4.0,284748,0.0,0.0,0,0,0,1198460000.0,4.4,0.2,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,20,557490000000.0
4793,2332,4.6,4.3,4.6,4.2,113345,0.0,0.0,0,0,0,485835000.0,4.3,0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,21,817903000000.0
4792,2332,4.4,4.4,4.4,4.2,136240,0.0,0.0,0,0,0,585544000.0,4.4,0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,22,833329000000.0
4791,2332,4.4,4.3,4.4,4.1,175100,0.0,0.0,0,0,0,736420000.0,4.3,0.0,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,23,847219000000.0
4790,2332,4.1,4.1,4.4,3.9,167213,0.0,0.0,0,0,0,674502000.0,4.1,-0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,26,860095000000.0
4789,2332,4.0,4.0,4.2,4.0,74790,0.0,0.0,0,0,0,306012000.0,4.0,0.0,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,27,567850000000.0
4788,2332,4.1,4.1,4.1,4.0,108500,0.0,0.0,0,0,0,437060000.0,4.1,0.0,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,28,659102000000.0
4787,2332,4.0,3.9,4.1,3.9,119064,0.0,0.0,0,0,0,470436000.0,3.9,-0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,29,666695000000.0
4786,2332,4.0,4.0,4.1,3.9,50513,0.0,0.0,0,0,0,201842000.0,4.0,0.0,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,6,30,543269000000.0
4785,2332,4.0,4.1,4.1,3.9,130611,0.0,0.0,0,0,0,521644000.0,4.1,0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,7,3,477651000000.0
4784,2332,4.0,4.2,4.2,4.0,73746,0.0,0.0,0,0,0,302544000.0,4.2,0.2,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,7,4,638481000000.0
4783,2332,4.2,4.5,4.6,4.2,354808,0.0,0.0,0,0,0,1558760000.0,4.5,0.4,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,7,5,701030000000.0
4782,2332,4.4,4.3,4.4,4.2,49504,0.0,0.0,0,0,0,212356000.0,4.3,-0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,7,6,637903000000.0
4781,2332,4.3,4.3,4.3,4.1,44522,0.0,0.0,0,0,0,187302000.0,4.3,0.0,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,7,7,729580000000.0
4780,2332,4.2,4.3,4.3,4.1,80183,0.0,0.0,0,0,0,335455000.0,4.3,0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,7,10,1270370000000.0
4779,2332,4.2,4.3,4.3,4.1,52924,0.0,0.0,0,0,0,222248000.0,4.3,0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,7,11,779753000000.0
4778,2332,4.2,4.1,4.2,4.1,65400,0.0,0.0,0,0,0,268440000.0,4.1,-0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,7,12,885074000000.0
4777,2332,4.1,4.2,4.2,4.1,59461,0.0,0.0,0,0,0,244603000.0,4.2,0.1,0,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,EIN,UPCOM,2017-03-16,,0.0,Bất động sản và Xây dựng,2023,7,13,793503000000.0
