session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,2873,58.4,58.0,58.4,58.0,3601,0.0,0.0,0,0,0,210058000.0,36.16,0.2,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,5,17,596787000000.0
4816,2873,58.3,57.5,58.3,57.5,5426,0.0,0.0,0,0,0,312576000.0,35.85,-0.8,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,5,18,452755000000.0
4815,2873,57.8,57.8,66.2,57.8,3718,0.0,0.0,0,0,0,215519000.0,36.03,0.2,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,5,19,610612000000.0
4814,2873,58.3,58.5,58.5,58.0,9807,0.0,0.0,0,0,0,572964000.0,36.47,0.5,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,5,22,541384000000.0
4813,2873,58.0,58.5,58.8,58.0,8000,0.0,0.0,0,0,0,467640000.0,36.47,0.1,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,5,23,589042000000.0
4812,2873,58.2,58.0,58.2,58.0,5901,0.0,0.0,0,0,0,342369000.0,36.16,-0.5,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,5,24,417134000000.0
4811,2873,58.7,58.6,58.7,58.6,500,0.0,0.0,0,0,0,29330000.0,36.53,0.6,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,5,25,457573000000.0
4810,2873,58.7,58.7,58.7,58.7,100,0.0,0.0,0,0,0,5870000.0,36.6,0.0,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,5,26,867663000000.0
4809,2873,59.0,58.9,59.1,58.7,19403,0.0,0.0,0,0,0,1144230000.0,36.72,0.2,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,5,29,598726000000.0
4808,2873,59.5,59.1,59.5,59.0,7740,0.0,0.0,0,0,0,457076000.0,36.84,0.1,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,5,30,797759000000.0
4807,2873,59.2,59.3,59.7,59.2,24080,0.0,0.0,0,0,0,1427900000.0,36.97,0.2,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,5,31,860345000000.0
4806,2873,59.5,59.7,59.7,59.3,9100,0.0,0.0,0,0,0,541070000.0,37.22,0.4,0,Công ty Cổ phần Viễn thông FPT,FOX,UPCOM,2017-01-13,,0.0,Công nghệ,2023,6,1,784243000000.0
