session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8531,3549,18.35,19.2,19.2,18.35,900000,0.0,0.0,0,0,0,17039000000.0,12.14,0.4,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,8,7818650000000.0
8530,3549,19.3,19.15,19.5,18.95,1001100,0.0,0.0,0,0,0,19242000000.0,12.11,-0.05,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,9,9605920000000.0
8529,3549,19.0,19.2,19.2,18.8,1215800,0.0,0.0,0,0,0,23102000000.0,12.14,0.0,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,10,7802560000000.0
8528,3549,18.8,19.2,19.35,18.75,1139100,0.0,0.0,0,0,0,21671000000.0,12.14,0.0,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,13,8852640000000.0
8527,3549,19.35,19.45,19.9,19.15,2653800,0.0,0.0,0,0,0,51844000000.0,12.3,0.25,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,14,9157830000000.0
8526,3549,20.4,20.8,20.8,20.1,2249400,0.0,0.0,0,0,0,46296000000.0,13.15,1.3,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,15,9044830000000.0
8525,3549,20.8,20.7,21.25,20.6,2578800,0.0,0.0,0,0,0,53830000000.0,13.09,-0.1,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,16,7993400000000.0
8524,3549,21.1,20.5,21.15,20.3,1567000,0.0,0.0,0,0,0,32335000000.0,12.96,-0.2,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,17,9056930000000.0
8523,3549,20.35,19.9,21.15,19.9,2107500,0.0,0.0,0,0,0,43114000000.0,12.58,-0.6,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,20,8000550000000.0
8522,3549,20.3,20.8,20.8,19.6,1634700,0.0,0.0,0,0,0,33207000000.0,13.15,0.9,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,21,6678120000000.0
8521,3549,20.85,21.0,21.6,20.8,2511400,0.0,0.0,0,0,0,53203000000.0,13.28,0.2,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,22,7063540000000.0
8520,3549,20.6,22.0,22.0,20.6,2711100,0.0,0.0,0,0,0,58211000000.0,13.91,1.0,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,23,6539990000000.0
8519,3549,22.4,21.65,22.45,21.65,2777100,0.0,0.0,0,0,0,61356000000.0,13.69,-0.35,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,24,8145960000000.0
8518,3549,21.7,23.15,23.15,21.5,2964500,0.0,0.0,0,0,0,66965000000.0,14.64,1.45,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,27,8430340000000.0
8517,3549,23.4,22.95,23.8,22.9,2960500,0.0,0.0,0,0,0,69096000000.0,14.51,-0.25,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,28,9714650000000.0
8516,3549,23.0,24.5,24.5,23.0,2743200,0.0,0.0,0,0,0,65123000000.0,15.49,1.5,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,29,7305170000000.0
8515,3549,25.0,24.45,25.0,24.15,2983500,0.0,0.0,0,0,0,73157000000.0,15.46,-0.05,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,30,9656120000000.0
8514,3549,24.5,25.55,26.1,24.15,3328900,0.0,0.0,0,0,0,84764000000.0,16.15,1.05,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,3,31,10498800000000.0
8513,3549,26.15,26.0,26.9,25.55,2210200,0.0,0.0,0,0,0,57214000000.0,16.44,0.4,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,3,12983200000000.0
8512,3549,25.9,26.8,27.1,25.6,2559200,0.0,0.0,0,0,0,67446000000.0,16.94,0.8,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,4,12386800000000.0
8511,3549,26.5,26.8,27.0,26.2,2570000,0.0,0.0,0,0,0,68153000000.0,16.94,0.0,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,5,11435900000000.0
8510,3549,26.85,25.7,27.1,25.6,2875700,0.0,0.0,0,0,0,75705000000.0,16.25,-1.1,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,6,14836000000000.0
8509,3549,26.35,27.45,27.45,25.8,3366100,0.0,0.0,0,0,0,90774000000.0,17.35,1.75,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,7,9555430000000.0
8508,3549,28.0,27.65,28.9,27.0,2196500,0.0,0.0,0,0,0,61395000000.0,17.48,0.15,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,10,13080300000000.0
8507,3549,27.6,28.5,28.5,26.75,2386100,0.0,0.0,0,0,0,65937000000.0,18.02,0.8,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,11,10352300000000.0
8506,3549,28.5,27.45,28.6,27.4,1797900,0.0,0.0,0,0,0,49947000000.0,17.35,-1.05,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,12,11237900000000.0
8505,3549,27.45,26.4,27.5,26.4,3474000,0.0,0.0,0,0,0,93134000000.0,16.69,-1.1,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,13,10048100000000.0
8504,3549,26.95,26.75,27.8,25.85,3078300,0.0,0.0,0,0,0,82161000000.0,16.91,0.35,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,14,11983800000000.0
8503,3549,26.75,27.0,27.65,26.6,1273800,0.0,0.0,0,0,0,34460000000.0,17.07,0.2,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,17,6714600000000.0
8502,3549,26.95,28.85,28.85,26.8,4187600,0.0,0.0,0,0,0,117823000000.0,18.24,1.85,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,18,8462260000000.0
8501,3549,29.4,29.3,30.0,28.65,2898000,0.0,0.0,0,0,0,84851000000.0,18.52,0.4,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,19,8609420000000.0
8500,3549,29.0,28.8,29.2,28.25,2137500,0.0,0.0,0,0,0,61180000000.0,18.21,-0.5,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,20,5636530000000.0
8499,3549,28.85,29.1,30.1,28.5,2093700,0.0,0.0,0,0,0,61481000000.0,18.4,0.3,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,21,8838180000000.0
8498,3549,28.7,27.85,29.1,27.75,2052000,0.0,0.0,0,0,0,58144000000.0,17.61,-1.25,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,24,7199740000000.0
8497,3549,27.85,26.35,28.0,26.2,4533800,0.0,0.0,0,0,0,122198000000.0,16.66,-1.55,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,25,8456240000000.0
8496,3549,26.35,27.4,27.75,26.3,1282200,0.0,0.0,0,0,0,34552000000.0,17.32,1.0,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,26,7520090000000.0
8495,3549,27.6,26.9,27.75,26.55,1069700,0.0,0.0,0,0,0,28929000000.0,17.01,-0.5,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,27,7600150000000.0
8494,3549,27.1,28.0,28.4,26.7,2610900,0.0,0.0,0,0,0,71828000000.0,17.7,1.1,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,4,28,9308330000000.0
8493,3549,27.8,28.6,28.8,27.4,2159000,0.0,0.0,0,0,0,60570000000.0,18.08,0.6,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,4,9259100000000.0
8492,3549,28.6,27.9,28.6,27.9,968500,0.0,0.0,0,0,0,27230000000.0,17.64,-0.7,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,5,6891880000000.0
8491,3549,28.2,28.0,28.55,27.85,2458600,0.0,0.0,0,0,0,69266000000.0,17.7,0.1,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,8,9352890000000.0
8490,3549,28.0,27.45,28.1,27.25,2052100,0.0,0.0,0,0,0,56481000000.0,17.35,-0.55,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,9,8040740000000.0
8489,3549,27.45,27.55,28.2,27.45,1995400,0.0,0.0,0,0,0,55434000000.0,17.42,0.05,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,10,9830030000000.0
8488,3549,25.65,25.55,25.8,25.2,1907300,0.0,0.0,0,0,0,48632000000.0,18.1,0.95,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,11,10795100000000.0
8487,3549,25.55,26.5,26.75,25.15,1985000,0.0,0.0,0,0,0,51051000000.0,18.77,0.9,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,12,11117600000000.0
8486,3549,26.6,25.85,27.15,25.85,1898000,0.0,0.0,0,0,0,50137000000.0,18.31,-0.65,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,15,12607000000000.0
8485,3549,25.8,26.0,26.25,25.65,1013500,0.0,0.0,0,0,0,26336000000.0,18.42,0.15,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,16,9638180000000.0
8484,3549,26.0,25.2,26.2,25.2,1753200,0.0,0.0,0,0,0,45129000000.0,17.85,-0.8,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,17,11644500000000.0
8483,3549,25.4,26.4,26.9,25.05,2750000,0.0,0.0,0,0,0,71592000000.0,18.7,1.2,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,18,10252200000000.0
8482,3549,26.6,26.5,26.9,26.05,1342900,0.0,0.0,0,0,0,35477000000.0,18.77,0.1,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,19,10585100000000.0
8481,3549,26.75,27.5,27.7,26.5,2916800,0.0,0.0,0,0,0,79599000000.0,19.48,1.0,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,22,11015600000000.0
8480,3549,27.6,27.8,28.35,27.4,1913800,0.0,0.0,0,0,0,53241000000.0,19.69,0.3,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,23,11892800000000.0
8479,3549,28.3,29.4,29.7,27.75,3469000,0.0,0.0,0,0,0,100236000000.0,20.82,1.6,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,24,11401200000000.0
8478,3549,29.0,28.6,29.4,28.3,1660100,0.0,0.0,0,0,0,47754000000.0,20.26,-0.8,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,25,10567700000000.0
8477,3549,28.75,28.4,28.75,28.0,1381700,0.0,0.0,0,0,0,39289000000.0,20.12,-0.2,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,26,9431780000000.0
8476,3549,28.7,29.2,29.55,28.45,1545800,0.0,0.0,0,0,0,44655000000.0,20.68,0.8,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,29,11644700000000.0
8475,3549,29.2,29.4,30.3,28.7,1429400,0.0,0.0,0,0,0,42111000000.0,20.82,0.2,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,30,13600100000000.0
8474,3549,29.4,29.2,29.7,28.6,1561000,0.0,0.0,0,0,0,45595000000.0,20.68,-0.2,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,5,31,14101800000000.0
8473,3549,29.2,30.0,30.45,29.0,1862700,0.0,0.0,0,0,0,55476000000.0,21.25,0.8,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,1,12900900000000.0
8472,3549,30.5,29.85,30.5,29.8,1157600,0.0,0.0,0,0,0,34764000000.0,21.14,-0.15,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,2,16880800000000.0
8471,3549,30.0,28.8,30.15,28.8,2896600,0.0,0.0,0,0,0,84590000000.0,20.4,-1.05,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,5,16315900000000.0
8470,3549,28.75,29.75,29.8,28.4,2068200,0.0,0.0,0,0,0,60124000000.0,21.07,0.95,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,6,14344800000000.0
8469,3549,29.85,29.6,29.9,29.2,1609700,0.0,0.0,0,0,0,47415000000.0,20.97,-0.15,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,7,16516200000000.0
8468,3549,29.6,28.4,29.7,28.4,2064600,0.0,0.0,0,0,0,59828000000.0,20.12,-1.2,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,8,21011300000000.0
8467,3549,28.75,28.85,28.85,27.9,1925000,0.0,0.0,0,0,0,54661000000.0,20.43,0.45,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,9,15081000000000.0
8466,3549,28.6,28.3,28.85,28.0,1240100,0.0,0.0,0,0,0,35130000000.0,20.04,-0.55,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,12,13663900000000.0
8465,3549,28.5,28.95,29.3,28.5,1479600,0.0,0.0,0,0,0,42675000000.0,20.51,0.65,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,13,15306100000000.0
8464,3549,29.2,28.95,29.7,28.95,2392700,0.0,0.0,0,0,0,70371000000.0,20.51,0.0,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,14,15155800000000.0
8463,3549,28.9,29.1,29.2,28.75,939000,0.0,0.0,0,0,0,27180000000.0,20.61,0.15,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,15,12248800000000.0
8462,3549,29.5,29.2,30.45,29.0,3040200,0.0,0.0,0,0,0,90877000000.0,20.68,0.1,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,16,20355600000000.0
8461,3549,29.2,29.15,29.5,28.8,1140800,0.0,0.0,0,0,0,33303000000.0,20.65,-0.05,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,19,12464500000000.0
8460,3549,29.5,30.0,30.0,29.3,1622500,0.0,0.0,0,0,0,48117000000.0,21.25,0.8,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,20,11228000000000.0
8459,3549,30.35,31.05,31.55,30.0,2986300,0.0,0.0,0,0,0,92203000000.0,21.99,1.05,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,21,15536000000000.0
8458,3549,31.2,31.25,31.4,30.55,1684000,0.0,0.0,0,0,0,52047000000.0,22.13,0.2,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,22,16240600000000.0
8457,3549,31.3,31.25,31.45,30.6,1832600,0.0,0.0,0,0,0,56890000000.0,22.13,-0.05,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,23,16701800000000.0
8456,3549,31.0,30.5,31.05,29.45,2545300,0.0,0.0,0,0,0,76671000000.0,21.6,-0.8,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,26,18313600000000.0
8455,3549,30.95,30.5,30.95,30.2,936600,0.0,0.0,0,0,0,28527000000.0,21.6,0.0,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,27,12764900000000.0
8454,3549,30.55,30.45,31.2,30.25,956800,0.0,0.0,0,0,0,29317000000.0,21.57,-0.05,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,28,15018300000000.0
8453,3549,30.45,28.8,30.5,28.8,1800300,0.0,0.0,0,0,0,53419000000.0,20.4,-1.7,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,29,15878300000000.0
8452,3549,28.5,29.05,29.45,28.5,1231900,0.0,0.0,0,0,0,35822000000.0,20.58,0.25,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,6,30,10474000000000.0
8451,3549,29.2,29.35,29.5,29.1,781600,0.0,0.0,0,0,0,22855000000.0,20.79,0.25,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,3,9707510000000.0
8450,3549,29.35,30.65,30.7,29.15,1629700,0.0,0.0,0,0,0,48948000000.0,21.71,1.25,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,4,12888600000000.0
8449,3549,30.95,30.25,31.0,30.0,1266400,0.0,0.0,0,0,0,38801000000.0,21.43,-0.45,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,5,15276700000000.0
8448,3549,30.25,30.1,30.7,29.7,2131800,0.0,0.0,0,0,0,64421000000.0,21.32,-0.2,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,6,17364900000000.0
8447,3549,30.0,30.4,30.5,29.55,848700,0.0,0.0,0,0,0,25544000000.0,21.53,0.3,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,7,14156400000000.0
8446,3549,30.8,31.35,31.9,30.65,1912000,0.0,0.0,0,0,0,60035000000.0,22.21,0.95,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,10,16859800000000.0
8445,3549,31.35,31.2,31.7,30.95,1505100,0.0,0.0,0,0,0,47242000000.0,22.1,-0.2,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,11,16906300000000.0
8444,3549,31.35,31.05,31.85,30.95,1502000,0.0,0.0,0,0,0,47034000000.0,21.99,-0.15,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,12,14380800000000.0
8443,3549,31.05,31.4,31.65,31.0,1906700,0.0,0.0,0,0,0,59438000000.0,22.24,0.3,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,13,15494600000000.0
8442,3549,31.6,32.25,32.25,31.3,2203500,0.0,0.0,0,0,0,70113000000.0,22.84,0.85,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,14,19329000000000.0
8441,3549,32.25,32.15,32.75,31.9,1451300,0.0,0.0,0,0,0,47039000000.0,22.77,-0.15,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,17,16810500000000.0
8440,3549,32.1,31.4,32.1,31.4,1407100,0.0,0.0,0,0,0,44511000000.0,22.24,-0.8,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,18,14914800000000.0
8439,3549,31.5,31.4,32.0,31.35,1512100,0.0,0.0,0,0,0,47761000000.0,22.24,0.0,0,Công ty Cổ phần Chứng khoán FPT,FTS,HOSE,2017-01-13,,0.0,Tài chính,2023,7,19,15498400000000.0
