session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,2829,25.5,25.5,25.5,25.5,2100,0.0,0.0,0,0,0,53550000.0,23.27,-1.1,0,Công ty cổ phần Điện lực Gelex,GEE,UPCOM,2022-03-08,,0.0,Công nghiệp,2023,5,17,596787000000.0
4816,2829,22.8,27.9,27.9,22.8,1108,0.0,0.0,0,0,0,25794000.0,25.46,2.4,0,Công ty cổ phần Điện lực Gelex,GEE,UPCOM,2022-03-08,,0.0,Công nghiệp,2023,5,18,452755000000.0
4815,2829,26.7,25.7,26.7,25.7,20000,0.0,0.0,0,0,0,517400000.0,23.45,2.4,0,Công ty cổ phần Điện lực Gelex,GEE,UPCOM,2022-03-08,,0.0,Công nghiệp,2023,5,19,610612000000.0
4814,2829,27.0,26.0,27.0,25.7,3900,0.0,0.0,0,0,0,102610000.0,23.72,0.1,0,Công ty cổ phần Điện lực Gelex,GEE,UPCOM,2022-03-08,,0.0,Công nghiệp,2023,5,22,541384000000.0
4813,2829,26.2,26.0,26.3,26.0,331800,0.0,0.0,0,0,0,8726220000.0,23.72,-0.3,0,Công ty cổ phần Điện lực Gelex,GEE,UPCOM,2022-03-08,,0.0,Công nghiệp,2023,5,23,589042000000.0
4812,2829,26.3,26.3,26.3,26.3,4400,0.0,0.0,0,0,0,115720000.0,24.0,0.0,0,Công ty cổ phần Điện lực Gelex,GEE,UPCOM,2022-03-08,,0.0,Công nghiệp,2023,5,24,417134000000.0
4811,2829,26.3,26.0,27.0,26.0,175000,0.0,0.0,0,0,0,4586950000.0,23.72,-0.3,0,Công ty cổ phần Điện lực Gelex,GEE,UPCOM,2022-03-08,,0.0,Công nghiệp,2023,5,25,457573000000.0
4810,2829,26.9,27.0,27.0,25.1,2100,0.0,0.0,0,0,0,56300000.0,24.64,0.8,0,Công ty cổ phần Điện lực Gelex,GEE,UPCOM,2022-03-08,,0.0,Công nghiệp,2023,5,26,867663000000.0
4809,2829,27.5,27.4,27.5,25.4,3700,0.0,0.0,0,0,0,96410000.0,25.0,0.6,0,Công ty cổ phần Điện lực Gelex,GEE,UPCOM,2022-03-08,,0.0,Công nghiệp,2023,5,29,598726000000.0
4808,2829,27.9,28.0,28.0,27.5,24800,0.0,0.0,0,0,0,693180000.0,25.55,1.9,0,Công ty cổ phần Điện lực Gelex,GEE,UPCOM,2022-03-08,,0.0,Công nghiệp,2023,5,30,797759000000.0
