session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3439,10.0,9.96,10.0,9.6,1100,0.0,0.0,0,0,0,10000000.0,9.96,0.16,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,9,9605920000000.0
8529,3439,9.9,9.9,9.9,9.9,100,0.0,0.0,0,0,0,0.0,9.9,-0.1,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,10,7802560000000.0
8528,3439,9.9,9.4,9.9,9.21,8700,0.0,0.0,0,0,0,82000000.0,9.4,-0.5,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,13,8852640000000.0
8527,3439,9.4,9.35,9.4,9.3,3300,0.0,0.0,0,0,0,30000000.0,9.35,-0.05,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,14,9157830000000.0
8526,3439,9.35,9.45,9.45,9.35,4900,0.0,0.0,0,0,0,46000000.0,9.45,0.05,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,15,9044830000000.0
8525,3439,9.11,9.0,9.11,9.0,21800,0.0,0.0,0,0,0,196000000.0,9.0,-0.5,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,16,7993400000000.0
8524,3439,9.2,9.3,9.5,9.1,7500,0.0,0.0,0,0,0,69000000.0,9.3,0.3,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,17,9056930000000.0
8523,3439,9.3,9.17,9.53,9.15,5400,0.0,0.0,0,0,0,49000000.0,9.17,-0.13,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,20,8000550000000.0
8522,3439,9.2,9.1,9.2,9.09,8100,0.0,0.0,0,0,0,73000000.0,9.1,-0.1,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,21,6678120000000.0
8521,3439,9.11,9.15,9.15,8.88,6500,0.0,0.0,0,0,0,58000000.0,9.15,0.05,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,22,7063540000000.0
8520,3439,9.0,9.0,9.05,9.0,2000,0.0,0.0,0,0,0,18000000.0,9.0,-0.2,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,23,6539990000000.0
8519,3439,9.01,9.0,9.09,8.9,5400,0.0,0.0,0,0,0,48000000.0,9.0,0.0,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,24,8145960000000.0
8518,3439,8.71,9.0,9.06,8.71,9300,0.0,0.0,0,0,0,83000000.0,9.0,0.0,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,27,8430340000000.0
8517,3439,9.04,9.09,9.24,9.04,3000,0.0,0.0,0,0,0,27000000.0,9.09,0.09,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,28,9714650000000.0
8516,3439,9.1,9.09,9.1,9.09,1300,0.0,0.0,0,0,0,11000000.0,9.09,-0.01,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,29,7305170000000.0
8515,3439,9.1,9.0,9.1,8.9,25300,0.0,0.0,0,0,0,227000000.0,9.0,-0.1,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,30,9656120000000.0
8514,3439,9.0,8.96,9.0,8.73,900,0.0,0.0,0,0,0,8000000.0,8.96,-0.04,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,3,31,10498800000000.0
8513,3439,8.98,8.9,8.98,8.72,6900,0.0,0.0,0,0,0,60000000.0,8.9,-0.1,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,4,3,12983200000000.0
8512,3439,8.94,8.98,8.98,8.94,4400,0.0,0.0,0,0,0,39000000.0,8.98,0.08,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,4,4,12386800000000.0
8511,3439,8.83,8.81,8.83,8.7,27200,0.0,0.0,0,0,0,238000000.0,8.81,-0.19,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,4,5,11435900000000.0
8510,3439,8.5,8.75,8.8,8.5,7300,0.0,0.0,0,0,0,63000000.0,8.75,-0.05,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,4,6,14836000000000.0
8509,3439,8.75,8.85,8.89,8.75,4400,0.0,0.0,0,0,0,38000000.0,8.85,0.05,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,4,7,9555430000000.0
8508,3439,8.85,8.66,8.9,8.55,8300,0.0,0.0,0,0,0,72000000.0,8.66,-0.24,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,4,10,13080300000000.0
8507,3439,8.7,8.9,9.0,8.7,8800,0.0,0.0,0,0,0,77000000.0,8.9,0.2,0,Công ty cổ phần Garmex Sài Gòn,GMC,HOSE,2006-12-22,,0.0,Hàng tiêu dùng,2023,4,11,10352300000000.0
