session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3701,11.2,10.95,11.25,10.5,293800,0.0,0.0,0,0,0,3213000000.0,9.15,-0.15,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,9,9605920000000.0
8529,3701,11.0,11.0,11.0,10.8,81200,0.0,0.0,0,0,0,884000000.0,9.19,0.0,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,10,7802560000000.0
8528,3701,10.8,10.85,11.0,10.75,185200,0.0,0.0,0,0,0,2005000000.0,9.06,-0.15,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,13,8852640000000.0
8527,3701,10.95,10.3,10.95,10.3,323500,0.0,0.0,0,0,0,3382000000.0,8.61,-0.6,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,14,9157830000000.0
8526,3701,10.6,10.65,10.8,10.4,113300,0.0,0.0,0,0,0,1198000000.0,8.9,0.35,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,15,9044830000000.0
8525,3701,10.6,10.4,10.6,10.35,94300,0.0,0.0,0,0,0,983000000.0,8.69,-0.3,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,16,7993400000000.0
8524,3701,10.55,10.5,10.65,10.35,81600,0.0,0.0,0,0,0,853000000.0,8.77,0.1,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,17,9056930000000.0
8523,3701,10.5,10.35,10.65,10.35,64900,0.0,0.0,0,0,0,681000000.0,8.65,-0.15,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,20,8000550000000.0
8522,3701,10.45,10.4,10.5,10.2,112800,0.0,0.0,0,0,0,1159000000.0,8.69,0.0,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,21,6678120000000.0
8521,3701,10.45,10.45,10.65,10.45,64100,0.0,0.0,0,0,0,674000000.0,8.73,0.05,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,22,7063540000000.0
8520,3701,10.45,10.6,10.6,10.4,38800,0.0,0.0,0,0,0,406000000.0,8.86,0.1,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,23,6539990000000.0
8519,3701,10.55,10.65,10.85,10.55,153100,0.0,0.0,0,0,0,1641000000.0,8.9,0.05,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,24,8145960000000.0
8518,3701,10.75,10.75,10.9,10.65,105400,0.0,0.0,0,0,0,1134000000.0,8.98,0.05,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,27,8430340000000.0
8517,3701,10.9,10.6,10.9,10.6,61400,0.0,0.0,0,0,0,658000000.0,8.86,-0.2,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,28,9714650000000.0
8516,3701,10.8,10.6,10.8,10.5,50500,0.0,0.0,0,0,0,535000000.0,8.86,0.0,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,29,7305170000000.0
8515,3701,10.65,10.65,10.75,10.6,67100,0.0,0.0,0,0,0,715000000.0,8.9,0.05,0,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,GSP,HOSE,2012-03-09,,0.0,Năng lượng,2023,3,30,9656120000000.0
