session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3734,12.0,12.0,12.0,12.0,0,0.0,0.0,0,0,0,0.0,11.0,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,9,9605920000000.0
8529,3734,12.0,12.0,12.0,12.0,0,0.0,0.0,0,0,0,0.0,11.0,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,10,7802560000000.0
8528,3734,12.0,12.0,12.0,12.0,0,0.0,0.0,0,0,0,0.0,11.0,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,13,8852640000000.0
8527,3734,11.95,11.95,11.95,11.95,100,0.0,0.0,0,0,0,1000000.0,10.96,-0.05,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,14,9157830000000.0
8526,3734,11.95,12.75,12.75,11.95,27000,0.0,0.0,0,0,0,322000000.0,11.69,0.75,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,15,9044830000000.0
8525,3734,12.75,12.75,12.75,12.75,0,0.0,0.0,0,0,0,0.0,11.69,-0.05,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,16,7993400000000.0
8524,3734,12.75,12.75,12.75,12.75,0,0.0,0.0,0,0,0,0.0,11.69,-0.05,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,17,9056930000000.0
8523,3734,12.0,12.0,12.0,12.0,1000,0.0,0.0,0,0,0,12000000.0,11.0,-0.8,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,20,8000550000000.0
8522,3734,12.0,12.0,12.0,12.0,0,0.0,0.0,0,0,0,0.0,11.0,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,21,6678120000000.0
8521,3734,12.0,12.0,12.0,12.0,400,0.0,0.0,0,0,0,4000000.0,11.0,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,22,7063540000000.0
8520,3734,12.0,12.0,12.0,12.0,0,0.0,0.0,0,0,0,0.0,11.0,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,23,6539990000000.0
8519,3734,12.75,12.8,12.8,12.75,6200,0.0,0.0,0,0,0,79000000.0,11.74,0.8,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,24,8145960000000.0
8518,3734,12.05,12.8,12.8,12.05,4000,0.0,0.0,0,0,0,50000000.0,11.74,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,27,8430340000000.0
8517,3734,13.1,13.1,13.1,13.1,1000,0.0,0.0,0,0,0,13000000.0,12.01,0.3,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,28,9714650000000.0
8516,3734,13.1,13.1,13.1,13.1,0,0.0,0.0,0,0,0,0.0,12.01,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,29,7305170000000.0
8515,3734,13.1,12.5,13.1,12.5,3100,0.0,0.0,0,0,0,40000000.0,11.46,-0.6,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,30,9656120000000.0
8514,3734,11.9,13.35,13.35,11.9,11900,0.0,0.0,0,0,0,158000000.0,12.24,0.85,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,3,31,10498800000000.0
8513,3734,13.35,14.0,14.0,13.35,18200,0.0,0.0,0,0,0,247000000.0,12.84,0.6,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,3,12983200000000.0
8512,3734,13.1,13.1,13.1,13.1,100,0.0,0.0,0,0,0,1000000.0,12.01,-0.9,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,4,12386800000000.0
8511,3734,13.1,13.1,13.1,13.1,0,0.0,0.0,0,0,0,0.0,12.01,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,5,11435900000000.0
8510,3734,13.1,13.1,13.1,13.1,0,0.0,0.0,0,0,0,0.0,12.01,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,6,14836000000000.0
8509,3734,13.1,13.8,13.8,12.5,2900,0.0,0.0,0,0,0,36000000.0,12.65,0.7,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,7,9555430000000.0
8508,3734,13.8,13.8,13.8,13.8,0,0.0,0.0,0,0,0,0.0,12.65,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,10,13080300000000.0
8507,3734,13.0,13.6,13.6,13.0,300,0.0,0.0,0,0,0,3000000.0,12.47,-0.2,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,11,10352300000000.0
8506,3734,13.6,13.6,13.6,13.6,0,0.0,0.0,0,0,0,0.0,12.47,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,12,11237900000000.0
8505,3734,12.95,13.8,13.8,12.9,8200,0.0,0.0,0,0,0,106000000.0,12.65,0.2,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,13,10048100000000.0
8504,3734,13.8,13.8,13.8,13.8,0,0.0,0.0,0,0,0,0.0,12.65,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,14,11983800000000.0
8503,3734,13.8,13.8,13.8,13.8,0,0.0,0.0,0,0,0,0.0,12.65,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,17,6714600000000.0
8502,3734,13.8,13.8,13.8,13.8,0,0.0,0.0,0,0,0,0.0,12.65,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,18,8462260000000.0
8501,3734,13.8,13.8,13.8,13.8,0,0.0,0.0,0,0,0,0.0,12.65,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,19,8609420000000.0
8500,3734,13.8,13.8,13.8,13.8,0,0.0,0.0,0,0,0,0.0,12.65,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,20,5636530000000.0
8499,3734,13.8,13.8,13.8,13.8,0,0.0,0.0,0,0,0,0.0,12.65,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,21,8838180000000.0
8498,3734,12.85,13.5,14.65,12.85,1300,0.0,0.0,0,0,0,17000000.0,12.38,-0.3,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,24,7199740000000.0
8497,3734,13.5,13.5,13.5,13.5,1200,0.0,0.0,0,0,0,16000000.0,12.38,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,25,8456240000000.0
8496,3734,13.9,13.5,13.9,13.5,1600,0.0,0.0,0,0,0,21000000.0,12.38,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,26,7520090000000.0
8495,3734,13.5,13.5,13.5,13.5,300,0.0,0.0,0,0,0,4000000.0,12.38,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,27,7600150000000.0
8494,3734,13.5,13.5,13.5,13.5,0,0.0,0.0,0,0,0,0.0,12.38,0.0,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,4,28,9308330000000.0
8493,3734,12.7,14.0,14.3,12.6,2500,0.0,0.0,0,0,0,34000000.0,12.84,0.5,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,5,4,9259100000000.0
8492,3734,13.5,13.5,13.5,13.5,1000,0.0,0.0,0,0,0,13000000.0,12.38,-0.5,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,5,5,6891880000000.0
8491,3734,12.75,13.0,13.2,12.75,18500,0.0,0.0,0,0,0,239000000.0,11.92,-0.5,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,5,8,9352890000000.0
8490,3734,12.55,12.55,12.55,12.55,100,0.0,0.0,0,0,0,1000000.0,11.51,-0.45,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,5,9,8040740000000.0
8489,3734,12.6,12.4,12.95,12.4,4100,0.0,0.0,0,0,0,51000000.0,11.37,-0.2,0,Công ty Cổ phần chế biến gỗ Thuận An,GTA,HOSE,2007-07-23,,0.0,Hàng tiêu dùng,2023,5,10,9830030000000.0
