session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3824,7.63,7.81,7.99,7.61,12593500,0.0,0.0,0,0,0,98566000000.0,7.81,0.21,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,9,9605920000000.0
8529,3824,7.71,7.64,7.81,7.63,6253800,0.0,0.0,0,0,0,48205000000.0,7.64,-0.16,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,10,7802560000000.0
8528,3824,7.5,7.49,7.59,7.48,8079900,0.0,0.0,0,0,0,60788000000.0,7.49,-0.11,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,13,8852640000000.0
8527,3824,7.52,7.38,7.58,7.35,8118700,0.0,0.0,0,0,0,60320000000.0,7.38,-0.12,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,14,9157830000000.0
8526,3824,7.57,7.55,7.6,7.48,6321400,0.0,0.0,0,0,0,47697000000.0,7.55,0.15,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,15,9044830000000.0
8525,3824,7.37,7.39,7.45,7.33,8783100,0.0,0.0,0,0,0,64849000000.0,7.39,-0.21,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,16,7993400000000.0
8524,3824,7.48,7.6,7.6,7.38,8128800,0.0,0.0,0,0,0,61038000000.0,7.6,0.2,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,17,9056930000000.0
8523,3824,7.5,7.33,7.54,7.33,7717800,0.0,0.0,0,0,0,57093000000.0,7.33,-0.27,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,20,8000550000000.0
8522,3824,7.4,7.34,7.41,7.3,4256800,0.0,0.0,0,0,0,31272000000.0,7.34,0.04,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,21,6678120000000.0
8521,3824,7.4,7.34,7.42,7.34,3073200,0.0,0.0,0,0,0,22677000000.0,7.34,0.04,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,22,7063540000000.0
8520,3824,7.3,7.26,7.32,7.25,5343500,0.0,0.0,0,0,0,38898000000.0,7.26,-0.04,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,23,6539990000000.0
8519,3824,7.35,7.3,7.37,7.29,4659700,0.0,0.0,0,0,0,34133000000.0,7.3,0.0,0,Công ty Cổ phần Hoàng Anh Gia Lai,HAG,HOSE,2008-12-22,,0.0,Tài chính,2023,3,24,8145960000000.0
