session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3570,7.0,7.0,7.0,6.95,145500,0.0,0.0,0,0,0,1013000000.0,5.68,0.0,0,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD,HOSE,2016-07-04,,0.0,Nguyên vật liệu,2023,3,9,9605920000000.0
8529,3570,7.0,6.95,7.0,6.9,137000,0.0,0.0,0,0,0,952000000.0,5.64,-0.05,0,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD,HOSE,2016-07-04,,0.0,Nguyên vật liệu,2023,3,10,7802560000000.0
8528,3570,6.95,6.94,7.0,6.72,70200,0.0,0.0,0,0,0,483000000.0,5.63,-0.06,0,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD,HOSE,2016-07-04,,0.0,Nguyên vật liệu,2023,3,13,8852640000000.0
8527,3570,6.94,6.8,7.0,6.62,125000,0.0,0.0,0,0,0,844000000.0,5.52,-0.1,0,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD,HOSE,2016-07-04,,0.0,Nguyên vật liệu,2023,3,14,9157830000000.0
8526,3570,6.95,6.89,6.95,6.8,115900,0.0,0.0,0,0,0,795000000.0,5.59,0.09,0,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD,HOSE,2016-07-04,,0.0,Nguyên vật liệu,2023,3,15,9044830000000.0
8525,3570,6.88,6.61,6.88,6.49,189600,0.0,0.0,0,0,0,1245000000.0,5.36,-0.29,0,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD,HOSE,2016-07-04,,0.0,Nguyên vật liệu,2023,3,16,7993400000000.0
8524,3570,6.65,6.6,6.65,6.5,70800,0.0,0.0,0,0,0,463000000.0,5.35,0.0,0,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD,HOSE,2016-07-04,,0.0,Nguyên vật liệu,2023,3,17,9056930000000.0
8523,3570,6.6,6.47,6.6,6.45,57800,0.0,0.0,0,0,0,374000000.0,5.25,-0.13,0,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD,HOSE,2016-07-04,,0.0,Nguyên vật liệu,2023,3,20,8000550000000.0
8522,3570,6.55,6.5,6.6,6.41,86100,0.0,0.0,0,0,0,557000000.0,5.27,0.0,0,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD,HOSE,2016-07-04,,0.0,Nguyên vật liệu,2023,3,21,6678120000000.0
8521,3570,6.56,6.56,6.56,6.45,68500,0.0,0.0,0,0,0,446000000.0,5.32,0.06,0,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD,HOSE,2016-07-04,,0.0,Nguyên vật liệu,2023,3,22,7063540000000.0
