session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3708,24.85,24.6,25.1,24.5,7403000,0.0,0.0,0,0,0,182984000000.0,16.78,-0.3,0,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,HOSE,2009-05-19,,0.0,Tài chính,2023,3,9,9605920000000.0
8529,3708,24.35,24.3,24.55,24.0,6267200,0.0,0.0,0,0,0,151757000000.0,16.58,-0.3,0,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,HOSE,2009-05-19,,0.0,Tài chính,2023,3,10,7802560000000.0
8528,3708,24.0,24.0,24.45,23.65,4708200,0.0,0.0,0,0,0,112992000000.0,16.37,-0.3,0,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,HOSE,2009-05-19,,0.0,Tài chính,2023,3,13,8852640000000.0
8527,3708,23.95,22.9,23.95,22.85,7005400,0.0,0.0,0,0,0,162864000000.0,15.62,-1.1,0,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,HOSE,2009-05-19,,0.0,Tài chính,2023,3,14,9157830000000.0
8526,3708,23.75,24.5,24.5,23.6,6390600,0.0,0.0,0,0,0,154829000000.0,16.71,1.6,0,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,HOSE,2009-05-19,,0.0,Tài chính,2023,3,15,9044830000000.0
8525,3708,24.3,23.95,24.6,23.85,5756700,0.0,0.0,0,0,0,139259000000.0,16.34,-0.55,0,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,HOSE,2009-05-19,,0.0,Tài chính,2023,3,16,7993400000000.0
8524,3708,24.3,23.75,24.4,23.6,3735400,0.0,0.0,0,0,0,89248000000.0,16.2,-0.25,0,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,HOSE,2009-05-19,,0.0,Tài chính,2023,3,17,9056930000000.0
8523,3708,23.75,23.2,23.85,23.2,4272800,0.0,0.0,0,0,0,100323000000.0,15.83,-0.6,0,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,HOSE,2009-05-19,,0.0,Tài chính,2023,3,20,8000550000000.0
8522,3708,23.45,23.9,23.95,23.2,3060100,0.0,0.0,0,0,0,72215000000.0,16.3,0.7,0,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,HOSE,2009-05-19,,0.0,Tài chính,2023,3,21,6678120000000.0
8521,3708,24.1,23.85,24.35,23.8,3504900,0.0,0.0,0,0,0,84227000000.0,16.27,-0.05,0,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,HOSE,2009-05-19,,0.0,Tài chính,2023,3,22,7063540000000.0
8520,3708,23.6,24.5,24.5,23.6,5712300,0.0,0.0,0,0,0,138254000000.0,16.71,0.6,0,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,HOSE,2009-05-19,,0.0,Tài chính,2023,3,23,6539990000000.0
