session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3578,30.8,30.8,30.8,30.4,507700,0.0,0.0,0,0,0,15531000000.0,22.06,0.3,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3578,30.35,30.45,30.65,29.85,735900,0.0,0.0,0,0,0,22225000000.0,21.81,-0.35,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3578,30.0,29.6,30.3,29.6,667700,0.0,0.0,0,0,0,19921000000.0,21.2,-0.9,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3578,29.45,28.6,29.8,28.6,740000,0.0,0.0,0,0,0,21497000000.0,20.48,-1.0,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3578,29.4,29.55,29.85,29.05,421000,0.0,0.0,0,0,0,12415000000.0,21.16,0.95,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3578,29.5,29.6,29.6,29.0,268400,0.0,0.0,0,0,0,7871000000.0,21.2,0.0,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3578,29.6,29.9,29.9,29.5,764400,0.0,0.0,0,0,0,22800000000.0,21.41,0.3,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3578,29.7,29.1,29.8,29.1,316900,0.0,0.0,0,0,0,9308000000.0,20.84,-0.8,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3578,29.5,29.3,29.5,28.9,268700,0.0,0.0,0,0,0,7843000000.0,20.98,0.2,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3578,29.6,29.15,29.6,29.1,194400,0.0,0.0,0,0,0,5702000000.0,20.88,-0.15,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
8520,3578,29.0,29.05,29.2,28.5,539600,0.0,0.0,0,0,0,15549000000.0,20.8,-0.15,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,23,6539990000000.0
8519,3578,29.1,29.6,29.8,29.1,450500,0.0,0.0,0,0,0,13251000000.0,21.2,0.5,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,24,8145960000000.0
8518,3578,29.6,29.9,30.2,29.5,470100,0.0,0.0,0,0,0,14050000000.0,21.41,0.3,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,27,8430340000000.0
8517,3578,30.05,30.4,30.45,29.9,780900,0.0,0.0,0,0,0,23557000000.0,21.77,0.5,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,28,9714650000000.0
8516,3578,30.4,30.2,30.4,29.9,281100,0.0,0.0,0,0,0,8465000000.0,21.63,-0.2,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,29,7305170000000.0
8515,3578,30.5,30.1,30.5,29.9,427900,0.0,0.0,0,0,0,12897000000.0,21.56,-0.1,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,30,9656120000000.0
8514,3578,30.1,30.45,30.45,29.9,499200,0.0,0.0,0,0,0,15080000000.0,21.81,0.35,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,3,31,10498800000000.0
8513,3578,31.4,31.25,31.65,30.8,1083100,0.0,0.0,0,0,0,33869000000.0,22.38,0.75,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,3,12983200000000.0
8512,3578,31.3,31.3,31.3,30.8,709700,0.0,0.0,0,0,0,22056000000.0,22.42,0.0,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,4,12386800000000.0
8511,3578,31.3,32.25,32.65,31.3,1733700,0.0,0.0,0,0,0,55784000000.0,23.1,0.95,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,5,11435900000000.0
8510,3578,32.5,31.55,32.6,31.55,1121100,0.0,0.0,0,0,0,36069000000.0,22.59,-0.75,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,6,14836000000000.0
8509,3578,31.6,31.3,31.65,31.0,560700,0.0,0.0,0,0,0,17545000000.0,22.42,-0.3,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,7,9555430000000.0
8508,3578,31.7,31.2,31.9,31.0,741900,0.0,0.0,0,0,0,23327000000.0,22.34,-0.1,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,10,13080300000000.0
8507,3578,31.1,32.1,32.1,30.75,1198100,0.0,0.0,0,0,0,37768000000.0,22.99,0.9,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,11,10352300000000.0
8506,3578,32.4,33.65,33.9,32.25,3775900,0.0,0.0,0,0,0,125542000000.0,24.1,1.55,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,12,11237900000000.0
8505,3578,33.7,33.15,33.9,33.0,1032100,0.0,0.0,0,0,0,34495000000.0,23.74,-0.55,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,13,10048100000000.0
8504,3578,33.4,32.2,33.5,32.2,1921400,0.0,0.0,0,0,0,62881000000.0,23.06,-1.0,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,14,11983800000000.0
8503,3578,31.75,32.5,32.6,31.35,895900,0.0,0.0,0,0,0,28543000000.0,23.28,0.3,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,17,6714600000000.0
8502,3578,32.5,32.0,32.7,31.9,1016500,0.0,0.0,0,0,0,32552000000.0,22.92,-0.5,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,18,8462260000000.0
8501,3578,32.25,31.3,32.25,31.3,979000,0.0,0.0,0,0,0,31032000000.0,22.42,-0.7,0,Công ty Cổ phần Tập đoàn Hà Đô,HDG,HOSE,2010-02-02,,0.0,Bất động sản và Xây dựng,2023,4,19,8609420000000.0
