session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3789,8.54,8.55,8.55,8.46,189200,0.0,0.0,0,0,0,1608000000.0,8.03,0.05,0,Công ty Cổ phần HHP Global,HHP,HOSE,2021-03-03,,0.0,Nguyên vật liệu,2023,3,9,9605920000000.0
8529,3789,8.58,8.55,8.58,8.33,28500,0.0,0.0,0,0,0,238000000.0,8.03,-0.05,0,Công ty Cổ phần HHP Global,HHP,HOSE,2021-03-03,,0.0,Nguyên vật liệu,2023,3,10,7802560000000.0
8528,3789,8.45,8.5,8.5,8.27,134500,0.0,0.0,0,0,0,1130000000.0,7.98,-0.1,0,Công ty Cổ phần HHP Global,HHP,HOSE,2021-03-03,,0.0,Nguyên vật liệu,2023,3,13,8852640000000.0
8527,3789,8.48,8.4,8.48,8.21,109300,0.0,0.0,0,0,0,910000000.0,7.89,-0.1,0,Công ty Cổ phần HHP Global,HHP,HOSE,2021-03-03,,0.0,Nguyên vật liệu,2023,3,14,9157830000000.0
8526,3789,8.45,8.65,8.65,8.3,97200,0.0,0.0,0,0,0,825000000.0,8.12,0.25,0,Công ty Cổ phần HHP Global,HHP,HOSE,2021-03-03,,0.0,Nguyên vật liệu,2023,3,15,9044830000000.0
8525,3789,8.4,8.35,8.4,8.2,84300,0.0,0.0,0,0,0,697000000.0,7.84,-0.35,0,Công ty Cổ phần HHP Global,HHP,HOSE,2021-03-03,,0.0,Nguyên vật liệu,2023,3,16,7993400000000.0
8524,3789,8.35,8.35,8.4,8.2,159800,0.0,0.0,0,0,0,1328000000.0,7.84,-0.05,0,Công ty Cổ phần HHP Global,HHP,HOSE,2021-03-03,,0.0,Nguyên vật liệu,2023,3,17,9056930000000.0
8523,3789,8.3,8.19,8.6,8.0,319700,0.0,0.0,0,0,0,2632000000.0,7.69,-0.21,0,Công ty Cổ phần HHP Global,HHP,HOSE,2021-03-03,,0.0,Nguyên vật liệu,2023,3,20,8000550000000.0
8522,3789,7.9,8.2,8.35,7.9,55400,0.0,0.0,0,0,0,442000000.0,7.7,0.0,0,Công ty Cổ phần HHP Global,HHP,HOSE,2021-03-03,,0.0,Nguyên vật liệu,2023,3,21,6678120000000.0
8521,3789,8.2,8.1,8.2,7.99,46500,0.0,0.0,0,0,0,374000000.0,7.61,-0.1,0,Công ty Cổ phần HHP Global,HHP,HOSE,2021-03-03,,0.0,Nguyên vật liệu,2023,3,22,7063540000000.0
