session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3743,4.18,4.18,4.2,4.1,75900,0.0,0.0,0,0,0,315000000.0,4.18,-0.02,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,9,9605920000000.0
8529,3743,4.2,4.19,4.24,4.16,140400,0.0,0.0,0,0,0,588000000.0,4.19,-0.01,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,10,7802560000000.0
8528,3743,4.18,4.16,4.19,4.06,82600,0.0,0.0,0,0,0,343000000.0,4.16,-0.04,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,13,8852640000000.0
8527,3743,4.17,4.07,4.17,4.05,133600,0.0,0.0,0,0,0,546000000.0,4.07,-0.13,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,14,9157830000000.0
8526,3743,4.1,4.18,4.18,4.07,81400,0.0,0.0,0,0,0,336000000.0,4.18,0.08,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,15,9044830000000.0
8525,3743,4.16,4.15,4.17,4.07,50100,0.0,0.0,0,0,0,205000000.0,4.15,-0.05,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,16,7993400000000.0
8524,3743,4.11,4.14,4.15,4.1,9800,0.0,0.0,0,0,0,40000000.0,4.14,-0.06,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,17,9056930000000.0
8523,3743,4.15,4.11,4.15,4.08,75000,0.0,0.0,0,0,0,309000000.0,4.11,0.01,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,20,8000550000000.0
8522,3743,4.13,4.1,4.13,4.05,42800,0.0,0.0,0,0,0,175000000.0,4.1,0.0,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,21,6678120000000.0
8521,3743,4.02,4.07,4.1,4.02,62800,0.0,0.0,0,0,0,254000000.0,4.07,-0.03,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,22,7063540000000.0
8520,3743,4.05,4.05,4.06,4.02,70800,0.0,0.0,0,0,0,285000000.0,4.05,-0.05,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,23,6539990000000.0
8519,3743,4.06,4.07,4.09,4.05,52300,0.0,0.0,0,0,0,212000000.0,4.07,-0.03,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,24,8145960000000.0
8518,3743,4.1,4.12,4.14,4.07,36600,0.0,0.0,0,0,0,149000000.0,4.12,0.02,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,27,8430340000000.0
8517,3743,4.14,4.11,4.15,4.1,40900,0.0,0.0,0,0,0,168000000.0,4.11,0.01,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,28,9714650000000.0
8516,3743,4.11,4.12,4.13,4.08,34700,0.0,0.0,0,0,0,142000000.0,4.12,0.02,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,29,7305170000000.0
8515,3743,4.13,4.12,4.16,4.11,143600,0.0,0.0,0,0,0,594000000.0,4.12,0.02,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,30,9656120000000.0
8514,3743,4.14,4.05,4.14,4.05,83300,0.0,0.0,0,0,0,339000000.0,4.05,-0.05,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,3,31,10498800000000.0
8513,3743,4.06,4.04,4.07,4.01,237700,0.0,0.0,0,0,0,960000000.0,4.04,-0.06,0,Công ty Cổ phần An Tiến Industries,HII,HOSE,2017-06-22,,0.0,Nguyên vật liệu,2023,4,3,12983200000000.0
