session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3704,4.25,4.28,4.3,4.23,2668600,0.0,0.0,0,0,0,11378000000.0,4.28,0.08,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3704,4.22,4.19,4.26,4.19,2281200,0.0,0.0,0,0,0,9623000000.0,4.19,-0.11,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3704,4.12,4.16,4.24,4.12,2609700,0.0,0.0,0,0,0,10901000000.0,4.16,-0.04,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3704,4.17,4.1,4.22,4.06,3814700,0.0,0.0,0,0,0,15780000000.0,4.1,-0.1,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3704,4.24,4.22,4.28,4.16,3327900,0.0,0.0,0,0,0,14033000000.0,4.22,0.12,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3704,4.18,4.14,4.2,4.11,2826700,0.0,0.0,0,0,0,11696000000.0,4.14,-0.06,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3704,4.17,4.16,4.2,4.12,2235200,0.0,0.0,0,0,0,9270000000.0,4.16,0.06,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3704,4.15,4.07,4.15,4.06,2875700,0.0,0.0,0,0,0,11801000000.0,4.07,-0.13,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3704,4.09,4.06,4.11,4.01,2574600,0.0,0.0,0,0,0,10435000000.0,4.06,-0.04,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3704,4.11,4.06,4.11,4.06,1796700,0.0,0.0,0,0,0,7328000000.0,4.06,-0.04,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
8520,3704,4.03,3.99,4.07,3.8,3284300,0.0,0.0,0,0,0,13158000000.0,3.99,-0.11,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,23,6539990000000.0
8519,3704,4.02,4.08,4.15,3.99,4428500,0.0,0.0,0,0,0,18022000000.0,4.08,0.08,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,24,8145960000000.0
8518,3704,4.14,4.12,4.16,4.09,3481400,0.0,0.0,0,0,0,14350000000.0,4.12,0.02,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,27,8430340000000.0
8517,3704,4.15,4.15,4.27,4.15,5602800,0.0,0.0,0,0,0,23519000000.0,4.15,0.05,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,28,9714650000000.0
8516,3704,4.19,4.1,4.19,4.07,2437900,0.0,0.0,0,0,0,10019000000.0,4.1,-0.1,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,29,7305170000000.0
8515,3704,4.16,4.09,4.16,4.08,2516600,0.0,0.0,0,0,0,10349000000.0,4.09,-0.01,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,30,9656120000000.0
8514,3704,4.1,4.07,4.14,4.06,2860300,0.0,0.0,0,0,0,11691000000.0,4.07,-0.03,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,3,31,10498800000000.0
8513,3704,4.13,4.22,4.25,4.12,6059600,0.0,0.0,0,0,0,25422000000.0,4.22,0.12,0,Công ty cổ phần Đầu tư Hải Phát,HPX,HOSE,2018-07-24,,0.0,Bất động sản và Xây dựng,2023,4,3,12983200000000.0
