session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,2391,3.9,3.8,3.9,3.8,6155,0.0,0.0,0,0,0,23414500.0,3.8,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,5,17,596787000000.0
4816,2391,3.8,3.7,3.8,3.7,1610,0.0,0.0,0,0,0,6068000.0,3.7,-0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,5,18,452755000000.0
4815,2391,3.9,3.6,3.9,3.6,11800,0.0,0.0,0,0,0,43250000.0,3.6,-0.2,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,5,19,610612000000.0
4814,2391,3.8,3.8,3.8,3.7,35910,0.0,0.0,0,0,0,136178000.0,3.8,0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,5,22,541384000000.0
4813,2391,3.8,3.7,3.8,3.7,4901,0.0,0.0,0,0,0,18453800.0,3.7,-0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,5,23,589042000000.0
4812,2391,3.8,3.8,3.9,3.7,42227,0.0,0.0,0,0,0,161625000.0,3.8,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,5,24,417134000000.0
4811,2391,3.8,3.8,3.9,3.7,63735,0.0,0.0,0,0,0,242192000.0,3.8,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,5,25,457573000000.0
4810,2391,3.9,3.8,3.9,3.6,34900,0.0,0.0,0,0,0,132240000.0,3.8,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,5,26,867663000000.0
4809,2391,3.8,3.8,3.9,3.8,36900,0.0,0.0,0,0,0,140460000.0,3.8,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,5,29,598726000000.0
4808,2391,3.9,4.0,4.0,3.8,40659,0.0,0.0,0,0,0,158174000.0,4.0,0.2,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,5,30,797759000000.0
4807,2391,3.9,4.2,4.2,3.9,32335,0.0,0.0,0,0,0,131430000.0,4.2,0.3,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,5,31,860345000000.0
4806,2391,4.3,4.0,4.3,4.0,49801,0.0,0.0,0,0,0,207604000.0,4.0,-0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,1,784243000000.0
4805,2391,4.2,4.3,4.4,4.2,72275,0.0,0.0,0,0,0,307934000.0,4.3,0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,2,911677000000.0
4804,2391,4.3,4.2,4.4,4.2,36700,0.0,0.0,0,0,0,157740000.0,4.2,-0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,5,850691000000.0
4803,2391,4.3,4.3,4.4,4.2,25603,0.0,0.0,0,0,0,109543000.0,4.3,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,6,735226000000.0
4802,2391,4.3,4.9,4.9,4.3,478060,0.0,0.0,0,0,0,2318270000.0,4.9,0.6,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,7,779549000000.0
4801,2391,5.4,5.5,5.5,5.3,328001,0.0,0.0,0,0,0,1801390000.0,5.5,0.7,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,8,972083000000.0
4800,2391,5.5,4.9,5.5,4.7,293073,0.0,0.0,0,0,0,1429970000.0,4.9,-0.6,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,9,784155000000.0
4799,2391,5.4,5.0,5.4,4.8,119483,0.0,0.0,0,0,0,592787000.0,5.0,0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,12,637523000000.0
4798,2391,5.3,5.0,5.6,4.7,241070,0.0,0.0,0,0,0,1212500000.0,5.0,-0.3,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,14,763309000000.0
4797,2391,5.0,4.9,5.0,4.5,112320,0.0,0.0,0,0,0,523672000.0,4.9,-0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,15,619574000000.0
4796,2391,4.8,4.8,4.9,4.6,67951,0.0,0.0,0,0,0,320540000.0,4.8,0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,16,897713000000.0
4795,2391,4.8,4.2,4.8,4.2,116081,0.0,0.0,0,0,0,510785000.0,4.2,-0.5,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,19,554708000000.0
4794,2391,4.2,4.3,4.4,4.1,49300,0.0,0.0,0,0,0,210640000.0,4.3,-0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,20,557490000000.0
4793,2391,4.3,4.5,4.5,4.3,70689,0.0,0.0,0,0,0,308881000.0,4.5,0.2,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,21,817903000000.0
4792,2391,4.5,4.4,4.5,4.4,47252,0.0,0.0,0,0,0,211634000.0,4.4,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,22,833329000000.0
4791,2391,4.5,4.5,4.6,4.4,72150,0.0,0.0,0,0,0,324455000.0,4.5,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,23,847219000000.0
4790,2391,4.5,4.4,4.5,4.3,21410,0.0,0.0,0,0,0,93301000.0,4.4,-0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,26,860095000000.0
4789,2391,4.4,4.5,4.6,4.4,113700,0.0,0.0,0,0,0,509930000.0,4.5,0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,27,567850000000.0
4788,2391,4.5,4.4,4.5,4.4,26110,0.0,0.0,0,0,0,116323000.0,4.4,-0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,28,659102000000.0
4787,2391,4.5,4.4,4.5,4.4,14402,0.0,0.0,0,0,0,63519000.0,4.4,-0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,29,666695000000.0
4786,2391,4.2,4.4,4.4,4.2,27000,0.0,0.0,0,0,0,114980000.0,4.4,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,6,30,543269000000.0
4785,2391,4.3,4.3,4.4,4.1,10305,0.0,0.0,0,0,0,43871500.0,4.3,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,3,477651000000.0
4784,2391,4.3,4.3,4.4,4.3,4800,0.0,0.0,0,0,0,20710000.0,4.3,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,4,638481000000.0
4783,2391,4.4,4.4,4.4,4.3,19951,0.0,0.0,0,0,0,87289500.0,4.4,0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,5,701030000000.0
4782,2391,4.4,4.4,4.4,4.3,38500,0.0,0.0,0,0,0,167040000.0,4.4,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,6,637903000000.0
4781,2391,4.3,4.6,4.7,4.3,43120,0.0,0.0,0,0,0,193446000.0,4.6,0.3,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,7,729580000000.0
4780,2391,4.6,4.5,4.6,4.5,6216,0.0,0.0,0,0,0,28081400.0,4.5,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,10,1270370000000.0
4779,2391,4.5,4.5,4.5,4.4,21500,0.0,0.0,0,0,0,96130000.0,4.5,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,11,779753000000.0
4778,2391,4.5,4.4,4.5,4.4,8200,0.0,0.0,0,0,0,36240000.0,4.4,-0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,12,885074000000.0
4777,2391,4.5,4.5,4.5,4.4,40300,0.0,0.0,0,0,0,177400000.0,4.5,0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,13,793503000000.0
4776,2391,4.5,4.5,4.5,4.3,39610,0.0,0.0,0,0,0,172383000.0,4.5,0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,14,907996000000.0
4775,2391,4.4,4.4,4.5,4.4,17300,0.0,0.0,0,0,0,76190000.0,4.4,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,17,838562000000.0
4774,2391,4.4,4.4,4.4,4.3,13300,0.0,0.0,0,0,0,58210000.0,4.4,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,18,673486000000.0
4773,2391,4.4,4.4,4.4,4.3,46100,0.0,0.0,0,0,0,198420000.0,4.4,0.0,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,19,739111000000.0
4772,2391,4.4,4.4,4.4,4.4,15300,0.0,0.0,0,0,0,67320000.0,4.4,0.1,0,Công ty Cổ phần Gang thép Hà Nội,HSV,UPCOM,2021-04-27,,0.0,Nguyên vật liệu,2023,7,20,602157000000.0
