session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3811,15.6,15.4,15.8,15.4,1847600,0.0,0.0,0,0,0,28744000000.0,14.89,-0.2,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3811,15.15,14.9,15.3,14.85,1884100,0.0,0.0,0,0,0,28313000000.0,14.4,-0.5,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3811,14.7,14.9,15.2,14.7,1038100,0.0,0.0,0,0,0,15481000000.0,14.4,0.0,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3811,14.9,14.35,15.1,14.2,1709800,0.0,0.0,0,0,0,24981000000.0,13.87,-0.55,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3811,14.95,15.1,15.1,14.5,876300,0.0,0.0,0,0,0,13050000000.0,14.6,0.7,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3811,15.0,14.8,15.0,14.75,696200,0.0,0.0,0,0,0,10322000000.0,14.31,-0.3,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3811,15.0,14.8,15.0,14.7,406700,0.0,0.0,0,0,0,6024000000.0,14.31,0.0,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3811,14.65,14.6,15.2,14.6,846100,0.0,0.0,0,0,0,12501000000.0,14.11,-0.2,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3811,15.05,14.85,15.05,14.5,569400,0.0,0.0,0,0,0,8400000000.0,14.36,0.25,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3811,14.95,15.3,15.6,14.9,2549000,0.0,0.0,0,0,0,39178000000.0,14.79,0.4,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
8520,3811,15.3,15.45,15.65,15.15,1124600,0.0,0.0,0,0,0,17411000000.0,14.94,0.15,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,23,6539990000000.0
8519,3811,15.6,15.2,15.65,15.05,1387300,0.0,0.0,0,0,0,21362000000.0,14.69,-0.3,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,24,8145960000000.0
8518,3811,15.3,15.4,15.4,15.1,1019100,0.0,0.0,0,0,0,15559000000.0,14.89,0.2,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,27,8430340000000.0
8517,3811,15.6,15.3,15.95,15.3,2510700,0.0,0.0,0,0,0,39401000000.0,14.79,-0.1,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,28,9714650000000.0
8516,3811,15.3,15.55,15.85,15.3,1205000,0.0,0.0,0,0,0,18732000000.0,15.03,0.25,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,29,7305170000000.0
8515,3811,15.7,15.35,15.75,15.2,1401000,0.0,0.0,0,0,0,21625000000.0,14.84,-0.25,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,30,9656120000000.0
8514,3811,15.35,15.1,15.4,15.1,1408300,0.0,0.0,0,0,0,21375000000.0,14.6,-0.3,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,3,31,10498800000000.0
8513,3811,15.25,15.55,15.55,15.05,1415600,0.0,0.0,0,0,0,21615000000.0,15.03,0.45,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,3,12983200000000.0
8512,3811,15.65,15.6,15.8,15.45,1895100,0.0,0.0,0,0,0,29761000000.0,15.08,0.0,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,4,12386800000000.0
8511,3811,15.5,15.45,15.6,15.2,1339600,0.0,0.0,0,0,0,20671000000.0,14.94,-0.15,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,5,11435900000000.0
8510,3811,15.4,15.35,15.75,15.3,1578700,0.0,0.0,0,0,0,24455000000.0,14.84,-0.15,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,6,14836000000000.0
8509,3811,15.3,15.4,15.4,15.15,902600,0.0,0.0,0,0,0,13800000000.0,14.89,0.0,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,7,9555430000000.0
8508,3811,15.3,14.7,15.45,14.7,2378500,0.0,0.0,0,0,0,35656000000.0,14.21,-0.7,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,10,13080300000000.0
8507,3811,14.5,14.75,14.8,14.5,1172400,0.0,0.0,0,0,0,17148000000.0,14.26,0.05,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,11,10352300000000.0
8506,3811,14.85,14.65,14.9,14.6,607500,0.0,0.0,0,0,0,8976000000.0,14.16,-0.15,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,12,11237900000000.0
8505,3811,14.65,14.6,14.8,14.55,449600,0.0,0.0,0,0,0,6582000000.0,14.11,-0.1,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,13,10048100000000.0
8504,3811,14.65,14.5,14.75,14.5,610000,0.0,0.0,0,0,0,8910000000.0,14.02,-0.1,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,14,11983800000000.0
8503,3811,14.5,14.7,14.7,14.45,192100,0.0,0.0,0,0,0,2798000000.0,14.21,0.2,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,17,6714600000000.0
8502,3811,14.75,14.8,14.9,14.6,740600,0.0,0.0,0,0,0,10971000000.0,14.31,0.1,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,18,8462260000000.0
8501,3811,14.95,14.6,14.95,14.6,380200,0.0,0.0,0,0,0,5595000000.0,14.11,-0.2,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,19,8609420000000.0
8500,3811,14.5,14.55,14.75,14.5,597000,0.0,0.0,0,0,0,8687000000.0,14.07,-0.05,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,20,5636530000000.0
8499,3811,14.3,14.05,14.4,13.9,2016900,0.0,0.0,0,0,0,28357000000.0,13.58,-0.55,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,21,8838180000000.0
8498,3811,13.75,13.7,14.05,13.65,869800,0.0,0.0,0,0,0,11976000000.0,13.24,-0.4,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,24,7199740000000.0
8497,3811,13.95,13.6,14.0,13.6,568600,0.0,0.0,0,0,0,7848000000.0,13.15,-0.1,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,25,8456240000000.0
8496,3811,13.7,13.55,13.7,13.45,653000,0.0,0.0,0,0,0,8837000000.0,13.1,-0.05,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,26,7520090000000.0
8495,3811,13.55,13.55,13.9,13.55,472000,0.0,0.0,0,0,0,6456000000.0,13.1,0.0,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,27,7600150000000.0
8494,3811,13.6,13.75,13.8,13.6,321800,0.0,0.0,0,0,0,4402000000.0,13.29,0.2,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,4,28,9308330000000.0
8493,3811,13.65,14.15,14.15,13.65,972100,0.0,0.0,0,0,0,13573000000.0,13.68,0.4,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,5,4,9259100000000.0
8492,3811,14.1,14.15,14.15,13.85,497400,0.0,0.0,0,0,0,6993000000.0,13.68,0.0,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,5,5,6891880000000.0
8491,3811,14.15,14.05,14.2,14.0,304400,0.0,0.0,0,0,0,4294000000.0,13.58,-0.1,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,5,8,9352890000000.0
8490,3811,14.1,14.05,14.25,14.0,314500,0.0,0.0,0,0,0,4446000000.0,13.58,-0.05,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,5,9,8040740000000.0
8489,3811,14.15,14.1,14.15,13.95,491600,0.0,0.0,0,0,0,6912000000.0,13.63,0.0,0,Công ty cổ phần xi măng VICEM Hà Tiên,HT1,HOSE,2007-11-13,,0.0,Bất động sản và Xây dựng,2023,5,10,9830030000000.0
