session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
9834,3553,1.41,1.38,1.41,1.36,1491590,0.0,0.0,0,0,0,2064000000.0,1.38,0.0,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,13,2997680000000.0
9833,3553,1.38,1.37,1.38,1.36,1086070,0.0,0.0,0,0,0,1484000000.0,1.37,-0.01,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,14,3145600000000.0
9832,3553,1.37,1.38,1.38,1.36,916990,0.0,0.0,0,0,0,1256910000.0,1.38,0.01,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,15,5622600000000.0
9831,3553,1.39,1.39,1.43,1.38,1156890,0.0,0.0,0,0,0,1623000000.0,1.39,0.01,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,18,4470850000000.0
9830,3553,1.39,1.37,1.4,1.37,846190,0.0,0.0,0,0,0,1171000000.0,1.37,-0.02,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,19,4830470000000.0
9829,3553,1.38,1.37,1.39,1.36,752170,0.0,0.0,0,0,0,1029000000.0,1.37,0.0,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,20,4283900000000.0
9828,3553,1.38,1.35,1.38,1.35,854800,0.0,0.0,0,0,0,1166000000.0,1.35,-0.02,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,21,4289020000000.0
9827,3553,1.37,1.35,1.38,1.35,927960,0.0,0.0,0,0,0,1258000000.0,1.35,0.0,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,22,3663520000000.0
9826,3553,1.35,1.35,1.36,1.34,570490,0.0,0.0,0,0,0,767000000.0,1.35,0.0,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,25,2913630000000.0
9825,3553,1.35,1.34,1.37,1.34,580520,0.0,0.0,0,0,0,784000000.0,1.34,-0.01,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,26,3436200000000.0
9824,3553,1.34,1.31,1.35,1.31,1550310,0.0,0.0,0,0,0,2063000000.0,1.31,-0.03,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,27,4309690000000.0
9823,3553,1.32,1.31,1.32,1.3,941930,0.0,0.0,0,0,0,1233000000.0,1.31,0.0,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,28,3862550000000.0
9822,3553,1.3,1.3,1.31,1.28,686830,0.0,0.0,0,0,0,889000000.0,1.3,-0.01,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2017,12,29,5022650000000.0
9821,3553,1.32,1.3,1.33,1.29,945360,0.0,0.0,0,0,0,1227940000.0,1.3,0.0,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2018,1,2,5117850000000.0
9820,3553,1.3,1.28,1.31,1.27,884820,0.0,0.0,0,0,0,1143000000.0,1.28,-0.02,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2018,1,3,5670940000000.0
9819,3553,1.27,1.29,1.29,1.27,1006960,0.0,0.0,0,0,0,1287000000.0,1.29,0.01,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2018,1,4,5449820000000.0
9818,3553,1.28,1.29,1.3,1.27,473410,0.0,0.0,0,0,0,608000000.0,1.29,0.0,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2018,1,5,6723520000000.0
9817,3553,1.28,1.27,1.29,1.24,1385790,0.0,0.0,0,0,0,1745000000.0,1.27,-0.02,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2018,1,8,5848100000000.0
9816,3553,1.26,1.25,1.27,1.25,879210,0.0,0.0,0,0,0,1105000000.0,1.25,-0.02,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2018,1,9,7050780000000.0
9815,3553,1.3,1.33,1.33,1.3,806230,0.0,0.0,0,0,0,1065000000.0,1.33,0.08,0,Công ty Cổ phần Công Nghiệp Khoáng Sản Bình Thuận,KSA,HOSE,2010-07-27,2018-05-16,0.0,,2018,1,10,8115280000000.0
