session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3772,3.5,3.43,3.5,3.35,55900,0.0,0.0,0,0,0,192000000.0,3.43,0.03,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,LGL,HOSE,2009-10-08,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3772,3.47,3.35,3.47,3.34,58500,0.0,0.0,0,0,0,196000000.0,3.35,-0.05,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,LGL,HOSE,2009-10-08,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3772,3.35,3.39,3.46,3.28,67800,0.0,0.0,0,0,0,225000000.0,3.39,-0.01,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,LGL,HOSE,2009-10-08,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3772,3.44,3.34,3.44,3.2,48500,0.0,0.0,0,0,0,159000000.0,3.34,-0.06,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,LGL,HOSE,2009-10-08,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3772,3.34,3.34,3.44,3.34,98800,0.0,0.0,0,0,0,332000000.0,3.34,0.04,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,LGL,HOSE,2009-10-08,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3772,3.34,3.36,3.37,3.23,34700,0.0,0.0,0,0,0,113000000.0,3.36,0.06,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,LGL,HOSE,2009-10-08,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3772,3.36,3.26,3.38,3.25,56900,0.0,0.0,0,0,0,187000000.0,3.26,-0.14,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,LGL,HOSE,2009-10-08,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3772,3.33,3.2,3.33,3.2,31300,0.0,0.0,0,0,0,101000000.0,3.2,-0.1,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,LGL,HOSE,2009-10-08,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3772,3.21,3.27,3.3,3.2,40400,0.0,0.0,0,0,0,131000000.0,3.27,0.07,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,LGL,HOSE,2009-10-08,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3772,3.29,3.22,3.3,3.22,15800,0.0,0.0,0,0,0,51000000.0,3.22,-0.08,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,LGL,HOSE,2009-10-08,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
