session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3799,9.8,9.9,9.9,9.8,27790,0.0,0.0,0,0,0,274720000.0,7.92,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,9,9605920000000.0
8529,3799,9.9,9.9,9.9,9.8,19388,0.0,0.0,0,0,0,191872000.0,7.92,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,10,7802560000000.0
8528,3799,9.9,9.7,9.9,9.7,97587,0.0,0.0,0,0,0,950150000.0,7.76,-0.2,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,13,8852640000000.0
8527,3799,9.7,9.7,9.8,9.6,42041,0.0,0.0,0,0,0,409202000.0,7.76,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,14,9157830000000.0
8526,3799,9.7,10.1,10.1,9.7,135628,0.0,0.0,0,0,0,1356560000.0,8.08,0.4,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,15,9044830000000.0
8525,3799,9.9,10.0,10.0,9.8,68162,0.0,0.0,0,0,0,676754000.0,8.0,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,16,7993400000000.0
8524,3799,10.0,10.1,10.2,9.9,143117,0.0,0.0,0,0,0,1451430000.0,8.08,0.2,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,17,9056930000000.0
8523,3799,10.1,9.9,10.1,9.9,79509,0.0,0.0,0,0,0,793764000.0,7.92,-0.2,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,20,8000550000000.0
8522,3799,10.1,10.1,10.1,9.9,35780,0.0,0.0,0,0,0,356271000.0,8.08,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,21,6678120000000.0
8521,3799,10.0,10.0,10.1,10.0,27717,0.0,0.0,0,0,0,277180000.0,8.0,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,22,7063540000000.0
8520,3799,10.0,9.9,10.1,9.9,34223,0.0,0.0,0,0,0,340269000.0,7.92,-0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,23,6539990000000.0
8519,3799,10.0,10.0,10.0,9.8,66028,0.0,0.0,0,0,0,655777000.0,8.0,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,24,8145960000000.0
8518,3799,10.0,10.0,10.1,9.9,42545,0.0,0.0,0,0,0,425350000.0,8.0,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,27,8430340000000.0
8517,3799,10.0,10.0,10.1,10.0,50728,0.0,0.0,0,0,0,508995000.0,8.0,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,28,9714650000000.0
8516,3799,10.0,10.0,10.0,9.9,32452,0.0,0.0,0,0,0,324283000.0,8.0,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,29,7305170000000.0
8515,3799,10.1,10.1,10.1,10.0,33982,0.0,0.0,0,0,0,340689000.0,8.08,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,30,9656120000000.0
8514,3799,10.0,10.0,10.0,9.9,77047,0.0,0.0,0,0,0,768750000.0,8.0,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,3,31,10498800000000.0
8513,3799,10.1,10.2,10.2,10.0,125077,0.0,0.0,0,0,0,1267040000.0,8.16,0.2,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,3,12983200000000.0
8512,3799,10.2,10.1,10.2,10.1,100781,0.0,0.0,0,0,0,1023500000.0,8.08,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,4,12386800000000.0
8511,3799,10.2,10.2,10.2,10.1,45601,0.0,0.0,0,0,0,461631000.0,8.16,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,5,11435900000000.0
8510,3799,10.2,10.2,10.4,10.1,193998,0.0,0.0,0,0,0,1982840000.0,8.16,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,6,14836000000000.0
8509,3799,10.2,10.2,10.3,10.1,56669,0.0,0.0,0,0,0,577412000.0,8.16,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,7,9555430000000.0
8508,3799,10.3,10.2,10.4,10.2,129962,0.0,0.0,0,0,0,1333240000.0,8.16,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,10,13080300000000.0
8507,3799,10.3,10.3,10.4,10.1,72882,0.0,0.0,0,0,0,745251000.0,8.24,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,11,10352300000000.0
8506,3799,10.2,10.4,10.5,10.2,140455,0.0,0.0,0,0,0,1456670000.0,8.32,0.2,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,12,11237900000000.0
8505,3799,10.4,10.6,10.7,10.4,155603,0.0,0.0,0,0,0,1639690000.0,8.48,0.2,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,13,10048100000000.0
8504,3799,10.6,10.5,10.6,10.4,113036,0.0,0.0,0,0,0,1185460000.0,8.4,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,14,11983800000000.0
8503,3799,10.5,10.5,10.6,10.3,39682,0.0,0.0,0,0,0,413992000.0,8.4,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,17,6714600000000.0
8502,3799,10.4,10.3,10.5,10.3,65219,0.0,0.0,0,0,0,673707000.0,8.24,-0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,18,8462260000000.0
8501,3799,10.4,10.3,10.4,10.2,111284,0.0,0.0,0,0,0,1139900000.0,8.24,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,19,8609420000000.0
8500,3799,10.3,10.3,10.3,10.2,22890,0.0,0.0,0,0,0,234534000.0,8.24,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,20,5636530000000.0
8499,3799,10.3,10.2,10.3,10.2,45994,0.0,0.0,0,0,0,469145000.0,8.16,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,21,8838180000000.0
8498,3799,10.3,10.1,10.5,10.0,86884,0.0,0.0,0,0,0,878163000.0,8.08,-0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,24,7199740000000.0
8497,3799,10.2,10.2,10.2,10.1,57095,0.0,0.0,0,0,0,578169000.0,8.16,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,25,8456240000000.0
8496,3799,10.1,10.2,10.2,10.0,80218,0.0,0.0,0,0,0,810620000.0,8.16,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,26,7520090000000.0
8495,3799,10.2,10.2,10.2,10.0,55357,0.0,0.0,0,0,0,559062000.0,8.16,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,27,7600150000000.0
8494,3799,10.2,10.2,10.2,10.1,140680,0.0,0.0,0,0,0,1424480000.0,8.16,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,4,28,9308330000000.0
8493,3799,10.3,10.3,10.6,10.3,105556,0.0,0.0,0,0,0,1095760000.0,8.24,0.2,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,4,9259100000000.0
8492,3799,10.4,10.6,10.7,10.4,231753,0.0,0.0,0,0,0,2452070000.0,8.48,0.2,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,5,6891880000000.0
8491,3799,10.6,10.7,10.9,10.6,241856,0.0,0.0,0,0,0,2589510000.0,8.56,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,8,9352890000000.0
8490,3799,10.7,10.7,10.9,10.7,149112,0.0,0.0,0,0,0,1611000000.0,8.56,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,9,8040740000000.0
8489,3799,10.7,10.9,10.9,10.7,59942,0.0,0.0,0,0,0,647444000.0,8.72,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,10,9830030000000.0
8488,3799,10.8,10.8,10.9,10.7,166768,0.0,0.0,0,0,0,1799620000.0,8.64,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,11,10795100000000.0
8487,3799,10.9,11.2,11.2,10.8,344448,0.0,0.0,0,0,0,3813830000.0,8.96,0.4,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,12,11117600000000.0
8486,3799,11.2,11.7,11.7,10.0,490478,0.0,0.0,0,0,0,5655180000.0,9.36,0.6,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,15,12607000000000.0
8485,3799,11.7,12.0,12.2,11.6,654784,0.0,0.0,0,0,0,7865980000.0,9.6,0.5,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,16,9638180000000.0
8484,3799,12.0,11.7,12.0,10.3,351393,0.0,0.0,0,0,0,4155770000.0,9.36,-0.3,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,17,11644500000000.0
8483,3799,11.7,12.0,12.3,11.5,270653,0.0,0.0,0,0,0,3217230000.0,9.6,0.2,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,18,10252200000000.0
8482,3799,11.8,11.8,12.0,10.2,325565,0.0,0.0,0,0,0,3828840000.0,9.44,-0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,19,10585100000000.0
8481,3799,11.8,11.7,12.1,10.1,517941,0.0,0.0,0,0,0,6109910000.0,9.36,-0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,22,11015600000000.0
8480,3799,11.8,11.9,12.0,11.6,651398,0.0,0.0,0,0,0,7643920000.0,9.52,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,23,11892800000000.0
8479,3799,11.8,11.8,11.8,10.0,575359,0.0,0.0,0,0,0,6735800000.0,9.44,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,24,11401200000000.0
8478,3799,11.8,11.8,11.8,10.1,596750,0.0,0.0,0,0,0,6987230000.0,9.44,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,25,10567700000000.0
8477,3799,11.7,11.7,11.9,10.0,114103,0.0,0.0,0,0,0,1341250000.0,9.36,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,26,9431780000000.0
8476,3799,11.8,11.9,11.9,11.7,227229,0.0,0.0,0,0,0,2684230000.0,9.52,0.1,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,29,11644700000000.0
8475,3799,11.9,11.8,11.9,10.1,207300,0.0,0.0,0,0,0,2453050000.0,9.44,0.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,30,13600100000000.0
8474,3799,11.8,12.2,12.2,10.1,410112,0.0,0.0,0,0,0,4930220000.0,9.76,0.4,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,5,31,14101800000000.0
8473,3799,12.2,13.0,13.0,10.2,1075010,0.0,0.0,0,0,0,13655300000.0,10.4,1.0,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,6,1,12900900000000.0
8472,3799,13.0,13.1,13.7,12.8,832404,0.0,0.0,0,0,0,11051200000.0,10.48,0.4,0,Ngân hàng Thương mại Cổ phần Nam Á,NAB,HOSE,2024-03-08,,0.0,Tài chính,2023,6,2,16880800000000.0
