session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3576,10.4,10.5,10.55,10.4,54100,0.0,0.0,0,0,0,566000000.0,10.5,0.0,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,9,9605920000000.0
8529,3576,10.3,10.35,10.5,10.3,26200,0.0,0.0,0,0,0,272000000.0,10.35,-0.15,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,10,7802560000000.0
8528,3576,10.25,10.4,10.4,10.1,15800,0.0,0.0,0,0,0,163000000.0,10.4,0.0,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,13,8852640000000.0
8527,3576,10.2,10.25,10.3,10.15,65100,0.0,0.0,0,0,0,663000000.0,10.25,-0.15,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,14,9157830000000.0
8526,3576,10.25,10.45,10.45,10.2,60900,0.0,0.0,0,0,0,628000000.0,10.45,0.15,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,15,9044830000000.0
8525,3576,10.3,10.45,10.45,10.25,18400,0.0,0.0,0,0,0,190000000.0,10.45,-0.05,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,16,7993400000000.0
8524,3576,10.5,10.3,10.5,10.3,11200,0.0,0.0,0,0,0,115000000.0,10.3,-0.2,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,17,9056930000000.0
8523,3576,10.0,10.15,10.35,10.0,82900,0.0,0.0,0,0,0,838000000.0,10.15,-0.15,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,20,8000550000000.0
8522,3576,10.05,10.1,10.3,10.05,29400,0.0,0.0,0,0,0,298000000.0,10.1,-0.1,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,21,6678120000000.0
8521,3576,10.1,10.15,10.2,10.1,33000,0.0,0.0,0,0,0,335000000.0,10.15,0.05,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,22,7063540000000.0
8520,3576,10.1,10.15,10.2,10.0,32200,0.0,0.0,0,0,0,324000000.0,10.15,-0.05,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,23,6539990000000.0
8519,3576,10.15,10.0,10.15,10.0,40400,0.0,0.0,0,0,0,407000000.0,10.0,-0.2,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,24,8145960000000.0
8518,3576,10.2,10.0,10.2,9.96,36000,0.0,0.0,0,0,0,361000000.0,10.0,0.0,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,27,8430340000000.0
8517,3576,10.0,10.0,10.05,9.96,162200,0.0,0.0,0,0,0,1623000000.0,10.0,0.0,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,28,9714650000000.0
8516,3576,10.0,10.15,10.2,10.0,69100,0.0,0.0,0,0,0,697000000.0,10.15,0.15,0,Công ty Cổ phần Nafoods Group ,NAF,HOSE,2015-10-07,,0.0,Nông nghiệp,2023,3,29,7305170000000.0
