session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,2892,19.9,19.9,19.9,19.9,200,0.0,0.0,0,0,0,3980000.0,18.54,-0.1,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,5,17,596787000000.0
4816,2892,20.0,19.3,20.0,19.3,1100,0.0,0.0,0,0,0,21890000.0,17.98,-0.6,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,5,18,452755000000.0
4815,2892,19.9,19.9,19.9,19.9,0,0.0,0.0,0,0,0,0.0,18.54,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,5,19,610612000000.0
4814,2892,20.0,19.9,20.0,19.9,200,0.0,0.0,0,0,0,3990000.0,18.54,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,5,22,541384000000.0
4813,2892,20.0,20.0,20.0,20.0,0,0.0,0.0,0,0,0,0.0,18.64,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,5,23,589042000000.0
4812,2892,20.0,20.0,20.0,20.0,0,0.0,0.0,0,0,0,0.0,18.64,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,5,24,417134000000.0
4811,2892,19.3,19.2,19.3,19.2,600,0.0,0.0,0,0,0,11530000.0,17.89,-0.8,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,5,25,457573000000.0
4810,2892,19.9,20.0,20.0,19.9,1100,0.0,0.0,0,0,0,21980000.0,18.64,0.8,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,5,26,867663000000.0
4809,2892,20.0,20.0,20.0,20.0,500,0.0,0.0,0,0,0,10000000.0,18.64,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,5,29,598726000000.0
4808,2892,19.1,20.0,20.0,19.1,1100,0.0,0.0,0,0,0,21910000.0,18.64,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,5,30,797759000000.0
4807,2892,20.0,19.9,20.0,19.9,3500,0.0,0.0,0,0,0,69960000.0,18.54,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,5,31,860345000000.0
4806,2892,20.0,20.0,20.2,20.0,2303,0.0,0.0,0,0,0,46163000.0,18.64,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,1,784243000000.0
4805,2892,19.2,19.8,21.0,19.2,11700,0.0,0.0,0,0,0,230100000.0,18.45,-0.2,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,2,911677000000.0
4804,2892,20.0,20.0,20.0,20.0,1000,0.0,0.0,0,0,0,20000000.0,18.64,0.3,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,5,850691000000.0
4803,2892,20.0,20.0,20.0,20.0,6068,0.0,0.0,0,0,0,121326000.0,18.64,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,6,735226000000.0
4802,2892,20.5,20.5,20.5,20.5,600,0.0,0.0,0,0,0,12300000.0,19.1,0.5,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,7,779549000000.0
4801,2892,20.4,20.0,20.4,20.0,2300,0.0,0.0,0,0,0,46520000.0,18.64,-0.5,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,8,972083000000.0
4800,2892,20.1,20.1,20.1,20.1,400,0.0,0.0,0,0,0,8040000.0,18.73,-0.1,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,9,784155000000.0
4799,2892,20.0,20.2,20.2,20.0,1200,0.0,0.0,0,0,0,24030000.0,18.82,0.1,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,12,637523000000.0
4798,2892,20.0,20.0,20.0,20.0,4003,0.0,0.0,0,0,0,80058800.0,18.64,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,14,763309000000.0
4797,2892,20.0,20.0,20.0,20.0,101,0.0,0.0,0,0,0,2019800.0,18.64,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,15,619574000000.0
4796,2892,20.0,19.7,20.0,19.5,832,0.0,0.0,0,0,0,16383300.0,18.36,-0.3,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,16,897713000000.0
4795,2892,19.9,19.9,20.0,19.9,2815,0.0,0.0,0,0,0,56070000.0,18.54,0.1,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,19,554708000000.0
4794,2892,19.9,19.9,19.9,19.9,201,0.0,0.0,0,0,0,3999000.0,18.54,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,20,557490000000.0
4793,2892,19.9,19.9,19.9,19.9,0,0.0,0.0,0,0,0,0.0,18.54,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,21,817903000000.0
4792,2892,19.8,20.0,21.0,19.0,1300,0.0,0.0,0,0,0,25920000.0,18.64,0.1,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,22,833329000000.0
4791,2892,19.8,20.0,20.0,19.8,2400,0.0,0.0,0,0,0,47660000.0,18.64,0.1,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,23,847219000000.0
4790,2892,20.0,20.0,20.0,20.0,1000,0.0,0.0,0,0,0,20000000.0,18.64,0.1,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,26,860095000000.0
4789,2892,19.8,19.8,19.8,19.8,4026,0.0,0.0,0,0,0,79683400.0,18.45,-0.2,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,27,567850000000.0
4788,2892,19.8,19.8,19.8,19.8,400,0.0,0.0,0,0,0,7920000.0,18.45,0.0,0,Công ty cổ phần Suất ăn hàng không Nội Bài,NCS,UPCOM,2015-12-02,,0.0,Công nghiệp,2023,6,28,659102000000.0
