session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
10846,3515,13.1,13.1,13.1,13.1,200,0.0,0.0,0,0,0,2620000.0,11.85,-0.9,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,11,21,2067600000000.0
10845,3515,12.4,12.2,12.4,12.2,1890,0.0,0.0,0,0,0,23098000.0,11.04,-0.9,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,11,22,1161110000000.0
10844,3515,11.4,12.5,12.5,11.4,7810,0.0,0.0,0,0,0,96525000.0,11.31,0.3,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,11,25,1171050000000.0
10843,3515,11.7,11.7,11.7,11.7,1130,0.0,0.0,0,0,0,13221000.0,10.59,-0.8,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,11,26,1239710000000.0
10842,3515,11.0,10.9,11.0,10.9,870,0.0,0.0,0,0,0,9561000.0,9.86,-0.8,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,11,27,1201550000000.0
10841,3515,10.9,11.6,11.6,10.2,4360,0.0,0.0,0,0,0,48498000.0,10.5,0.7,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,11,28,911991000000.0
10840,3515,12.4,10.8,12.4,10.8,55040,0.0,0.0,0,0,0,682280000.0,9.77,-0.8,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,11,29,1078760000000.0
10839,3515,11.3,11.5,11.5,11.3,33200,0.0,0.0,0,0,0,378794000.0,10.41,0.7,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,12,2,933087000000.0
10838,3515,11.5,10.9,11.5,10.9,50,0.0,0.0,0,0,0,563000.0,9.86,-0.6,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,12,3,1641550000000.0
10837,3515,11.6,11.6,11.6,11.6,1990,0.0,0.0,0,0,0,23084000.0,10.5,0.7,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,12,4,1357130000000.0
10836,3515,12.4,10.9,12.4,10.9,520,0.0,0.0,0,0,0,6418000.0,9.86,-0.7,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,12,5,1298310000000.0
10835,3515,11.6,11.6,11.6,11.6,20,0.0,0.0,0,0,0,232000.0,10.5,0.7,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,12,6,1007690000000.0
10834,3515,12.4,12.4,12.4,12.4,50,0.0,0.0,0,0,0,620000.0,11.22,0.8,0,Công ty Cổ phần Ngô Han,NHW,HOSE,2010-01-26,2015-02-24,0.0,,2013,12,9,1491730000000.0
