session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,3261,121.0,124.7,125.0,120.7,17200,0.0,0.0,0,0,0,2122760000.0,123.32,3.6,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,5,17,596787000000.0
4816,3261,124.8,133.0,133.0,124.8,27859,0.0,0.0,0,0,0,3633200000.0,131.52,9.6,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,5,18,452755000000.0
4815,3261,135.0,142.0,148.6,135.0,28923,0.0,0.0,0,0,0,4072840000.0,140.42,11.6,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,5,19,610612000000.0
4814,3261,141.5,137.7,141.5,137.0,12366,0.0,0.0,0,0,0,1726340000.0,136.17,-3.1,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,5,22,541384000000.0
4813,3261,139.1,135.1,141.0,135.0,24309,0.0,0.0,0,0,0,3346590000.0,133.6,-4.5,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,5,23,589042000000.0
4812,3261,137.7,147.0,147.1,137.7,23700,0.0,0.0,0,0,0,3406900000.0,145.37,9.3,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,5,24,417134000000.0
4811,3261,150.0,165.3,165.3,150.0,27241,0.0,0.0,0,0,0,4488890000.0,163.47,21.5,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,5,25,457573000000.0
4810,3261,189.5,175.0,189.5,170.0,39000,0.0,0.0,0,0,0,7029690000.0,173.06,10.2,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,5,26,867663000000.0
4809,3261,176.0,174.0,176.0,172.0,12664,0.0,0.0,0,0,0,2194120000.0,172.07,-6.2,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,5,29,598726000000.0
4808,3261,174.0,175.0,179.0,173.3,10345,0.0,0.0,0,0,0,1812200000.0,173.06,1.7,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,5,30,797759000000.0
4807,3261,175.2,173.5,176.0,173.5,6661,0.0,0.0,0,0,0,1162890000.0,171.57,-1.7,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,5,31,860345000000.0
4806,3261,173.6,174.8,174.8,172.0,13061,0.0,0.0,0,0,0,2266830000.0,172.86,0.2,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,1,784243000000.0
4805,3261,173.4,170.0,173.4,167.5,18583,0.0,0.0,0,0,0,3163800000.0,168.11,-3.6,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,2,911677000000.0
4804,3261,171.5,168.7,171.5,161.5,8110,0.0,0.0,0,0,0,1363220000.0,166.83,-1.5,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,5,850691000000.0
4803,3261,168.1,171.5,171.5,167.5,8870,0.0,0.0,0,0,0,1500300000.0,169.6,3.4,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,6,735226000000.0
4802,3261,170.1,169.1,170.1,169.0,5107,0.0,0.0,0,0,0,864864000.0,167.22,0.0,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,7,779549000000.0
4801,3261,169.3,166.0,169.3,166.0,5500,0.0,0.0,0,0,0,922670000.0,164.16,-3.3,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,8,972083000000.0
4800,3261,166.0,169.2,173.0,165.0,10904,0.0,0.0,0,0,0,1830380000.0,167.32,1.4,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,9,784155000000.0
4799,3261,170.1,170.1,170.1,168.2,7600,0.0,0.0,0,0,0,1287670000.0,168.21,2.2,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,12,637523000000.0
4798,3261,171.0,171.0,171.0,168.0,9700,0.0,0.0,0,0,0,1640020000.0,169.1,1.1,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,14,763309000000.0
4797,3261,169.3,168.5,169.3,165.8,11502,0.0,0.0,0,0,0,1927080000.0,166.63,-0.6,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,15,619574000000.0
4796,3261,168.2,167.5,170.0,167.5,13061,0.0,0.0,0,0,0,2191920000.0,165.64,0.0,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,16,897713000000.0
4795,3261,168.0,160.0,168.0,160.0,7200,0.0,0.0,0,0,0,1176520000.0,158.22,-7.8,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,19,554708000000.0
4794,3261,160.5,163.7,163.7,160.0,7270,0.0,0.0,0,0,0,1181800000.0,161.88,0.3,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,20,557490000000.0
4793,3261,163.0,164.0,165.9,162.9,13582,0.0,0.0,0,0,0,2221400000.0,162.18,1.4,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,21,817903000000.0
4792,3261,163.0,163.5,164.0,161.0,1818,0.0,0.0,0,0,0,296272000.0,161.69,-0.1,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,22,833329000000.0
4791,3261,163.1,163.6,163.6,162.0,2800,0.0,0.0,0,0,0,455490000.0,161.78,0.6,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,23,847219000000.0
4790,3261,162.2,167.0,167.7,161.0,10515,0.0,0.0,0,0,0,1715790000.0,165.15,4.3,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,26,860095000000.0
4789,3261,165.0,166.0,168.5,165.0,6179,0.0,0.0,0,0,0,1033770000.0,164.16,2.8,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,27,567850000000.0
4788,3261,167.5,166.0,167.5,165.0,4000,0.0,0.0,0,0,0,662390000.0,164.16,-1.3,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,28,659102000000.0
4787,3261,165.6,164.0,165.6,163.5,2815,0.0,0.0,0,0,0,463130000.0,162.18,-1.6,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,29,666695000000.0
4786,3261,166.0,165.0,167.0,165.0,5442,0.0,0.0,0,0,0,905582000.0,163.17,0.5,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,6,30,543269000000.0
4785,3261,166.0,165.0,167.0,165.0,6900,0.0,0.0,0,0,0,1148280000.0,163.17,-1.4,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,3,477651000000.0
4784,3261,166.8,166.2,166.8,165.0,5935,0.0,0.0,0,0,0,980903000.0,164.36,-0.2,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,4,638481000000.0
4783,3261,168.0,165.5,168.0,165.0,10800,0.0,0.0,0,0,0,1789000000.0,163.66,0.2,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,5,701030000000.0
4782,3261,165.6,165.7,166.0,164.0,1402,0.0,0.0,0,0,0,231158000.0,163.86,0.1,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,6,637903000000.0
4781,3261,165.0,164.7,165.0,164.5,2715,0.0,0.0,0,0,0,447175000.0,162.87,-0.2,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,7,729580000000.0
4780,3261,166.6,165.0,166.6,164.7,3011,0.0,0.0,0,0,0,497518000.0,163.17,0.3,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,10,1270370000000.0
4779,3261,165.0,163.4,165.2,163.2,5552,0.0,0.0,0,0,0,910601000.0,161.59,-1.8,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,11,779753000000.0
4778,3261,164.0,163.0,164.0,162.2,8800,0.0,0.0,0,0,0,1439540000.0,161.19,-1.0,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,12,885074000000.0
4777,3261,162.2,165.0,167.0,162.2,16900,0.0,0.0,0,0,0,2771560000.0,163.17,1.4,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,13,793503000000.0
4776,3261,166.7,170.0,172.0,165.9,26177,0.0,0.0,0,0,0,4439640000.0,168.11,6.0,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,14,907996000000.0
4775,3261,169.5,170.0,170.5,169.5,6900,0.0,0.0,0,0,0,1173380000.0,168.11,0.4,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,17,838562000000.0
4774,3261,170.5,168.5,170.5,168.1,5310,0.0,0.0,0,0,0,897213000.0,166.63,-1.6,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,18,673486000000.0
4773,3261,171.0,170.2,171.9,168.7,9700,0.0,0.0,0,0,0,1658230000.0,168.31,1.2,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,19,739111000000.0
4772,3261,170.0,169.6,171.0,168.3,7411,0.0,0.0,0,0,0,1257840000.0,167.72,-1.4,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,20,602157000000.0
4771,3261,170.8,173.5,173.8,170.6,8365,0.0,0.0,0,0,0,1441660000.0,171.57,3.8,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,21,778375000000.0
4770,3261,173.5,174.5,175.0,173.0,7100,0.0,0.0,0,0,0,1234040000.0,172.56,2.2,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,24,1006820000000.0
4769,3261,174.0,175.5,175.5,173.0,10549,0.0,0.0,0,0,0,1831620000.0,173.55,1.7,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,25,912745000000.0
4768,3261,176.0,177.0,177.0,174.0,9904,0.0,0.0,0,0,0,1742440000.0,175.04,3.4,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,26,742424000000.0
4767,3261,175.9,175.3,176.7,175.1,5405,0.0,0.0,0,0,0,948310000.0,173.35,-0.6,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,28,826488000000.0
4766,3261,175.4,172.0,175.4,170.6,20887,0.0,0.0,0,0,0,3625950000.0,170.09,-3.5,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,7,31,1269880000000.0
4765,3261,174.0,174.0,174.5,173.8,4211,0.0,0.0,0,0,0,732504000.0,172.07,-0.4,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,8,3,1013090000000.0
4764,3261,173.1,173.1,174.0,173.1,5405,0.0,0.0,0,0,0,937445000.0,171.18,-0.9,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,8,4,1247860000000.0
4763,3261,173.1,174.9,175.0,173.1,5913,0.0,0.0,0,0,0,1030500000.0,172.96,1.5,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,8,7,1143560000000.0
4762,3261,175.8,174.0,175.8,174.0,4000,0.0,0.0,0,0,0,697400000.0,172.07,-0.3,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,8,8,1123310000000.0
4761,3261,173.5,174.4,175.0,173.5,2501,0.0,0.0,0,0,0,436585000.0,172.46,0.0,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,8,9,1068850000000.0
4760,3261,173.4,173.0,175.0,172.2,5752,0.0,0.0,0,0,0,1000710000.0,171.08,-1.6,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,8,10,1109030000000.0
4759,3261,174.0,173.5,174.4,172.6,4160,0.0,0.0,0,0,0,721292000.0,171.57,-0.5,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,8,11,1164620000000.0
4758,3261,173.0,173.0,173.8,172.7,2028,0.0,0.0,0,0,0,350974000.0,171.08,-0.4,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,8,14,877663000000.0
4757,3261,172.0,173.0,173.5,172.0,1320,0.0,0.0,0,0,0,228120000.0,171.08,-0.1,0,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,NTC,UPCOM,2016-12-19,,0.0,Bất động sản và Xây dựng,2023,8,15,859845000000.0
