session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3444,16.8,16.8,17.1,16.7,70500,0.0,0.0,0,0,0,1190000000.0,7.3,0.0,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3444,16.8,16.7,16.8,16.5,92000,0.0,0.0,0,0,0,1526000000.0,7.25,-0.1,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3444,16.45,16.6,16.65,16.4,99600,0.0,0.0,0,0,0,1644000000.0,7.21,-0.1,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3444,16.45,16.15,16.5,16.15,131200,0.0,0.0,0,0,0,2136000000.0,7.01,-0.45,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3444,16.6,16.7,16.8,16.35,116800,0.0,0.0,0,0,0,1944000000.0,7.25,0.5,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3444,16.5,16.5,16.8,16.5,60700,0.0,0.0,0,0,0,1007000000.0,7.17,-0.2,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3444,16.6,16.75,16.85,16.6,102200,0.0,0.0,0,0,0,1710000000.0,7.27,0.25,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3444,16.85,16.5,16.85,16.4,84900,0.0,0.0,0,0,0,1408000000.0,7.17,-0.3,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3444,16.8,16.7,16.8,16.55,91700,0.0,0.0,0,0,0,1528000000.0,7.25,0.2,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3444,16.6,16.6,16.8,16.6,60400,0.0,0.0,0,0,0,1007000000.0,7.21,-0.1,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
8520,3444,16.6,16.65,16.65,16.45,80600,0.0,0.0,0,0,0,1333000000.0,7.23,0.05,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,23,6539990000000.0
8519,3444,16.7,16.9,17.05,16.7,268400,0.0,0.0,0,0,0,4540000000.0,7.34,0.2,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,24,8145960000000.0
8518,3444,17.0,17.2,17.25,16.9,237800,0.0,0.0,0,0,0,4076000000.0,7.47,0.3,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,27,8430340000000.0
8517,3444,17.7,17.2,17.7,17.2,361100,0.0,0.0,0,0,0,6317000000.0,7.47,0.0,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,28,9714650000000.0
8516,3444,17.25,17.0,17.25,16.9,134300,0.0,0.0,0,0,0,2290000000.0,7.38,-0.2,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,29,7305170000000.0
8515,3444,17.05,17.0,17.4,16.95,238700,0.0,0.0,0,0,0,4099000000.0,7.38,0.0,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,30,9656120000000.0
8514,3444,17.05,17.5,17.5,16.9,311100,0.0,0.0,0,0,0,5360000000.0,7.6,0.5,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,3,31,10498800000000.0
8513,3444,18.0,18.7,18.7,17.9,1895700,0.0,0.0,0,0,0,34988000000.0,8.12,1.2,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,3,12983200000000.0
8512,3444,20.0,19.4,20.0,19.1,1080400,0.0,0.0,0,0,0,21097000000.0,8.42,0.7,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,4,12386800000000.0
8511,3444,19.4,19.9,20.0,19.1,833300,0.0,0.0,0,0,0,16378000000.0,8.64,0.5,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,5,11435900000000.0
8510,3444,19.9,19.3,20.5,19.3,1126100,0.0,0.0,0,0,0,22353000000.0,8.38,-0.6,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,6,14836000000000.0
8509,3444,19.5,19.9,20.15,19.2,899700,0.0,0.0,0,0,0,17697000000.0,8.64,0.6,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,7,9555430000000.0
8508,3444,20.4,20.8,21.25,20.35,1634200,0.0,0.0,0,0,0,34243000000.0,9.03,0.9,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,10,13080300000000.0
8507,3444,20.9,21.05,21.3,20.15,1148600,0.0,0.0,0,0,0,23742000000.0,9.14,0.25,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,11,10352300000000.0
8506,3444,21.15,20.85,21.35,20.75,955700,0.0,0.0,0,0,0,20150000000.0,9.05,-0.25,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,12,11237900000000.0
8505,3444,20.9,20.2,21.0,20.2,1201800,0.0,0.0,0,0,0,24655000000.0,8.77,-0.7,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,13,10048100000000.0
8504,3444,20.2,18.8,20.3,18.8,1966400,0.0,0.0,0,0,0,38398000000.0,8.16,-1.4,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,14,11983800000000.0
8503,3444,19.0,19.1,19.3,18.9,582900,0.0,0.0,0,0,0,11130000000.0,8.29,0.3,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,17,6714600000000.0
8502,3444,19.35,19.55,19.75,19.0,645800,0.0,0.0,0,0,0,12416000000.0,8.49,0.45,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,18,8462260000000.0
8501,3444,19.6,18.95,19.7,18.95,730100,0.0,0.0,0,0,0,14063000000.0,8.23,-0.65,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,19,8609420000000.0
8500,3444,19.2,20.25,20.25,18.95,1241700,0.0,0.0,0,0,0,24721000000.0,8.79,1.25,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,20,5636530000000.0
8499,3444,20.5,20.0,20.95,19.8,595000,0.0,0.0,0,0,0,12105000000.0,8.69,-0.3,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,21,8838180000000.0
8498,3444,20.25,20.4,20.8,19.7,801100,0.0,0.0,0,0,0,16195000000.0,8.86,0.4,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,24,7199740000000.0
8497,3444,20.6,20.5,21.3,20.35,1493600,0.0,0.0,0,0,0,31095000000.0,8.9,0.1,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,25,8456240000000.0
8496,3444,20.4,20.95,20.95,20.3,580600,0.0,0.0,0,0,0,11958000000.0,9.1,0.45,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,26,7520090000000.0
8495,3444,21.2,22.4,22.4,21.05,1123700,0.0,0.0,0,0,0,24877000000.0,9.73,1.45,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,27,7600150000000.0
8494,3444,22.75,22.7,23.35,22.6,1117300,0.0,0.0,0,0,0,25604000000.0,9.86,0.3,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,4,28,9308330000000.0
8493,3444,22.5,23.25,23.5,22.2,1250700,0.0,0.0,0,0,0,28830000000.0,10.1,0.55,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,4,9259100000000.0
8492,3444,22.9,23.05,23.3,22.3,893600,0.0,0.0,0,0,0,20343000000.0,10.01,-0.2,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,5,6891880000000.0
8491,3444,23.1,22.8,23.3,22.7,910700,0.0,0.0,0,0,0,20931000000.0,9.9,-0.25,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,8,9352890000000.0
8490,3444,22.85,22.65,23.2,22.6,530400,0.0,0.0,0,0,0,12080000000.0,9.84,-0.15,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,9,8040740000000.0
8489,3444,22.65,22.7,23.35,22.65,1010500,0.0,0.0,0,0,0,23216000000.0,9.86,0.0,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,10,9830030000000.0
8488,3444,23.0,23.8,24.0,22.7,1582100,0.0,0.0,0,0,0,37233000000.0,10.34,1.1,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,11,10795100000000.0
8487,3444,23.8,23.8,23.9,23.3,949900,0.0,0.0,0,0,0,22332000000.0,10.34,0.0,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,12,11117600000000.0
8486,3444,23.85,23.1,23.85,23.1,1001200,0.0,0.0,0,0,0,23328000000.0,10.03,-0.7,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,15,12607000000000.0
8485,3444,22.95,22.75,23.25,22.7,516200,0.0,0.0,0,0,0,11846000000.0,9.88,-0.35,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,16,9638180000000.0
8484,3444,22.95,22.0,23.2,22.0,1037800,0.0,0.0,0,0,0,23318000000.0,9.55,-0.75,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,17,11644500000000.0
8483,3444,22.1,22.2,22.8,21.85,691600,0.0,0.0,0,0,0,15424000000.0,9.64,0.2,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,18,10252200000000.0
8482,3444,22.4,22.3,22.7,22.1,404300,0.0,0.0,0,0,0,9042000000.0,9.68,0.1,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,19,10585100000000.0
8481,3444,22.3,22.9,23.15,22.3,676000,0.0,0.0,0,0,0,15381000000.0,9.94,0.6,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,22,11015600000000.0
8480,3444,23.2,22.8,23.25,22.6,652100,0.0,0.0,0,0,0,14931000000.0,9.9,-0.1,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,23,11892800000000.0
8479,3444,22.9,23.0,23.8,22.9,1531700,0.0,0.0,0,0,0,35818000000.0,9.99,0.2,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,24,11401200000000.0
8478,3444,23.0,23.05,23.25,22.8,568900,0.0,0.0,0,0,0,13084000000.0,10.01,0.05,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,25,10567700000000.0
8477,3444,23.25,23.4,23.55,22.9,722000,0.0,0.0,0,0,0,16715000000.0,10.16,0.35,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,26,9431780000000.0
8476,3444,23.7,23.7,23.8,23.35,861800,0.0,0.0,0,0,0,20290000000.0,10.29,0.3,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,29,11644700000000.0
8475,3444,23.95,23.65,24.25,23.4,937600,0.0,0.0,0,0,0,22219000000.0,10.27,-0.05,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,30,13600100000000.0
8474,3444,23.75,23.45,23.75,23.3,774100,0.0,0.0,0,0,0,18170000000.0,10.18,-0.2,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,5,31,14101800000000.0
8473,3444,23.35,23.45,23.6,23.35,937500,0.0,0.0,0,0,0,21982000000.0,10.18,0.0,0,Công ty Cổ phần Phát triển đô thị Từ Liêm,NTL,HOSE,2007-12-21,,0.0,Bất động sản và Xây dựng,2023,6,1,12900900000000.0
