session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3744,11.15,10.95,11.2,10.85,7485000,0.0,0.0,0,0,0,82252000000.0,10.95,-0.15,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3744,10.8,10.65,10.9,10.6,7732800,0.0,0.0,0,0,0,82996000000.0,10.65,-0.35,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3744,10.65,11.0,11.2,10.6,14769100,0.0,0.0,0,0,0,162200000000.0,11.0,0.3,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3744,11.0,10.7,11.15,10.65,10233600,0.0,0.0,0,0,0,111163000000.0,10.7,-0.3,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3744,11.0,11.35,11.35,10.9,15165000,0.0,0.0,0,0,0,169286000000.0,11.35,0.65,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3744,11.1,11.15,11.35,11.05,9368400,0.0,0.0,0,0,0,104884000000.0,11.15,-0.25,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3744,11.35,11.5,11.5,11.15,18243000,0.0,0.0,0,0,0,208152000000.0,11.5,0.3,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3744,11.45,11.1,11.5,11.05,9860500,0.0,0.0,0,0,0,110881000000.0,11.1,-0.4,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3744,11.25,11.05,11.25,10.9,7857600,0.0,0.0,0,0,0,86634000000.0,11.05,-0.05,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3744,11.25,11.1,11.25,11.05,5710100,0.0,0.0,0,0,0,63484000000.0,11.1,0.0,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
8520,3744,11.0,11.15,11.15,10.9,3531400,0.0,0.0,0,0,0,39057000000.0,11.15,0.05,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,23,6539990000000.0
8519,3744,11.2,11.9,11.9,11.1,30508100,0.0,0.0,0,0,0,357272000000.0,11.9,0.7,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,24,8145960000000.0
8518,3744,12.3,12.7,12.7,12.1,24335800,0.0,0.0,0,0,0,304638000000.0,12.7,0.8,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,27,8430340000000.0
8517,3744,12.95,12.6,13.3,12.6,30738800,0.0,0.0,0,0,0,396951000000.0,12.6,-0.1,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,28,9714650000000.0
8516,3744,12.45,12.55,12.75,12.4,10741200,0.0,0.0,0,0,0,134486000000.0,12.55,-0.05,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,29,7305170000000.0
8515,3744,12.75,12.8,13.15,12.6,21984600,0.0,0.0,0,0,0,283234000000.0,12.8,0.2,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,30,9656120000000.0
8514,3744,12.95,12.7,12.95,12.65,9310800,0.0,0.0,0,0,0,118840000000.0,12.7,-0.1,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,3,31,10498800000000.0
8513,3744,12.9,12.85,13.25,12.7,32850500,0.0,0.0,0,0,0,425096000000.0,12.85,0.15,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,4,3,12983200000000.0
8512,3744,12.9,12.75,12.9,12.65,16611600,0.0,0.0,0,0,0,212131000000.0,12.75,-0.15,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,4,4,12386800000000.0
8511,3744,12.8,12.85,13.3,12.75,30626500,0.0,0.0,0,0,0,398415000000.0,12.85,0.05,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,4,5,11435900000000.0
8510,3744,13.25,13.25,13.7,13.05,47112800,0.0,0.0,0,0,0,632400000000.0,13.25,0.35,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,4,6,14836000000000.0
8509,3744,13.4,13.4,13.5,13.1,18838000,0.0,0.0,0,0,0,250908000000.0,13.4,0.1,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,4,7,9555430000000.0
8508,3744,13.65,13.3,13.9,13.25,23841600,0.0,0.0,0,0,0,322909000000.0,13.3,-0.1,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,4,10,13080300000000.0
8507,3744,13.15,14.2,14.2,12.65,63469800,0.0,0.0,0,0,0,848724000000.0,14.2,0.9,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,4,11,10352300000000.0
8506,3744,14.8,15.05,15.15,14.5,51451000,0.0,0.0,0,0,0,771033000000.0,15.05,0.85,0,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE,2016-12-28,,0.0,Bất động sản và Xây dựng,2023,4,12,11237900000000.0
