session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3455,16.1,16.45,16.55,15.95,616700,0.0,0.0,0,0,0,9995000000.0,10.97,0.35,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,9,9605920000000.0
8529,3455,16.4,16.2,16.45,16.15,261200,0.0,0.0,0,0,0,4253000000.0,10.8,-0.3,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,10,7802560000000.0
8528,3455,16.0,15.9,16.1,15.9,361200,0.0,0.0,0,0,0,5768000000.0,10.6,-0.3,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,13,8852640000000.0
8527,3455,15.9,15.5,15.9,15.5,487200,0.0,0.0,0,0,0,7616000000.0,10.33,-0.4,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,14,9157830000000.0
8526,3455,15.8,16.0,16.0,15.7,431500,0.0,0.0,0,0,0,6838000000.0,10.67,0.5,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,15,9044830000000.0
8525,3455,15.55,15.65,15.75,15.5,393900,0.0,0.0,0,0,0,6146000000.0,10.43,-0.35,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,16,7993400000000.0
8524,3455,15.75,15.6,15.8,15.55,134400,0.0,0.0,0,0,0,2101000000.0,10.4,-0.1,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,17,9056930000000.0
8523,3455,15.6,15.35,15.6,15.35,404600,0.0,0.0,0,0,0,6250000000.0,10.23,-0.25,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,20,8000550000000.0
8522,3455,15.55,15.4,15.55,15.25,242300,0.0,0.0,0,0,0,3729000000.0,10.27,0.0,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,21,6678120000000.0
8521,3455,15.45,15.4,15.55,15.4,80600,0.0,0.0,0,0,0,1246000000.0,10.27,0.0,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,22,7063540000000.0
8520,3455,15.35,15.6,15.65,15.25,138400,0.0,0.0,0,0,0,2139000000.0,10.4,0.2,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,23,6539990000000.0
8519,3455,15.6,15.8,15.9,15.6,332700,0.0,0.0,0,0,0,5258000000.0,10.53,0.2,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,24,8145960000000.0
8518,3455,15.8,15.75,15.9,15.7,210500,0.0,0.0,0,0,0,3327000000.0,10.5,-0.05,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,27,8430340000000.0
8517,3455,15.9,15.8,15.9,15.75,254800,0.0,0.0,0,0,0,4031000000.0,10.53,0.0,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,28,9714650000000.0
8516,3455,15.9,16.25,16.3,15.8,709700,0.0,0.0,0,0,0,11404000000.0,10.83,0.45,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,29,7305170000000.0
8515,3455,16.3,16.2,16.5,16.2,321700,0.0,0.0,0,0,0,5241000000.0,10.8,-0.1,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,30,9656120000000.0
8514,3455,16.3,16.6,16.75,16.2,817200,0.0,0.0,0,0,0,13462000000.0,11.07,0.4,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,3,31,10498800000000.0
8513,3455,16.7,16.8,16.85,16.6,756800,0.0,0.0,0,0,0,12647000000.0,11.2,0.2,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,3,12983200000000.0
8512,3455,16.8,16.75,16.85,16.5,452500,0.0,0.0,0,0,0,7515000000.0,11.17,-0.05,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,4,12386800000000.0
8511,3455,16.65,16.75,16.85,16.6,533400,0.0,0.0,0,0,0,8912000000.0,11.17,-0.05,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,5,11435900000000.0
8510,3455,16.75,16.4,16.8,16.4,520100,0.0,0.0,0,0,0,8649000000.0,10.93,-0.4,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,6,14836000000000.0
8509,3455,16.55,16.9,17.0,16.55,972000,0.0,0.0,0,0,0,16398000000.0,11.27,0.5,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,7,9555430000000.0
8508,3455,17.2,16.9,17.3,16.85,1009600,0.0,0.0,0,0,0,17234000000.0,11.27,0.0,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,10,13080300000000.0
8507,3455,17.0,16.9,17.0,16.55,717000,0.0,0.0,0,0,0,11944000000.0,11.27,0.0,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,11,10352300000000.0
8506,3455,16.8,16.6,17.0,16.6,562700,0.0,0.0,0,0,0,9412000000.0,11.07,-0.3,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,12,11237900000000.0
8505,3455,16.7,16.6,16.7,16.5,597600,0.0,0.0,0,0,0,9913000000.0,11.07,0.0,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,13,10048100000000.0
8504,3455,16.6,16.5,16.75,16.5,1071200,0.0,0.0,0,0,0,17784000000.0,11.0,-0.1,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,14,11983800000000.0
8503,3455,16.4,16.4,16.5,16.35,473400,0.0,0.0,0,0,0,7780000000.0,10.93,-0.1,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,17,6714600000000.0
8502,3455,16.4,16.45,16.7,16.4,317100,0.0,0.0,0,0,0,5227000000.0,10.97,0.05,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,18,8462260000000.0
8501,3455,16.4,16.2,16.5,16.2,509400,0.0,0.0,0,0,0,8308000000.0,10.8,-0.3,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,19,8609420000000.0
8500,3455,16.2,16.4,16.4,16.15,365100,0.0,0.0,0,0,0,5920000000.0,10.93,0.2,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,20,5636530000000.0
8499,3455,16.4,16.3,16.4,16.15,277500,0.0,0.0,0,0,0,4515000000.0,10.87,-0.1,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,21,8838180000000.0
8498,3455,16.1,16.25,16.3,16.1,361300,0.0,0.0,0,0,0,5845000000.0,10.83,-0.05,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,24,7199740000000.0
8497,3455,16.25,16.15,16.45,16.05,451400,0.0,0.0,0,0,0,7333000000.0,10.77,-0.15,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,25,8456240000000.0
8496,3455,16.15,16.0,16.15,15.85,554500,0.0,0.0,0,0,0,8846000000.0,10.67,-0.2,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,26,7520090000000.0
8495,3455,16.05,16.05,16.2,16.0,412900,0.0,0.0,0,0,0,6657000000.0,10.7,0.05,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,27,7600150000000.0
8494,3455,16.25,15.65,16.25,15.65,1523300,0.0,0.0,0,0,0,24094000000.0,10.43,-0.4,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,4,28,9308330000000.0
8493,3455,15.7,15.75,16.1,15.65,800400,0.0,0.0,0,0,0,12725000000.0,10.5,0.1,0,Ngân hàng Thương mại Cổ phần Phương Đông,OCB,HOSE,2021-01-28,,0.0,Tài chính,2023,5,4,9259100000000.0
