session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,3249,41.8,42.6,43.0,39.6,48900,0.0,0.0,0,0,0,2053140000.0,42.6,0.6,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,5,17,596787000000.0
4816,3249,42.0,41.9,42.7,41.9,48500,0.0,0.0,0,0,0,2048010000.0,41.9,-0.1,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,5,18,452755000000.0
4815,3249,42.2,43.1,43.6,42.1,53200,0.0,0.0,0,0,0,2277520000.0,43.1,0.9,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,5,19,610612000000.0
4814,3249,42.8,43.6,43.8,42.3,45000,0.0,0.0,0,0,0,1950990000.0,43.6,0.8,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,5,22,541384000000.0
4813,3249,43.0,43.8,44.3,42.8,47900,0.0,0.0,0,0,0,2090400000.0,43.8,0.4,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,5,23,589042000000.0
4812,3249,43.6,44.0,44.1,42.8,44310,0.0,0.0,0,0,0,1942040000.0,44.0,0.4,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,5,24,417134000000.0
4811,3249,44.0,43.7,44.0,43.1,43000,0.0,0.0,0,0,0,1883610000.0,43.7,-0.1,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,5,25,457573000000.0
4810,3249,43.8,44.8,44.8,43.7,46700,0.0,0.0,0,0,0,2071360000.0,44.8,1.0,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,5,26,867663000000.0
4809,3249,44.4,45.0,45.1,44.0,46200,0.0,0.0,0,0,0,2070920000.0,45.0,0.6,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,5,29,598726000000.0
4808,3249,44.8,44.3,44.9,44.0,44800,0.0,0.0,0,0,0,1993340000.0,44.3,-0.5,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,5,30,797759000000.0
4807,3249,44.5,43.9,44.7,43.9,41400,0.0,0.0,0,0,0,1836190000.0,43.9,-0.6,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,5,31,860345000000.0
4806,3249,43.7,44.0,44.0,43.0,46600,0.0,0.0,0,0,0,2036350000.0,44.0,-0.4,0,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,ODE,UPCOM,2022-01-10,,0.0,Dịch vụ,2023,6,1,784243000000.0
