session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3601,31.0,31.0,31.0,31.0,100,0.0,0.0,0,0,0,3000000.0,29.72,1.9,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,9,9605920000000.0
8529,3601,31.0,31.0,31.0,31.0,0,0.0,0.0,0,0,0,0.0,29.72,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,10,7802560000000.0
8528,3601,31.0,28.95,31.0,28.95,4600,0.0,0.0,0,0,0,134000000.0,27.76,-2.05,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,13,8852640000000.0
8527,3601,29.65,30.55,30.55,29.65,600,0.0,0.0,0,0,0,18000000.0,29.29,1.55,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,14,9157830000000.0
8526,3601,30.55,30.55,30.55,30.55,0,0.0,0.0,0,0,0,0.0,29.29,-0.05,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,15,9044830000000.0
8525,3601,30.0,30.95,30.95,30.0,4400,0.0,0.0,0,0,0,135000000.0,29.67,0.35,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,16,7993400000000.0
8524,3601,30.15,30.15,30.15,30.15,100,0.0,0.0,0,0,0,3000000.0,28.91,-0.85,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,17,9056930000000.0
8523,3601,30.6,30.6,30.6,30.6,100,0.0,0.0,0,0,0,3000000.0,29.34,0.4,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,20,8000550000000.0
8522,3601,30.6,30.6,30.6,30.6,0,0.0,0.0,0,0,0,0.0,29.34,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,21,6678120000000.0
8521,3601,31.8,31.8,31.8,31.8,100,0.0,0.0,0,0,0,3000000.0,30.49,1.2,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,22,7063540000000.0
8520,3601,30.5,31.0,31.5,29.7,1800,0.0,0.0,0,0,0,53000000.0,29.72,-0.8,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,23,6539990000000.0
8519,3601,30.9,30.8,30.9,29.5,3800,0.0,0.0,0,0,0,115000000.0,29.53,-0.2,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,24,8145960000000.0
8518,3601,29.6,30.95,31.75,29.5,4500,0.0,0.0,0,0,0,135000000.0,29.67,0.15,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,27,8430340000000.0
8517,3601,30.95,30.5,30.95,30.0,3900,0.0,0.0,0,0,0,117000000.0,29.24,-0.5,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,28,9714650000000.0
8516,3601,30.4,30.4,30.4,30.4,100,0.0,0.0,0,0,0,3000000.0,29.15,-0.1,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,29,7305170000000.0
8515,3601,30.4,29.8,31.0,29.8,5400,0.0,0.0,0,0,0,163000000.0,28.57,-0.6,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,30,9656120000000.0
8514,3601,28.8,31.4,31.4,28.8,5700,0.0,0.0,0,0,0,178000000.0,30.1,1.6,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,3,31,10498800000000.0
8513,3601,31.0,32.1,32.1,31.0,21800,0.0,0.0,0,0,0,693000000.0,30.78,0.7,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,3,12983200000000.0
8512,3601,30.4,30.4,30.4,30.4,200,0.0,0.0,0,0,0,6000000.0,29.15,-1.7,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,4,12386800000000.0
8511,3601,30.4,30.4,30.4,30.4,100,0.0,0.0,0,0,0,3000000.0,29.15,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,5,11435900000000.0
8510,3601,30.5,30.5,30.5,30.5,2000,0.0,0.0,0,0,0,61000000.0,29.24,0.1,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,6,14836000000000.0
8509,3601,30.5,30.5,30.5,30.5,0,0.0,0.0,0,0,0,0.0,29.24,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,7,9555430000000.0
8508,3601,31.0,30.9,31.0,30.0,6700,0.0,0.0,0,0,0,203000000.0,29.62,0.4,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,10,13080300000000.0
8507,3601,30.3,30.3,30.3,30.3,100,0.0,0.0,0,0,0,3000000.0,29.05,-0.6,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,11,10352300000000.0
8506,3601,30.3,30.3,30.3,30.3,0,0.0,0.0,0,0,0,0.0,29.05,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,12,11237900000000.0
8505,3601,30.3,30.3,30.3,30.3,0,0.0,0.0,0,0,0,0.0,29.05,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,13,10048100000000.0
8504,3601,30.3,30.3,30.3,30.3,200,0.0,0.0,0,0,0,6000000.0,29.05,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,14,11983800000000.0
8503,3601,30.3,30.9,30.9,30.3,600,0.0,0.0,0,0,0,18000000.0,29.62,0.6,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,17,6714600000000.0
8502,3601,30.4,30.4,30.4,30.4,100,0.0,0.0,0,0,0,3000000.0,29.15,-0.5,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,18,8462260000000.0
8501,3601,30.15,30.8,30.8,29.1,500,0.0,0.0,0,0,0,14000000.0,29.53,0.4,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,19,8609420000000.0
8500,3601,30.8,30.8,30.8,30.8,0,0.0,0.0,0,0,0,0.0,29.53,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,20,5636530000000.0
8499,3601,30.2,30.2,30.2,30.2,200,0.0,0.0,0,0,0,6000000.0,28.95,-0.6,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,21,8838180000000.0
8498,3601,30.2,30.2,30.2,30.2,0,0.0,0.0,0,0,0,0.0,28.95,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,24,7199740000000.0
8497,3601,30.0,30.0,30.5,30.0,2500,0.0,0.0,0,0,0,75000000.0,28.76,-0.2,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,25,8456240000000.0
8496,3601,31.0,30.8,31.0,30.8,2100,0.0,0.0,0,0,0,64000000.0,29.53,0.8,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,26,7520090000000.0
8495,3601,30.0,30.0,30.0,30.0,1100,0.0,0.0,0,0,0,33000000.0,28.76,-0.8,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,27,7600150000000.0
8494,3601,30.8,30.8,30.8,30.8,100,0.0,0.0,0,0,0,3000000.0,29.53,0.8,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,4,28,9308330000000.0
8493,3601,30.8,30.8,30.8,30.8,0,0.0,0.0,0,0,0,0.0,29.53,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,4,9259100000000.0
8492,3601,30.8,30.8,30.8,30.8,0,0.0,0.0,0,0,0,0.0,29.53,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,5,6891880000000.0
8491,3601,30.0,30.8,30.8,30.0,1000,0.0,0.0,0,0,0,30000000.0,29.53,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,8,9352890000000.0
8490,3601,29.7,29.5,29.7,29.5,1800,0.0,0.0,0,0,0,53000000.0,28.28,-1.3,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,9,8040740000000.0
8489,3601,29.5,29.5,29.5,29.5,100,0.0,0.0,0,0,0,2000000.0,28.28,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,10,9830030000000.0
8488,3601,31.2,29.5,31.2,29.5,1900,0.0,0.0,0,0,0,56000000.0,28.28,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,11,10795100000000.0
8487,3601,29.3,29.3,29.3,29.2,3000,0.0,0.0,0,0,0,87000000.0,28.09,-0.2,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,12,11117600000000.0
8486,3601,29.15,31.0,31.0,29.15,14700,0.0,0.0,0,0,0,438000000.0,29.72,1.7,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,15,12607000000000.0
8485,3601,29.5,29.8,29.8,29.5,9600,0.0,0.0,0,0,0,283000000.0,28.57,-1.2,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,16,9638180000000.0
8484,3601,29.3,30.8,30.8,29.3,7200,0.0,0.0,0,0,0,211000000.0,29.53,1.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,17,11644500000000.0
8483,3601,29.5,29.5,29.5,29.5,3600,0.0,0.0,0,0,0,106000000.0,28.28,-1.3,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,18,10252200000000.0
8482,3601,30.0,29.5,30.0,29.5,2500,0.0,0.0,0,0,0,74000000.0,28.28,0.0,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,19,10585100000000.0
8481,3601,30.0,30.0,30.0,30.0,100,0.0,0.0,0,0,0,3000000.0,28.76,0.5,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,22,11015600000000.0
8480,3601,29.4,29.5,29.5,29.4,4900,0.0,0.0,0,0,0,144000000.0,28.28,-0.5,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,23,11892800000000.0
8479,3601,29.95,31.0,31.0,29.5,25900,0.0,0.0,0,0,0,779000000.0,29.72,1.5,0,Công ty Cổ phần Pin Ắc quy miền Nam,PAC,HOSE,2006-12-12,,0.0,Công nghiệp,2023,5,24,11401200000000.0
