session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3812,28.25,27.7,28.7,27.7,1629400,0.0,0.0,0,0,0,45828000000.0,24.09,-0.5,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3812,27.55,27.95,28.2,27.3,1545000,0.0,0.0,0,0,0,43034000000.0,24.31,0.25,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3812,27.5,27.45,28.05,27.0,1699000,0.0,0.0,0,0,0,46705000000.0,23.87,-0.55,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3812,27.45,27.2,27.65,27.0,2115700,0.0,0.0,0,0,0,57645000000.0,23.65,-0.3,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3812,27.7,28.2,28.2,27.6,1479600,0.0,0.0,0,0,0,41418000000.0,24.52,1.0,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3812,27.75,27.8,28.1,27.55,1417500,0.0,0.0,0,0,0,39369000000.0,24.17,-0.4,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3812,28.2,27.7,28.2,27.6,662600,0.0,0.0,0,0,0,18401000000.0,24.09,-0.1,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3812,27.55,27.2,28.1,27.2,1161500,0.0,0.0,0,0,0,31968000000.0,23.65,-0.5,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3812,27.4,27.5,27.5,26.5,1656900,0.0,0.0,0,0,0,44746000000.0,23.91,0.3,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3812,27.65,27.25,27.65,27.0,950200,0.0,0.0,0,0,0,26026000000.0,23.7,-0.25,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
8520,3812,26.95,27.5,27.5,26.9,705200,0.0,0.0,0,0,0,19295000000.0,23.91,0.2,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,23,6539990000000.0
8519,3812,28.0,27.5,28.0,27.45,810300,0.0,0.0,0,0,0,22447000000.0,23.91,0.0,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,24,8145960000000.0
8518,3812,27.75,27.6,27.75,27.4,839400,0.0,0.0,0,0,0,23125000000.0,24.0,0.1,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,27,8430340000000.0
8517,3812,27.75,28.3,28.5,27.65,3124400,0.0,0.0,0,0,0,88467000000.0,24.61,0.7,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,28,9714650000000.0
8516,3812,28.4,28.7,29.1,28.05,1436800,0.0,0.0,0,0,0,41209000000.0,24.96,0.4,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,29,7305170000000.0
8515,3812,28.95,28.35,29.0,28.25,1370800,0.0,0.0,0,0,0,39175000000.0,24.65,-0.35,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,30,9656120000000.0
8514,3812,28.45,28.1,28.6,28.0,1589500,0.0,0.0,0,0,0,44966000000.0,24.44,-0.3,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,3,31,10498800000000.0
8513,3812,28.3,29.4,29.4,28.1,2763700,0.0,0.0,0,0,0,79699000000.0,25.57,1.3,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,3,12983200000000.0
8512,3812,29.8,29.7,29.8,29.25,1556600,0.0,0.0,0,0,0,45956000000.0,25.83,0.3,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,4,12386800000000.0
8511,3812,29.8,29.45,29.8,29.05,1490500,0.0,0.0,0,0,0,43809000000.0,25.61,-0.25,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,5,11435900000000.0
8510,3812,29.45,28.6,29.9,28.6,2286900,0.0,0.0,0,0,0,66729000000.0,24.87,-0.9,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,6,14836000000000.0
8509,3812,28.8,28.5,28.8,28.3,1149400,0.0,0.0,0,0,0,32862000000.0,24.78,-0.1,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,7,9555430000000.0
8508,3812,28.6,28.5,28.65,28.2,1965200,0.0,0.0,0,0,0,55760000000.0,24.78,0.0,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,10,13080300000000.0
8507,3812,28.5,29.0,29.0,28.35,1058900,0.0,0.0,0,0,0,30440000000.0,25.22,0.5,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,11,10352300000000.0
8506,3812,29.2,29.5,29.8,28.9,2062400,0.0,0.0,0,0,0,60475000000.0,25.65,0.5,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,12,11237900000000.0
8505,3812,29.3,28.7,29.5,28.7,894800,0.0,0.0,0,0,0,25959000000.0,24.96,-0.8,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,13,10048100000000.0
8504,3812,28.75,27.75,29.0,27.75,1685000,0.0,0.0,0,0,0,47820000000.0,24.13,-0.95,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,14,11983800000000.0
8503,3812,27.8,28.1,28.1,27.8,781400,0.0,0.0,0,0,0,21885000000.0,24.44,0.3,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,17,6714600000000.0
8502,3812,28.35,28.1,28.35,28.0,626900,0.0,0.0,0,0,0,17664000000.0,24.44,0.0,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,18,8462260000000.0
8501,3812,28.25,28.0,28.75,28.0,719700,0.0,0.0,0,0,0,20410000000.0,24.35,-0.1,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,19,8609420000000.0
8500,3812,28.0,28.15,28.25,27.95,469900,0.0,0.0,0,0,0,13204000000.0,24.48,0.15,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,20,5636530000000.0
8499,3812,28.2,27.7,28.35,27.55,891600,0.0,0.0,0,0,0,24906000000.0,24.09,-0.5,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,21,8838180000000.0
8498,3812,27.65,28.35,28.45,27.6,700400,0.0,0.0,0,0,0,19642000000.0,24.65,0.65,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,24,7199740000000.0
8497,3812,28.6,27.95,28.6,27.8,571300,0.0,0.0,0,0,0,16086000000.0,24.31,-0.45,0,Công ty Cổ phần Tập đoàn PC1,PC1,HOSE,2016-11-16,,0.0,Bất động sản và Xây dựng,2023,4,25,8456240000000.0
