session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3598,15.8,15.8,15.8,15.8,1000,0.0,0.0,0,0,0,15000000.0,14.4,-0.2,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,9,9605920000000.0
8529,3598,15.7,15.8,15.8,15.7,800,0.0,0.0,0,0,0,12000000.0,14.4,0.0,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,10,7802560000000.0
8528,3598,16.15,15.8,16.15,15.8,5300,0.0,0.0,0,0,0,83000000.0,14.4,0.0,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,13,8852640000000.0
8527,3598,15.8,16.1,16.1,15.8,400,0.0,0.0,0,0,0,6000000.0,14.68,0.3,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,14,9157830000000.0
8526,3598,15.8,16.0,16.0,15.8,4400,0.0,0.0,0,0,0,69000000.0,14.59,-0.1,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,15,9044830000000.0
8525,3598,15.7,15.7,16.0,15.65,2900,0.0,0.0,0,0,0,45000000.0,14.31,-0.3,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,16,7993400000000.0
8524,3598,15.05,15.9,16.05,15.05,3800,0.0,0.0,0,0,0,57000000.0,14.49,0.2,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,17,9056930000000.0
8523,3598,15.6,16.0,16.0,15.6,6700,0.0,0.0,0,0,0,106000000.0,14.59,0.1,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,20,8000550000000.0
8522,3598,15.7,15.95,15.95,15.7,1900,0.0,0.0,0,0,0,30000000.0,14.54,-0.05,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,21,6678120000000.0
8521,3598,15.85,15.8,15.85,15.8,1300,0.0,0.0,0,0,0,20000000.0,14.4,-0.2,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,22,7063540000000.0
8520,3598,15.8,15.7,15.8,15.7,800,0.0,0.0,0,0,0,12000000.0,14.31,-0.1,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,23,6539990000000.0
8519,3598,15.75,15.75,15.75,15.7,2200,0.0,0.0,0,0,0,34000000.0,14.36,0.05,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,24,8145960000000.0
8518,3598,15.7,15.7,16.0,15.7,13700,0.0,0.0,0,0,0,215000000.0,14.31,-0.1,0,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE,2006-11-24,,0.0,Năng lượng,2023,3,27,8430340000000.0
