session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3716,18.55,18.85,18.85,18.55,5700,0.0,0.0,0,0,0,106000000.0,17.25,-0.05,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,9,9605920000000.0
8529,3716,18.55,18.85,18.85,18.55,400,0.0,0.0,0,0,0,7000000.0,17.25,-0.05,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,10,7802560000000.0
8528,3716,18.45,18.85,18.85,18.45,1100,0.0,0.0,0,0,0,20000000.0,17.25,-0.05,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,13,8852640000000.0
8527,3716,18.8,18.4,18.85,18.4,6300,0.0,0.0,0,0,0,117000000.0,16.84,-0.5,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,14,9157830000000.0
8526,3716,18.9,18.5,18.9,18.35,67800,0.0,0.0,0,0,0,1247000000.0,16.93,0.1,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,15,9044830000000.0
8525,3716,18.3,18.35,18.4,18.3,2700,0.0,0.0,0,0,0,49000000.0,16.79,-0.15,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,16,7993400000000.0
8524,3716,18.3,18.45,18.55,18.3,3800,0.0,0.0,0,0,0,69000000.0,16.88,0.05,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,17,9056930000000.0
8523,3716,18.45,18.35,18.45,18.35,1100,0.0,0.0,0,0,0,20000000.0,16.79,-0.15,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,20,8000550000000.0
8522,3716,18.4,18.35,18.4,18.3,2700,0.0,0.0,0,0,0,49000000.0,16.79,-0.05,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,21,6678120000000.0
8521,3716,18.4,18.45,18.45,18.35,7700,0.0,0.0,0,0,0,141000000.0,16.88,0.05,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,22,7063540000000.0
8520,3716,18.4,18.4,18.4,18.25,13300,0.0,0.0,0,0,0,243000000.0,16.84,-0.1,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,23,6539990000000.0
8519,3716,18.4,18.4,18.45,18.3,4100,0.0,0.0,0,0,0,75000000.0,16.84,0.0,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,24,8145960000000.0
8518,3716,18.4,18.4,18.4,18.3,7100,0.0,0.0,0,0,0,130000000.0,16.84,0.0,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,27,8430340000000.0
8517,3716,18.55,18.35,18.55,18.2,24000,0.0,0.0,0,0,0,441000000.0,16.79,-0.05,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,28,9714650000000.0
8516,3716,18.7,18.55,18.7,18.55,2300,0.0,0.0,0,0,0,42000000.0,16.97,0.15,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,29,7305170000000.0
8515,3716,18.8,18.8,18.9,18.8,15500,0.0,0.0,0,0,0,291000000.0,17.2,0.2,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,30,9656120000000.0
8514,3716,18.5,18.85,18.85,18.45,15600,0.0,0.0,0,0,0,287000000.0,17.25,0.05,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,3,31,10498800000000.0
8513,3716,18.55,18.8,18.85,18.5,5400,0.0,0.0,0,0,0,100000000.0,17.2,-0.1,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,3,12983200000000.0
8512,3716,18.6,18.85,18.85,18.4,500,0.0,0.0,0,0,0,9000000.0,17.25,0.05,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,4,12386800000000.0
8511,3716,18.6,18.7,18.7,18.6,300,0.0,0.0,0,0,0,5000000.0,17.11,-0.2,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,5,11435900000000.0
8510,3716,18.45,18.45,18.8,18.4,50400,0.0,0.0,0,0,0,929000000.0,16.88,-0.25,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,6,14836000000000.0
8509,3716,18.5,18.6,18.9,18.5,1800,0.0,0.0,0,0,0,33000000.0,17.02,0.1,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,7,9555430000000.0
8508,3716,18.5,18.75,18.75,18.5,24800,0.0,0.0,0,0,0,462000000.0,17.16,0.15,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,10,13080300000000.0
8507,3716,18.8,18.9,18.9,18.65,10100,0.0,0.0,0,0,0,189000000.0,17.29,0.1,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,11,10352300000000.0
8506,3716,19.0,19.45,19.45,18.85,8200,0.0,0.0,0,0,0,155000000.0,17.8,0.55,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,12,11237900000000.0
8505,3716,19.45,19.2,19.9,19.1,1100,0.0,0.0,0,0,0,21000000.0,17.57,-0.3,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,13,10048100000000.0
8504,3716,19.3,19.45,19.45,19.25,800,0.0,0.0,0,0,0,15000000.0,17.8,0.25,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,14,11983800000000.0
8503,3716,19.45,19.3,19.45,19.05,17600,0.0,0.0,0,0,0,336000000.0,17.66,-0.2,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,17,6714600000000.0
8502,3716,19.3,18.8,19.3,18.75,43500,0.0,0.0,0,0,0,822000000.0,17.2,-0.5,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,18,8462260000000.0
8501,3716,19.2,19.0,19.2,18.7,700,0.0,0.0,0,0,0,13000000.0,17.38,0.2,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,19,8609420000000.0
8500,3716,18.7,19.3,19.3,18.5,21700,0.0,0.0,0,0,0,404000000.0,17.66,0.3,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,20,5636530000000.0
8499,3716,19.75,19.25,19.85,18.85,2400,0.0,0.0,0,0,0,46000000.0,17.61,-0.05,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,21,8838180000000.0
8498,3716,18.9,18.8,19.7,18.5,3900,0.0,0.0,0,0,0,73000000.0,17.2,-0.5,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,24,7199740000000.0
8497,3716,19.5,18.85,19.5,18.6,7100,0.0,0.0,0,0,0,132000000.0,17.25,0.05,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,25,8456240000000.0
8496,3716,19.5,19.0,19.5,18.4,300,0.0,0.0,0,0,0,5000000.0,17.38,0.1,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,26,7520090000000.0
8495,3716,18.95,19.3,19.45,18.8,1200,0.0,0.0,0,0,0,22000000.0,17.66,0.3,0,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE,2022-02-10,,0.0,Năng lượng,2023,4,27,7600150000000.0
