session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3747,38.95,39.0,39.8,38.45,663800,0.0,0.0,0,0,0,25890000000.0,36.88,0.1,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,9,9605920000000.0
8529,3747,39.0,38.15,39.0,38.0,653500,0.0,0.0,0,0,0,25035000000.0,36.08,-0.85,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,10,7802560000000.0
8528,3747,38.0,38.05,38.3,37.5,651000,0.0,0.0,0,0,0,24574000000.0,35.99,-0.15,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,13,8852640000000.0
8527,3747,38.1,37.1,38.4,36.95,781700,0.0,0.0,0,0,0,29203000000.0,35.09,-1.0,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,14,9157830000000.0
8526,3747,37.8,37.65,37.8,37.0,724600,0.0,0.0,0,0,0,27043000000.0,35.61,0.55,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,15,9044830000000.0
8525,3747,37.35,36.35,37.35,36.3,1372800,0.0,0.0,0,0,0,50296000000.0,34.38,-1.35,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,16,7993400000000.0
8524,3747,36.5,35.4,36.9,34.9,5502500,0.0,0.0,0,0,0,194994000000.0,33.48,-1.0,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,17,9056930000000.0
8523,3747,35.5,35.4,36.35,35.35,1315900,0.0,0.0,0,0,0,46909000000.0,33.48,0.0,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,20,8000550000000.0
8522,3747,35.5,34.7,36.1,34.55,1550500,0.0,0.0,0,0,0,54304000000.0,32.82,-0.7,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,21,6678120000000.0
8521,3747,35.25,34.7,35.25,34.55,1568000,0.0,0.0,0,0,0,54419000000.0,32.82,0.0,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,22,7063540000000.0
8520,3747,34.55,35.85,35.85,34.5,2018400,0.0,0.0,0,0,0,71214000000.0,33.91,1.15,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,23,6539990000000.0
8519,3747,35.9,36.35,36.65,35.9,1052000,0.0,0.0,0,0,0,38270000000.0,34.38,0.45,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,24,8145960000000.0
8518,3747,36.35,35.7,36.4,35.7,913200,0.0,0.0,0,0,0,32812000000.0,33.76,-0.7,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,27,8430340000000.0
8517,3747,36.1,35.8,36.25,35.7,577400,0.0,0.0,0,0,0,20723000000.0,33.86,0.1,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,28,9714650000000.0
8516,3747,35.9,36.0,36.1,35.7,587900,0.0,0.0,0,0,0,21110000000.0,34.05,0.2,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,29,7305170000000.0
8515,3747,36.5,36.9,37.2,36.4,1565200,0.0,0.0,0,0,0,57595000000.0,34.9,0.9,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,30,9656120000000.0
8514,3747,37.5,37.45,38.0,37.35,2458700,0.0,0.0,0,0,0,92511000000.0,35.42,0.55,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,3,31,10498800000000.0
8513,3747,38.05,37.5,38.05,37.0,1452000,0.0,0.0,0,0,0,54153000000.0,35.47,0.0,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,3,12983200000000.0
8512,3747,37.95,37.95,38.0,37.55,1627200,0.0,0.0,0,0,0,61483000000.0,35.89,0.45,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,4,12386800000000.0
8511,3747,38.0,38.05,38.15,37.75,965800,0.0,0.0,0,0,0,36660000000.0,35.99,0.05,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,5,11435900000000.0
8510,3747,38.2,37.35,38.2,37.35,1259300,0.0,0.0,0,0,0,47577000000.0,35.32,-0.75,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,6,14836000000000.0
8509,3747,37.35,37.7,38.1,37.3,1153500,0.0,0.0,0,0,0,43486000000.0,35.65,0.3,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,7,9555430000000.0
8508,3747,37.9,37.3,38.0,37.2,1303600,0.0,0.0,0,0,0,48885000000.0,35.28,-0.4,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,10,13080300000000.0
8507,3747,37.3,36.95,37.55,36.8,793400,0.0,0.0,0,0,0,29507000000.0,34.95,-0.35,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,11,10352300000000.0
8506,3747,37.0,37.0,37.4,36.8,561800,0.0,0.0,0,0,0,20792000000.0,34.99,0.0,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,12,11237900000000.0
8505,3747,37.2,37.2,37.55,37.0,580200,0.0,0.0,0,0,0,21623000000.0,35.18,0.2,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,13,10048100000000.0
8504,3747,37.3,36.5,37.3,36.5,587900,0.0,0.0,0,0,0,21639000000.0,34.52,-0.7,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,14,11983800000000.0
8503,3747,36.3,36.1,36.5,36.05,607300,0.0,0.0,0,0,0,22001000000.0,34.14,-0.4,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,17,6714600000000.0
8502,3747,36.2,36.8,36.9,36.2,492800,0.0,0.0,0,0,0,18094000000.0,34.8,0.7,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,18,8462260000000.0
8501,3747,36.95,36.4,36.95,36.4,324800,0.0,0.0,0,0,0,11863000000.0,34.43,-0.4,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,19,8609420000000.0
8500,3747,36.4,36.45,36.6,36.35,407800,0.0,0.0,0,0,0,14885000000.0,34.47,0.05,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,20,5636530000000.0
8499,3747,36.45,36.75,36.95,36.4,573800,0.0,0.0,0,0,0,21051000000.0,34.76,0.25,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,21,8838180000000.0
8498,3747,36.8,36.75,36.8,36.55,361000,0.0,0.0,0,0,0,13256000000.0,34.76,-0.05,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,24,7199740000000.0
8497,3747,36.75,36.4,36.8,36.4,338000,0.0,0.0,0,0,0,12374000000.0,34.43,-0.4,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,25,8456240000000.0
8496,3747,36.75,36.9,36.9,36.4,489200,0.0,0.0,0,0,0,17951000000.0,34.9,0.5,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,26,7520090000000.0
8495,3747,37.0,37.45,37.55,37.0,853000,0.0,0.0,0,0,0,31928000000.0,35.42,0.55,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,27,7600150000000.0
8494,3747,37.55,37.45,37.8,37.3,350100,0.0,0.0,0,0,0,13124000000.0,35.42,0.0,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,4,28,9308330000000.0
8493,3747,37.65,37.45,37.7,37.2,662100,0.0,0.0,0,0,0,24879000000.0,35.42,0.0,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,5,4,9259100000000.0
8492,3747,37.65,37.8,38.0,37.5,1143900,0.0,0.0,0,0,0,43128000000.0,35.75,0.35,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,5,5,6891880000000.0
8491,3747,37.95,37.8,38.2,37.8,676600,0.0,0.0,0,0,0,25656000000.0,35.75,0.0,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,5,8,9352890000000.0
8490,3747,37.9,38.0,38.15,37.8,659700,0.0,0.0,0,0,0,25081000000.0,35.94,0.2,0,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE,2017-04-21,,0.0,Năng lượng,2023,5,9,8040740000000.0
