session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3651,79.5,79.9,80.0,79.0,160200,0.0,0.0,0,0,0,12730000000.0,77.94,-0.1,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,9,9605920000000.0
8529,3651,79.0,79.0,79.5,78.3,149800,0.0,0.0,0,0,0,11803000000.0,77.06,-0.9,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,10,7802560000000.0
8528,3651,80.0,80.2,80.9,79.6,443300,0.0,0.0,0,0,0,35641000000.0,78.23,1.2,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,13,8852640000000.0
8527,3651,81.0,80.7,81.2,80.1,276600,0.0,0.0,0,0,0,22293000000.0,78.72,0.5,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,14,9157830000000.0
8526,3651,81.2,80.8,81.2,80.2,263000,0.0,0.0,0,0,0,21241000000.0,78.82,0.1,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,15,9044830000000.0
8525,3651,81.0,80.5,81.0,79.0,326800,0.0,0.0,0,0,0,26079000000.0,78.53,-0.3,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,16,7993400000000.0
8524,3651,80.5,79.0,80.5,78.0,153600,0.0,0.0,0,0,0,12183000000.0,77.06,-1.5,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,17,9056930000000.0
8523,3651,79.9,80.0,81.0,79.0,480500,0.0,0.0,0,0,0,38500000000.0,78.04,1.0,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,20,8000550000000.0
8522,3651,80.9,79.0,80.9,78.5,246600,0.0,0.0,0,0,0,19563000000.0,77.06,-1.0,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,21,6678120000000.0
8521,3651,79.5,78.9,79.5,78.1,221600,0.0,0.0,0,0,0,17411000000.0,76.97,-0.1,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,22,7063540000000.0
8520,3651,78.3,78.5,78.8,78.0,169000,0.0,0.0,0,0,0,13231000000.0,76.58,-0.4,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,23,6539990000000.0
8519,3651,78.6,79.0,79.0,78.1,140900,0.0,0.0,0,0,0,11072000000.0,77.06,0.5,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,24,8145960000000.0
8518,3651,79.0,78.2,79.0,77.9,203200,0.0,0.0,0,0,0,15893000000.0,76.28,-0.8,0,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,PNJ,HOSE,2009-03-23,,0.0,Dịch vụ,2023,3,27,8430340000000.0
