session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,2868,5.1,4.8,5.1,4.8,1130,0.0,0.0,0,0,0,5583000.0,4.8,-0.8,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,5,17,596787000000.0
4816,2868,5.1,5.0,5.1,4.8,2000,0.0,0.0,0,0,0,9750000.0,5.0,0.1,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,5,18,452755000000.0
4815,2868,4.9,4.9,4.9,4.9,0,0.0,0.0,0,0,0,0.0,4.9,0.0,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,5,19,610612000000.0
4814,2868,4.9,4.9,4.9,4.9,100,0.0,0.0,0,0,0,490000.0,4.9,0.0,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,5,22,541384000000.0
4813,2868,4.5,4.8,4.8,4.2,1100,0.0,0.0,0,0,0,5160000.0,4.8,-0.1,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,5,23,589042000000.0
4812,2868,4.7,4.7,4.7,4.7,0,0.0,0.0,0,0,0,0.0,4.7,0.0,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,5,24,417134000000.0
4811,2868,4.3,5.0,5.0,4.3,1500,0.0,0.0,0,0,0,6890000.0,5.0,0.3,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,5,25,457573000000.0
4810,2868,4.0,4.5,4.8,4.0,1900,0.0,0.0,0,0,0,8460000.0,4.5,-0.1,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,5,26,867663000000.0
4809,2868,4.2,4.0,4.2,3.9,4699,0.0,0.0,0,0,0,18596100.0,4.0,-0.5,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,5,29,598726000000.0
4808,2868,4.0,4.5,4.5,4.0,300,0.0,0.0,0,0,0,1250000.0,4.5,0.5,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,5,30,797759000000.0
4807,2868,4.5,4.5,4.8,4.0,2000,0.0,0.0,0,0,0,9210000.0,4.5,0.3,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,5,31,860345000000.0
4806,2868,4.7,4.2,4.7,4.0,1505,0.0,0.0,0,0,0,6651000.0,4.2,-0.4,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,1,784243000000.0
4805,2868,4.3,4.3,4.3,4.2,1431,0.0,0.0,0,0,0,6116400.0,4.3,-0.1,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,2,911677000000.0
4804,2868,4.9,3.7,4.9,3.7,2300,0.0,0.0,0,0,0,9390000.0,3.7,-0.6,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,5,850691000000.0
4803,2868,4.0,4.1,4.1,4.0,703,0.0,0.0,0,0,0,2872000.0,4.1,0.0,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,6,735226000000.0
4802,2868,4.2,4.1,4.2,4.1,1701,0.0,0.0,0,0,0,6994100.0,4.1,0.0,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,7,779549000000.0
4801,2868,4.1,4.1,4.2,4.1,600,0.0,0.0,0,0,0,2490000.0,4.1,0.0,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,8,972083000000.0
4800,2868,3.8,3.9,3.9,3.8,1400,0.0,0.0,0,0,0,5330000.0,3.9,-0.3,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,9,784155000000.0
4799,2868,4.0,4.3,4.3,4.0,2300,0.0,0.0,0,0,0,9580000.0,4.3,0.5,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,12,637523000000.0
4798,2868,4.5,4.2,4.5,4.2,1600,0.0,0.0,0,0,0,6830000.0,4.2,0.1,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,14,763309000000.0
4797,2868,4.5,3.8,4.5,3.7,1201,0.0,0.0,0,0,0,4624500.0,3.8,-0.5,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,15,619574000000.0
4796,2868,4.4,4.1,4.4,4.1,3200,0.0,0.0,0,0,0,13550000.0,4.1,0.2,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,16,897713000000.0
4795,2868,4.0,4.1,4.1,4.0,401,0.0,0.0,0,0,0,1614200.0,4.1,-0.1,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,19,554708000000.0
4794,2868,3.9,4.0,4.0,3.9,1900,0.0,0.0,0,0,0,7420000.0,4.0,0.0,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,20,557490000000.0
4793,2868,4.0,4.0,4.0,4.0,300,0.0,0.0,0,0,0,1200000.0,4.0,0.1,0,Công ty Cổ phần Phát triển nhà Khánh Hòa,PTN,UPCOM,2022-10-14,2023-12-06,0.0,Bất động sản và Xây dựng,2023,6,21,817903000000.0
