session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,3263,4.9,4.9,5.0,4.9,15107,0.0,0.0,0,0,0,74295700.0,4.82,0.0,0,Công ty Cổ phần DẦU NHỜN PV OIL,PVO,UPCOM,2016-01-12,,0.0,Nguyên vật liệu,2023,5,17,596787000000.0
4816,3263,4.8,4.8,4.8,4.8,3060,0.0,0.0,0,0,0,14688000.0,4.72,-0.1,0,Công ty Cổ phần DẦU NHỜN PV OIL,PVO,UPCOM,2016-01-12,,0.0,Nguyên vật liệu,2023,5,18,452755000000.0
4815,3263,4.8,4.8,4.8,4.7,14900,0.0,0.0,0,0,0,70810000.0,4.72,0.0,0,Công ty Cổ phần DẦU NHỜN PV OIL,PVO,UPCOM,2016-01-12,,0.0,Nguyên vật liệu,2023,5,19,610612000000.0
4814,3263,4.9,5.0,5.3,4.9,29200,0.0,0.0,0,0,0,146570000.0,4.92,0.2,0,Công ty Cổ phần DẦU NHỜN PV OIL,PVO,UPCOM,2016-01-12,,0.0,Nguyên vật liệu,2023,5,22,541384000000.0
4813,3263,5.0,5.1,5.2,5.0,15110,0.0,0.0,0,0,0,75900000.0,5.02,0.1,0,Công ty Cổ phần DẦU NHỜN PV OIL,PVO,UPCOM,2016-01-12,,0.0,Nguyên vật liệu,2023,5,23,589042000000.0
4812,3263,5.0,5.0,5.1,5.0,11800,0.0,0.0,0,0,0,59010000.0,4.92,0.0,0,Công ty Cổ phần DẦU NHỜN PV OIL,PVO,UPCOM,2016-01-12,,0.0,Nguyên vật liệu,2023,5,24,417134000000.0
4811,3263,4.9,5.0,5.0,4.9,25200,0.0,0.0,0,0,0,125810000.0,4.92,0.0,0,Công ty Cổ phần DẦU NHỜN PV OIL,PVO,UPCOM,2016-01-12,,0.0,Nguyên vật liệu,2023,5,25,457573000000.0
4810,3263,5.1,5.2,5.2,5.0,49209,0.0,0.0,0,0,0,251705000.0,5.11,0.2,0,Công ty Cổ phần DẦU NHỜN PV OIL,PVO,UPCOM,2016-01-12,,0.0,Nguyên vật liệu,2023,5,26,867663000000.0
4809,3263,5.2,5.4,5.4,5.2,46200,0.0,0.0,0,0,0,244500000.0,5.31,0.3,0,Công ty Cổ phần DẦU NHỜN PV OIL,PVO,UPCOM,2016-01-12,,0.0,Nguyên vật liệu,2023,5,29,598726000000.0
4808,3263,5.3,5.5,5.5,5.1,90507,0.0,0.0,0,0,0,486388000.0,5.41,0.2,0,Công ty Cổ phần DẦU NHỜN PV OIL,PVO,UPCOM,2016-01-12,,0.0,Nguyên vật liệu,2023,5,30,797759000000.0
