session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
5725,2795,66.3,64.0,66.3,64.0,24310,0.0,0.0,0,0,0,1572950000.0,64.0,-1.1,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,3,246496000000.0
5724,2795,62.5,62.5,63.9,62.0,11348,0.0,0.0,0,0,0,712855000.0,62.5,-2.2,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,4,234912000000.0
5723,2795,62.5,63.5,63.9,62.5,12321,0.0,0.0,0,0,0,782384000.0,63.5,0.7,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,5,171111000000.0
5722,2795,63.0,63.0,63.5,62.8,16610,0.0,0.0,0,0,0,1044350000.0,63.0,-0.5,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,6,175185000000.0
5721,2795,62.9,62.9,62.9,62.8,5800,0.0,0.0,0,0,0,364520000.0,62.9,0.0,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,9,185569000000.0
5720,2795,62.5,58.4,62.8,58.0,52501,0.0,0.0,0,0,0,3124830000.0,58.4,-4.4,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,10,280748000000.0
5719,2795,59.0,61.5,65.9,59.0,26830,0.0,0.0,0,0,0,1697800000.0,61.5,2.0,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,11,171227000000.0
5718,2795,61.2,61.5,62.0,61.2,9700,0.0,0.0,0,0,0,597990000.0,61.5,-1.8,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,12,148822000000.0
5717,2795,62.0,62.1,63.9,61.6,15600,0.0,0.0,0,0,0,971750000.0,62.1,0.5,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,13,157506000000.0
5716,2795,61.6,64.2,64.2,61.6,27600,0.0,0.0,0,0,0,1752750000.0,64.2,1.9,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,16,181361000000.0
5715,2795,65.0,65.2,65.4,54.0,42320,0.0,0.0,0,0,0,2743270000.0,65.2,1.7,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,17,150281000000.0
5714,2795,64.6,66.8,67.3,64.6,38084,0.0,0.0,0,0,0,2535170000.0,66.8,2.0,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,18,178523000000.0
5713,2795,66.6,67.8,68.3,66.6,24470,0.0,0.0,0,0,0,1651460000.0,67.8,1.2,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,19,155752000000.0
5712,2795,68.0,70.0,71.0,68.0,66900,0.0,0.0,0,0,0,4656890000.0,70.0,2.5,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,20,137939000000.0
5711,2795,70.0,68.2,71.2,68.0,27000,0.0,0.0,0,0,0,1850710000.0,68.2,-1.4,0,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,SDI,UPCOM,2011-06-16,2019-12-26,0.0,,2019,9,23,152972000000.0
