session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3516,68.0,68.9,69.0,68.0,12600,0.0,0.0,0,0,0,867000000.0,66.58,2.4,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,9,9605920000000.0
8529,3516,68.8,68.9,68.9,68.8,1300,0.0,0.0,0,0,0,89000000.0,66.58,0.0,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,10,7802560000000.0
8528,3516,68.9,67.3,69.5,67.2,3500,0.0,0.0,0,0,0,239000000.0,65.04,-1.6,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,13,8852640000000.0
8527,3516,67.5,67.3,67.5,67.3,1500,0.0,0.0,0,0,0,101000000.0,65.04,0.0,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,14,9157830000000.0
8526,3516,66.1,69.5,69.5,66.1,1100,0.0,0.0,0,0,0,73000000.0,67.16,2.2,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,15,9044830000000.0
8525,3516,68.1,68.1,68.1,68.1,1100,0.0,0.0,0,0,0,74000000.0,65.81,-1.4,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,16,7993400000000.0
8524,3516,70.0,70.0,70.0,70.0,300,0.0,0.0,0,0,0,21000000.0,67.65,1.9,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,17,9056930000000.0
8523,3516,70.0,70.0,70.0,70.0,0,0.0,0.0,0,0,0,0.0,67.65,0.0,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,20,8000550000000.0
8522,3516,68.3,69.9,69.9,68.3,10300,0.0,0.0,0,0,0,717000000.0,67.55,-0.1,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,21,6678120000000.0
8521,3516,69.9,71.0,71.0,69.9,10200,0.0,0.0,0,0,0,719000000.0,68.61,1.1,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,22,7063540000000.0
8520,3516,71.0,71.3,71.3,71.0,200,0.0,0.0,0,0,0,14000000.0,68.9,0.3,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,23,6539990000000.0
8519,3516,70.5,71.3,72.0,70.5,6100,0.0,0.0,0,0,0,434000000.0,68.9,0.0,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,24,8145960000000.0
8518,3516,71.3,72.0,72.0,71.3,4400,0.0,0.0,0,0,0,315000000.0,69.58,0.7,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,27,8430340000000.0
8517,3516,71.3,72.0,72.0,71.3,2800,0.0,0.0,0,0,0,201000000.0,69.58,0.0,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,28,9714650000000.0
8516,3516,73.0,72.5,73.0,72.5,800,0.0,0.0,0,0,0,58000000.0,70.06,0.5,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,29,7305170000000.0
8515,3516,72.5,73.0,73.0,72.5,4300,0.0,0.0,0,0,0,313000000.0,70.55,0.5,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,30,9656120000000.0
8514,3516,72.9,73.0,73.0,72.9,3800,0.0,0.0,0,0,0,277000000.0,70.55,0.0,0,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,SGN,HOSE,2018-08-01,,0.0,Công nghiệp,2023,3,31,10498800000000.0
