session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4816,2894,10.9,10.6,10.9,10.6,25400,0.0,0.0,0,0,0,274160000.0,10.6,0.5,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,5,18,452755000000.0
4815,2894,10.0,10.2,10.6,10.0,18700,0.0,0.0,0,0,0,197040000.0,10.2,-0.6,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,5,19,610612000000.0
4814,2894,10.1,10.6,10.6,10.1,31905,0.0,0.0,0,0,0,326060000.0,10.6,0.1,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,5,22,541384000000.0
4813,2894,10.5,10.4,11.4,10.3,7400,0.0,0.0,0,0,0,80580000.0,10.4,0.2,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,5,23,589042000000.0
4812,2894,11.3,10.6,11.9,10.4,47800,0.0,0.0,0,0,0,524840000.0,10.6,-0.3,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,5,24,417134000000.0
4811,2894,11.0,11.0,11.4,11.0,4941,0.0,0.0,0,0,0,54374600.0,11.0,0.0,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,5,25,457573000000.0
4810,2894,11.4,11.0,11.4,10.2,28800,0.0,0.0,0,0,0,319720000.0,11.0,0.0,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,5,26,867663000000.0
4809,2894,10.4,11.2,11.2,9.6,34600,0.0,0.0,0,0,0,358870000.0,11.2,0.1,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,5,29,598726000000.0
4808,2894,11.0,11.1,11.1,10.9,23800,0.0,0.0,0,0,0,261820000.0,11.1,0.7,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,5,30,797759000000.0
4807,2894,11.1,11.5,11.7,10.7,40000,0.0,0.0,0,0,0,461110000.0,11.5,0.5,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,5,31,860345000000.0
4806,2894,11.5,11.6,11.8,10.7,46600,0.0,0.0,0,0,0,521800000.0,11.6,0.1,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,6,1,784243000000.0
4805,2894,11.3,11.2,11.3,11.2,5400,0.0,0.0,0,0,0,60980000.0,11.2,0.0,0,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,SID,UPCOM,2017-01-09,,0.0,Dịch vụ,2023,6,2,911677000000.0
