session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4816,3159,29.9,29.9,29.9,29.8,2000,0.0,0.0,0,0,0,59740000.0,25.35,0.3,0,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,SKV,UPCOM,2017-11-03,,0.0,Hàng tiêu dùng,2023,5,18,452755000000.0
4815,3159,29.8,29.5,29.8,29.4,34500,0.0,0.0,0,0,0,1019190000.0,25.01,-0.4,0,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,SKV,UPCOM,2017-11-03,,0.0,Hàng tiêu dùng,2023,5,19,610612000000.0
4814,3159,30.2,30.5,30.5,30.2,9200,0.0,0.0,0,0,0,280120000.0,25.86,1.0,0,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,SKV,UPCOM,2017-11-03,,0.0,Hàng tiêu dùng,2023,5,22,541384000000.0
4813,3159,31.2,29.9,31.2,29.9,7960,0.0,0.0,0,0,0,238090000.0,25.35,-0.5,0,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,SKV,UPCOM,2017-11-03,,0.0,Hàng tiêu dùng,2023,5,23,589042000000.0
4812,3159,29.9,30.1,30.2,29.9,9500,0.0,0.0,0,0,0,284900000.0,25.52,0.2,0,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,SKV,UPCOM,2017-11-03,,0.0,Hàng tiêu dùng,2023,5,24,417134000000.0
4811,3159,30.9,31.0,32.9,30.9,54120,0.0,0.0,0,0,0,1732300000.0,26.28,1.0,0,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,SKV,UPCOM,2017-11-03,,0.0,Hàng tiêu dùng,2023,5,25,457573000000.0
4810,3159,31.9,31.0,31.9,31.0,3360,0.0,0.0,0,0,0,104536000.0,26.28,-1.0,0,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,SKV,UPCOM,2017-11-03,,0.0,Hàng tiêu dùng,2023,5,26,867663000000.0
4809,3159,31.7,31.0,31.7,31.0,5800,0.0,0.0,0,0,0,180460000.0,26.28,-0.1,0,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,SKV,UPCOM,2017-11-03,,0.0,Hàng tiêu dùng,2023,5,29,598726000000.0
4808,3159,30.7,31.6,31.6,30.5,38340,0.0,0.0,0,0,0,1172260000.0,26.79,0.5,0,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,SKV,UPCOM,2017-11-03,,0.0,Hàng tiêu dùng,2023,5,30,797759000000.0
4807,3159,31.6,32.2,32.5,30.6,117251,0.0,0.0,0,0,0,3748360000.0,27.3,1.6,0,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,SKV,UPCOM,2017-11-03,,0.0,Hàng tiêu dùng,2023,5,31,860345000000.0
