session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3709,27.5,27.8,27.85,27.2,3286200,0.0,0.0,0,0,0,90335000000.0,13.48,0.5,0,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,TCB,HOSE,2018-06-04,,0.0,Tài chính,2023,3,9,9605920000000.0
8529,3709,27.5,27.15,27.6,27.0,2129800,0.0,0.0,0,0,0,58084000000.0,13.16,-0.65,0,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,TCB,HOSE,2018-06-04,,0.0,Tài chính,2023,3,10,7802560000000.0
8528,3709,26.55,26.75,26.95,26.55,3114300,0.0,0.0,0,0,0,83466000000.0,12.97,-0.45,0,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,TCB,HOSE,2018-06-04,,0.0,Tài chính,2023,3,13,8852640000000.0
8527,3709,26.65,26.3,26.75,26.3,2469900,0.0,0.0,0,0,0,65605000000.0,12.75,-0.5,0,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,TCB,HOSE,2018-06-04,,0.0,Tài chính,2023,3,14,9157830000000.0
8526,3709,26.8,27.2,27.4,26.8,2361600,0.0,0.0,0,0,0,64007000000.0,13.19,0.9,0,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,TCB,HOSE,2018-06-04,,0.0,Tài chính,2023,3,15,9044830000000.0
8525,3709,26.9,26.75,26.95,26.35,2661700,0.0,0.0,0,0,0,71039000000.0,12.97,-0.45,0,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,TCB,HOSE,2018-06-04,,0.0,Tài chính,2023,3,16,7993400000000.0
8524,3709,26.8,26.65,27.1,26.6,1199600,0.0,0.0,0,0,0,32164000000.0,12.92,-0.15,0,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,TCB,HOSE,2018-06-04,,0.0,Tài chính,2023,3,17,9056930000000.0
8523,3709,26.5,26.25,26.6,26.25,2286500,0.0,0.0,0,0,0,60377000000.0,12.73,-0.45,0,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,TCB,HOSE,2018-06-04,,0.0,Tài chính,2023,3,20,8000550000000.0
8522,3709,26.5,26.35,26.6,26.1,1997800,0.0,0.0,0,0,0,52587000000.0,12.78,0.05,0,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,TCB,HOSE,2018-06-04,,0.0,Tài chính,2023,3,21,6678120000000.0
8521,3709,26.45,26.2,26.6,26.2,2471700,0.0,0.0,0,0,0,65228000000.0,12.7,-0.2,0,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,TCB,HOSE,2018-06-04,,0.0,Tài chính,2023,3,22,7063540000000.0
