session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3630,7.21,7.24,7.38,7.21,3154300,0.0,0.0,0,0,0,22955000000.0,6.98,0.04,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,9,9605920000000.0
8529,3630,7.13,7.09,7.22,7.08,3971000,0.0,0.0,0,0,0,28362000000.0,6.84,-0.11,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,10,7802560000000.0
8528,3630,7.0,7.05,7.19,7.0,2991300,0.0,0.0,0,0,0,21201000000.0,6.8,-0.05,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,13,8852640000000.0
8527,3630,7.06,6.93,7.1,6.9,3721200,0.0,0.0,0,0,0,25962000000.0,6.68,-0.17,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,14,9157830000000.0
8526,3630,7.11,7.19,7.21,7.05,3467100,0.0,0.0,0,0,0,24797000000.0,6.93,0.29,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,15,9044830000000.0
8525,3630,7.13,7.05,7.14,7.0,4254300,0.0,0.0,0,0,0,30018000000.0,6.8,-0.15,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,16,7993400000000.0
8524,3630,7.12,7.03,7.15,7.01,4571800,0.0,0.0,0,0,0,32182000000.0,6.78,-0.07,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,17,9056930000000.0
8523,3630,7.07,7.08,7.25,7.05,3998500,0.0,0.0,0,0,0,28531000000.0,6.83,0.08,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,20,8000550000000.0
8522,3630,7.11,7.16,7.16,7.03,2327900,0.0,0.0,0,0,0,16519000000.0,6.9,0.06,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,21,6678120000000.0
8521,3630,7.19,7.2,7.32,7.16,4793000,0.0,0.0,0,0,0,34697000000.0,6.94,0.0,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,22,7063540000000.0
8520,3630,7.15,7.29,7.29,7.12,2376300,0.0,0.0,0,0,0,17120000000.0,7.03,0.09,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,23,6539990000000.0
8519,3630,7.3,7.34,7.4,7.27,3513500,0.0,0.0,0,0,0,25735000000.0,7.08,0.04,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,24,8145960000000.0
8518,3630,7.11,7.3,7.37,7.11,4783900,0.0,0.0,0,0,0,34827000000.0,7.04,0.0,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,27,8430340000000.0
8517,3630,7.37,7.39,7.49,7.35,5993300,0.0,0.0,0,0,0,44470000000.0,7.13,0.09,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,28,9714650000000.0
8516,3630,7.4,7.39,7.44,7.26,3699000,0.0,0.0,0,0,0,27118000000.0,7.13,-0.01,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,29,7305170000000.0
8515,3630,7.43,7.4,7.54,7.37,7212300,0.0,0.0,0,0,0,53589000000.0,7.14,0.0,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,30,9656120000000.0
8514,3630,7.42,7.37,7.42,7.34,2548100,0.0,0.0,0,0,0,18830000000.0,7.11,-0.03,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,3,31,10498800000000.0
8513,3630,7.55,7.61,7.74,7.47,8547400,0.0,0.0,0,0,0,64908000000.0,7.34,0.21,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,3,12983200000000.0
8512,3630,7.7,7.65,7.7,7.59,5597600,0.0,0.0,0,0,0,42752000000.0,7.38,0.05,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,4,12386800000000.0
8511,3630,7.65,7.71,7.75,7.59,5296900,0.0,0.0,0,0,0,40664000000.0,7.43,0.01,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,5,11435900000000.0
8510,3630,7.8,7.85,8.24,7.79,20882800,0.0,0.0,0,0,0,169621000000.0,7.57,0.15,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,6,14836000000000.0
8509,3630,7.91,7.94,7.95,7.76,7756000,0.0,0.0,0,0,0,60976000000.0,7.66,0.04,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,7,9555430000000.0
8508,3630,8.1,7.76,8.1,7.75,8599400,0.0,0.0,0,0,0,67827000000.0,7.48,-0.14,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,10,13080300000000.0
8507,3630,7.77,7.75,7.77,7.51,6353900,0.0,0.0,0,0,0,48623000000.0,7.47,-0.05,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,11,10352300000000.0
8506,3630,7.82,7.72,7.83,7.67,6632300,0.0,0.0,0,0,0,51397000000.0,7.44,-0.08,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,12,11237900000000.0
8505,3630,7.74,7.65,7.8,7.65,3818100,0.0,0.0,0,0,0,29406000000.0,7.38,-0.05,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,13,10048100000000.0
8504,3630,7.71,7.36,7.71,7.36,7412800,0.0,0.0,0,0,0,55777000000.0,7.1,-0.34,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,14,11983800000000.0
8503,3630,7.36,7.37,7.43,7.36,2765900,0.0,0.0,0,0,0,20436000000.0,7.11,-0.03,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,17,6714600000000.0
8502,3630,7.4,7.4,7.44,7.31,3726400,0.0,0.0,0,0,0,27445000000.0,7.14,0.0,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,18,8462260000000.0
8501,3630,7.4,7.32,7.48,7.28,3157000,0.0,0.0,0,0,0,23318000000.0,7.06,-0.08,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,19,8609420000000.0
8500,3630,7.32,7.37,7.4,7.31,3134900,0.0,0.0,0,0,0,23037000000.0,7.11,0.07,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,20,5636530000000.0
8499,3630,7.4,7.36,7.46,7.31,2957700,0.0,0.0,0,0,0,21846000000.0,7.1,-0.04,0,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE,2016-10-05,,0.0,Bất động sản và Xây dựng,2023,4,21,8838180000000.0
