session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3756,7.4,7.5,7.7,7.4,255020,0.0,0.0,0,0,0,1925710000.0,6.55,0.1,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,9,9605920000000.0
8529,3756,7.5,7.5,7.6,7.4,179050,0.0,0.0,0,0,0,1334410000.0,6.55,-0.1,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,10,7802560000000.0
8528,3756,7.5,7.4,7.5,7.2,154699,0.0,0.0,0,0,0,1133680000.0,6.46,-0.1,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,13,8852640000000.0
8527,3756,7.5,7.3,7.5,7.2,143900,0.0,0.0,0,0,0,1048480000.0,6.38,0.0,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,14,9157830000000.0
8526,3756,7.4,7.8,8.0,7.4,450951,0.0,0.0,0,0,0,3463560000.0,6.81,0.5,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,15,9044830000000.0
8525,3756,7.6,7.5,7.7,7.5,141402,0.0,0.0,0,0,0,1067640000.0,6.55,-0.2,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,16,7993400000000.0
8524,3756,7.6,7.7,7.7,7.5,162240,0.0,0.0,0,0,0,1241450000.0,6.73,0.1,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,17,9056930000000.0
8523,3756,7.7,7.4,7.7,7.4,93438,0.0,0.0,0,0,0,704066000.0,6.46,-0.3,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,20,8000550000000.0
8522,3756,7.5,7.6,7.6,7.4,132934,0.0,0.0,0,0,0,999592000.0,6.64,0.1,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,21,6678120000000.0
8521,3756,7.6,7.6,7.6,7.5,162158,0.0,0.0,0,0,0,1229500000.0,6.64,0.1,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,22,7063540000000.0
8520,3756,7.5,7.8,7.8,7.5,201454,0.0,0.0,0,0,0,1546100000.0,6.81,0.2,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,23,6539990000000.0
8519,3756,7.9,7.8,7.9,7.7,88522,0.0,0.0,0,0,0,688692000.0,6.81,0.1,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,24,8145960000000.0
8518,3756,7.9,7.9,8.1,7.7,169634,0.0,0.0,0,0,0,1342140000.0,6.9,0.1,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,27,8430340000000.0
8517,3756,7.9,7.9,8.0,7.7,395700,0.0,0.0,0,0,0,3102130000.0,6.9,0.0,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,28,9714650000000.0
8516,3756,7.7,7.8,7.8,7.7,86727,0.0,0.0,0,0,0,670181000.0,6.81,0.0,0,Công ty cổ phần Chứng khoán Thành Công,TCI,HOSE,2024-01-26,,0.0,Tài chính,2023,3,29,7305170000000.0
