session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4816,3056,32.0,32.0,32.0,32.0,0,0.0,0.0,0,0,0,0.0,28.23,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,5,18,452755000000.0
4815,3056,32.0,32.0,32.0,32.0,0,0.0,0.0,0,0,0,0.0,28.23,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,5,19,610612000000.0
4814,3056,33.3,32.0,33.3,32.0,11000,0.0,0.0,0,0,0,353300000.0,28.23,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,5,22,541384000000.0
4813,3056,32.0,30.0,32.0,30.0,40600,0.0,0.0,0,0,0,1249190000.0,26.46,-2.1,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,5,23,589042000000.0
4812,3056,30.5,30.5,30.5,30.5,300,0.0,0.0,0,0,0,9150000.0,26.9,-0.3,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,5,24,417134000000.0
4811,3056,31.0,30.0,31.0,30.0,21500,0.0,0.0,0,0,0,655450000.0,26.46,-0.5,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,5,25,457573000000.0
4810,3056,30.5,30.5,30.5,30.5,0,0.0,0.0,0,0,0,0.0,26.9,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,5,26,867663000000.0
4809,3056,30.5,30.0,31.0,30.0,50600,0.0,0.0,0,0,0,1518260000.0,26.46,-0.5,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,5,29,598726000000.0
4808,3056,30.0,30.0,30.0,30.0,100,0.0,0.0,0,0,0,3000000.0,28.66,2.3,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,5,30,797759000000.0
4807,3056,29.6,29.6,29.6,29.6,1700,0.0,0.0,0,0,0,50320000.0,28.28,-0.4,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,5,31,860345000000.0
4806,3056,29.7,26.0,29.7,26.0,400,0.0,0.0,0,0,0,11500000.0,24.84,-3.6,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,1,784243000000.0
4805,3056,28.8,28.8,28.8,28.8,0,0.0,0.0,0,0,0,0.0,27.52,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,2,911677000000.0
4804,3056,28.8,28.8,28.8,28.8,200,0.0,0.0,0,0,0,5760000.0,27.52,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,5,850691000000.0
4803,3056,28.8,28.0,28.8,28.0,3800,0.0,0.0,0,0,0,106480000.0,26.75,-0.8,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,6,735226000000.0
4802,3056,28.0,28.0,28.0,28.0,0,0.0,0.0,0,0,0,0.0,26.75,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,7,779549000000.0
4801,3056,28.0,28.0,28.0,28.0,0,0.0,0.0,0,0,0,0.0,26.75,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,8,972083000000.0
4800,3056,27.1,27.1,27.1,27.1,3800,0.0,0.0,0,0,0,102980000.0,25.89,-0.9,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,9,784155000000.0
4799,3056,24.5,27.1,28.5,24.5,71500,0.0,0.0,0,0,0,2013960000.0,25.89,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,12,637523000000.0
4798,3056,28.8,29.0,29.0,28.7,2900,0.0,0.0,0,0,0,84020000.0,27.71,0.2,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,14,763309000000.0
4797,3056,29.0,29.0,29.0,29.0,0,0.0,0.0,0,0,0,0.0,27.71,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,15,619574000000.0
4796,3056,28.9,28.0,28.9,28.0,3100,0.0,0.0,0,0,0,88720000.0,26.75,-1.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,16,897713000000.0
4795,3056,27.1,27.1,27.1,27.1,3800,0.0,0.0,0,0,0,102980000.0,25.89,-1.5,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,19,554708000000.0
4794,3056,27.1,27.1,27.1,27.1,0,0.0,0.0,0,0,0,0.0,25.89,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,20,557490000000.0
4793,3056,25.1,27.5,27.5,25.1,2900,0.0,0.0,0,0,0,74950000.0,26.27,0.4,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,21,817903000000.0
4792,3056,28.0,29.6,29.6,28.0,3700,0.0,0.0,0,0,0,109030000.0,28.28,3.8,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,22,833329000000.0
4791,3056,33.6,33.6,33.9,33.6,2300,0.0,0.0,0,0,0,77490000.0,32.1,4.1,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,23,847219000000.0
4790,3056,28.7,28.7,29.0,28.7,1600,0.0,0.0,0,0,0,45950000.0,27.42,-5.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,26,860095000000.0
4789,3056,27.7,28.2,28.3,27.7,1700,0.0,0.0,0,0,0,47890000.0,26.94,-0.5,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,27,567850000000.0
4788,3056,28.2,28.2,28.2,28.2,0,0.0,0.0,0,0,0,0.0,26.94,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,28,659102000000.0
4787,3056,28.2,28.2,28.2,28.2,0,0.0,0.0,0,0,0,0.0,26.94,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,29,666695000000.0
4786,3056,29.0,29.0,29.0,29.0,900,0.0,0.0,0,0,0,26100000.0,27.71,0.8,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,6,30,543269000000.0
4785,3056,30.0,30.0,30.0,30.0,300,0.0,0.0,0,0,0,9000000.0,28.66,1.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,3,477651000000.0
4784,3056,30.0,30.0,30.0,30.0,100,0.0,0.0,0,0,0,3000000.0,28.66,0.0,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,4,638481000000.0
4783,3056,27.1,28.5,28.5,27.1,2600,0.0,0.0,0,0,0,70600000.0,27.23,-1.5,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,5,701030000000.0
4782,3056,30.0,30.0,30.0,30.0,1000,0.0,0.0,0,0,0,30000000.0,28.66,2.8,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,6,637903000000.0
4781,3056,27.5,27.5,27.5,27.5,500,0.0,0.0,0,0,0,13750000.0,26.27,-2.5,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,7,729580000000.0
4780,3056,30.9,29.0,31.0,29.0,900,0.0,0.0,0,0,0,26890000.0,27.71,1.5,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,10,1270370000000.0
4779,3056,29.5,28.5,29.5,28.5,1500,0.0,0.0,0,0,0,42850000.0,27.23,-1.4,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,11,779753000000.0
4778,3056,28.6,29.0,29.0,28.6,2700,0.0,0.0,0,0,0,77300000.0,27.71,0.4,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,12,885074000000.0
4777,3056,29.4,29.2,30.7,28.3,3900,0.0,0.0,0,0,0,112430000.0,27.9,0.6,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,13,793503000000.0
4776,3056,29.0,29.5,29.5,29.0,200,0.0,0.0,0,0,0,5850000.0,28.18,0.7,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,14,907996000000.0
4775,3056,29.5,28.6,29.5,28.5,2200,0.0,0.0,0,0,0,62810000.0,27.32,-0.7,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,17,838562000000.0
4774,3056,29.0,29.0,29.0,29.0,100,0.0,0.0,0,0,0,2900000.0,27.71,0.4,0,Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED,UPCOM,2022-05-10,,0.0,Bất động sản và Xây dựng,2023,7,18,673486000000.0
