session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
10142,3571,11.6,11.6,11.9,11.6,11650,0.0,0.0,0,0,0,135000000.0,10.49,-0.3,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,9,23,1986610000000.0
10141,3571,11.7,11.7,11.7,11.7,2000,0.0,0.0,0,0,0,23000000.0,10.58,0.1,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,9,26,2012820000000.0
10140,3571,11.6,11.6,11.6,11.6,8940,0.0,0.0,0,0,0,104000000.0,10.49,-0.1,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,9,27,2330690000000.0
10139,3571,11.6,11.9,11.9,11.6,1690,0.0,0.0,0,0,0,20000000.0,10.76,0.3,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,9,28,2299600000000.0
10138,3571,11.7,11.7,11.7,11.7,10,0.0,0.0,0,0,0,0.0,10.58,-0.2,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,9,29,2619880000000.0
10137,3571,11.6,11.6,11.6,11.6,20,0.0,0.0,0,0,0,0.0,10.49,-0.1,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,9,30,2301090000000.0
10136,3571,11.6,11.6,11.6,11.6,500,0.0,0.0,0,0,0,6000000.0,10.49,0.0,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,3,2214360000000.0
10135,3571,11.7,11.7,11.7,11.7,900,0.0,0.0,0,0,0,11000000.0,10.58,0.1,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,4,2808710000000.0
10134,3571,11.7,11.7,11.7,11.7,120,0.0,0.0,0,0,0,1000000.0,10.58,0.0,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,5,1991550000000.0
10133,3571,11.7,11.7,11.7,11.7,0,0.0,0.0,0,0,0,0.0,10.58,0.0,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,6,2375460000000.0
10132,3571,11.75,11.75,11.75,11.75,100,0.0,0.0,0,0,0,1000000.0,10.63,0.05,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,7,2497860000000.0
10131,3571,11.75,11.75,11.75,11.75,0,0.0,0.0,0,0,0,0.0,10.63,0.0,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,10,1961180000000.0
10130,3571,11.8,11.65,11.8,11.65,1300,0.0,0.0,0,0,0,15000000.0,10.54,-0.1,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,11,2472630000000.0
10129,3571,11.65,11.65,11.65,11.65,0,0.0,0.0,0,0,0,0.0,10.54,0.0,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,12,1779030000000.0
10128,3571,11.8,11.8,11.8,11.8,430,0.0,0.0,0,0,0,5000000.0,10.67,0.15,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,13,1877090000000.0
10127,3571,11.65,11.65,11.65,11.65,110,0.0,0.0,0,0,0,1000000.0,10.54,-0.15,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,14,2158640000000.0
10126,3571,11.6,11.6,11.6,11.6,1730,0.0,0.0,0,0,0,20000000.0,10.49,-0.05,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,17,1717380000000.0
10125,3571,11.8,11.8,11.8,11.8,12600,0.0,0.0,0,0,0,149000000.0,10.67,0.2,0,Công ty Cổ phần Đầu tư điện Tây Nguyên,TIC,HOSE,2009-10-12,2017-10-11,0.0,,2016,10,18,1598620000000.0
